biomarker_name,about_why,about_optimal_range,about_quick_tips
eGFR,eGFR estimates kidney filtration capacity. Higher values indicate better kidney function and longevity.,90-270 mL/min/1.73m². Higher values within range indicate excellent kidney function.,"Stay hydrated, maintain healthy blood pressure, limit NSAIDs, control blood sugar."
Creatinine,Creatinine reflects kidney function and muscle mass. Stable levels within range indicate healthy kidney filtration.,"Male: 0.74-1.10 mg/dL, Female: 0.59-0.90 mg/dL. Lower levels may indicate better kidney function.","Support kidney health, maintain muscle mass, stay hydrated, monitor trends over time."
Vitamin B12,B12 is crucial for nerve function and red blood cell formation. Deficiency can cause irreversible neurological damage.,400-800 pg/mL. Adequate levels support nerve health and energy metabolism.,"Include B12-rich foods (meat, fish, eggs), consider supplementation if vegetarian/vegan."
Folate (RBC),RBC folate reflects long-term folate status better than serum levels. It's crucial for DNA synthesis and repair.,400-1000 ng/mL. Higher levels indicate better long-term folate status and DNA protection.,"Consistent intake of folate-rich foods, consider methylfolate supplementation if needed."
Folate Serum,Folate supports DNA synthesis and cardiovascular health. Adequate levels reduce homocysteine and support cellular function.,8-15 ng/mL. Optimal levels support DNA repair and cardiovascular health.,"Eat leafy greens, legumes, fortified grains; avoid excessive alcohol which depletes folate."
Albumin,Albumin reflects protein status and liver function. Lower levels are associated with increased mortality risk.,4.0-5.0 g/dL. Higher levels within range indicate better protein status and liver function.,"Adequate protein intake, liver-supporting foods, address any underlying inflammation."
Eosinophils,Eosinophils respond to allergies and parasites. Elevated levels may indicate allergic conditions or other immune issues.,100-300 cells/μL. Normal levels indicate appropriate allergic and anti-parasitic responses.,"Address allergies if present, maintain clean environment, support overall immune health."
Lymphocytes,Lymphocytes include T and B cells crucial for immune function. Levels reflect immune system health and aging.,1.5-3.5 × 10³/μL. Optimal levels support strong adaptive immune responses.,"Prioritize sleep, manage stress, eat immune-supporting foods, stay physically active."
Neutrophils,"Neutrophils fight bacterial infections. Abnormal levels may indicate infection, stress, or immune system problems.",2.5-5.5 × 10³/μL. Normal levels indicate appropriate immune response capability.,"Maintain overall health practices, address chronic stress, support immune system naturally."
Neutrophil/Lymphocyte Ratio,This ratio reflects systemic inflammation and immune system balance. Higher ratios are associated with increased mortality risk.,1.0-2.5. Lower ratios indicate better immune balance and reduced inflammatory burden.,"Reduce chronic stress, follow anti-inflammatory diet, exercise regularly, prioritize sleep quality."
White Blood Cell Count,WBC count reflects immune system status. Both high and low counts can indicate health issues affecting longevity.,4.0-7.0 × 10³/μL. Normal levels indicate healthy immune function without chronic activation.,"Support immune health with good nutrition, sleep, stress management, regular exercise."
HOMA-IR,HOMA-IR calculates insulin resistance. Lower values indicate better metabolic health and reduced disease risk.,1.0-1.8. Lower values indicate excellent insulin sensitivity and metabolic function.,"Same strategies as fasting insulin: diet, exercise, weight management, meal timing."
Fasting Glucose,"Fasting glucose reflects baseline blood sugar control. Even within normal range, lower levels are associated with better outcomes.",85-90 mg/dL. Tight glucose control reduces glycation damage and diabetes risk.,"Follow low-glycemic diet, exercise regularly, maintain healthy weight, time eating properly."
ALT,ALT is a liver enzyme that indicates liver health. Lower levels within normal range suggest better liver function.,"Male: 10-25 U/L, Female: 7-20 U/L. Lower levels indicate healthier liver function.","Limit alcohol, maintain healthy weight, avoid processed foods, support liver with antioxidants."
Fasting Insulin,Fasting insulin indicates insulin resistance. Lower levels suggest better metabolic health and reduced aging acceleration.,2-6 μU/mL. Lower levels indicate better insulin sensitivity and metabolic health.,"Limit refined carbs, intermittent fasting, exercise regularly, lose excess weight."
Uric Acid,Uric acid reflects purine metabolism. Both high and low levels may be associated with increased health risks.,"Male: 4.0-5.0 mg/dL, Female: 3.0-4.5 mg/dL. Optimal levels reduce gout risk and may support longevity.","Limit purine-rich foods if high, stay hydrated, maintain healthy weight, moderate alcohol."
HbA1c,HbA1c reflects average blood sugar over 2-3 months. Lower levels are associated with reduced diabetes complications and better longevity.,4.6-5.2%. Optimal levels indicate excellent glucose control and reduced glycation damage.,"Limit refined carbs, exercise regularly, maintain healthy weight, eat fiber-rich foods."
Testosterone,"Testosterone affects muscle mass, bone density, mood, and energy. Optimal levels support healthy aging in both sexes.","Male: 400-800 ng/dL, Female: 15-50 ng/dL. Adequate levels support vitality and physical function.","Strength training, adequate sleep, healthy fats, manage stress, maintain healthy weight."
ALP,ALP reflects liver and bone health. Levels outside optimal range may indicate liver or bone disorders.,40-90 U/L. Normal levels indicate healthy liver and bone metabolism.,"Support liver health, ensure adequate vitamin D and calcium, exercise for bone health."
GGT,GGT reflects liver health and oxidative stress. Lower levels are associated with reduced mortality risk.,10-25 U/L for both sexes. Lower levels indicate better liver health and less oxidative stress.,"Limit alcohol, antioxidant-rich diet, regular exercise, maintain healthy weight."
Sodium,Sodium regulation is crucial for blood pressure and cellular function. Optimal levels support cardiovascular health.,136-142 mEq/L. Normal levels indicate proper fluid and electrolyte balance.,"Moderate sodium intake, adequate hydration, eat potassium-rich foods for balance."
Potassium,"Potassium supports heart rhythm, muscle function, and blood pressure. Adequate levels reduce cardiovascular risk.",4.0-4.7 mEq/L. Higher levels within range support better cardiovascular outcomes.,"Eat potassium-rich foods like fruits and vegetables, limit processed foods high in sodium."
AST,AST is a liver enzyme that also reflects muscle and heart health. Lower levels indicate better organ function.,"Male: 10-25 U/L, Female: 10-20 U/L. Lower levels indicate healthier liver and muscle function.","Support liver health, avoid overtraining, adequate recovery, limit alcohol and toxin exposure."
Creatine Kinase,CK reflects muscle damage or stress. Levels vary with exercise but chronic elevation may indicate muscle problems.,"Male: 50-200 U/L, Female: 40-150 U/L, Athletes: 100-400 U/L. Normal recovery patterns indicate healthy muscle function.","Allow adequate recovery between workouts, proper hydration, avoid excessive muscle damage."
Magnesium (RBC),RBC magnesium is a better indicator of total body magnesium status than serum levels. Deficiency is linked to cardiovascular disease and diabetes.,"6.0-7.5 mg/dL. Optimal levels support cardiovascular health, blood sugar control, and muscle function.","Include magnesium-rich foods like leafy greens, nuts, seeds; consider supplementation if deficient."
Vitamin D,"Vitamin D supports immune function, bone health, and may reduce cancer risk. Deficiency is associated with increased mortality.",40-60 ng/mL. Higher levels within this range support optimal immune function and bone health.,"Get morning sunlight, eat fatty fish, consider D3 supplementation, test levels seasonally."
Serum Ferritin,Ferritin stores iron and reflects body iron status. Both low and high levels can be problematic for health and longevity.,50-100 ng/mL. Optimal levels support energy without increasing oxidative stress from excess iron.,"Balance iron-rich foods, donate blood if levels high, address deficiency causes if low."
Transferrin Saturation,This percentage shows how much iron is bound to transferrin. Low or high levels indicate iron disorders affecting health.,25-35%. Optimal saturation indicates balanced iron status without deficiency or overload.,"Balance iron intake with vitamin C for absorption, avoid excess iron supplementation unless deficient."
Total Iron Binding Capacity (TIBC),TIBC reflects the body's ability to transport iron. Abnormal levels may indicate iron disorders or chronic disease.,250-310 μg/dL. Normal levels indicate healthy iron metabolism and transport capacity.,"Maintain balanced iron intake, address underlying causes of abnormal iron metabolism."
hsCRP,"High-sensitivity CRP measures systemic inflammation, a key driver of aging and chronic disease. Lower levels indicate reduced disease risk.",<0.3 mg/L. Very low levels indicate minimal systemic inflammation and lower cardiovascular risk.,"Anti-inflammatory diet, regular exercise, stress management, adequate sleep, maintain healthy weight."
