record_id,ID,calculated_metrics_vfinal,cognitive_health_weight,conditional_note,connection_purpose_weight,core_care_weight,created,created_by,dependent_on_not_selected,dependent_on_selected,from_field_include_responses_not_selected_from,from_field_include_responses_selected_from,group_id,healthful_nutrition_weight,implementation_issue_detail,implrmentation_issue,include_responses_not_selected_from,include_responses_selected_from,last_modified,last_modified_by,movement_exercise_weight,pillar,pre_fill,question,response,restorative_sleep_weight,score,screening_compliance_matrix,section,section_number,section_question_order,show_if_not_selected,show_if_selected,stress_management_weight,survey_response_options,total_weight_pillar_agnostic,type
recB3XpknCEyoZi3Y,2.05,rec39ViJ5ctW3CQJF,,,,,2025-06-10T18:25:44.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,,,general_diet,rec8iWXMP6hefaBfP,,,,,2025-09-18T12:29:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,recgGEypX3ghJay5R,,"How many snacks do you typically eat per day?
","I don't typically snack, 1, 2, 3, 4 or more",,"10, 8, 6, 4, 2",,Nutrition and Diet,2,5,,,,"recgk2QxgomSZQS7t, recXsvSNU3HqIjRJe, recYeOkbZ4XVkNgP2, reciMv6FrUDwNTUae, recCx6ROOJpJsqY94",2,single-select
recIfZZm7sVbAaJJM,2.06,,,,,,2025-06-13T19:49:27.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,"recCx6ROOJpJsqY94, reciMv6FrUDwNTUae",,,general_diet,,Multi-response condition logic not built,True,,,2025-09-17T21:39:41.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,recgGEypX3ghJay5R,,"Would you consider adjusting your snacking habits in support of your longevity goals?
","Yes - actively working on it, Yes - open to trying, Maybe - need more information, Not now, but maybe in the future, No",,"10, 8, 6, 4, 2",,Nutrition and Diet,2,6,,"4 or more, 3",,"recUFG9boHeHiLh0f, recsa35BLxWzfMbUq, recr2sdZa0P4jOC3c, recMmYBA5vHrmiCwu, recSHlxuP3ZoqqhOp",0,single-select
recB9bksOtUK6I6K5,2.07,rec3WXBXeF91098Gc,,,,,2025-06-10T18:25:44.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,,,general_diet,recbuvg3Haiqchgrb,,,,,2025-09-18T12:29:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,recgGEypX3ghJay5R,,"How often do you eat out or order takeout/delivery?
","Rarely, Once a week, Several times a week, Daily",,"10, 7, 4, 2",,Nutrition and Diet,2,7,,,,"recORJv2WiD0okS8a, recuoBvCSdfm3lwTr, recCbfuMP2Ildm8tc, recBM5eEP6tbAZCg2",4,single-select
recdwEpn4ejoQDf9h,2.08,,,,,,2025-06-13T19:52:08.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,"recCbfuMP2Ildm8tc, recBM5eEP6tbAZCg2",,,general_diet,,Multi-response condition logic not built,True,,,2025-09-17T21:39:41.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,recgGEypX3ghJay5R,,"Would you consider preparing more meals at home in support of your longevity goals?
","Yes - actively working on it, Yes - open to trying, Maybe - need more information, Not now, but maybe in the future, No",,"10, 8, 6, 4, 2",,Nutrition and Diet,2,8,,"Several times a week, Daily",,"recBphd1BpleGyTaC, recW9BZF52cSEcZ2B, rec4Dj4syqHDJWGsF, recH9jZh7x4rjQuy4, rec8huzUgcGIb8CYn",0,single-select
recb9sXEhzdtAr8O0,2.09,recYePlQNAddUXuqD,,,,,2025-06-10T18:25:44.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,,,protein-intake,recwSG0k42wC8IlAr,,,,,2025-09-18T12:29:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,recgGEypX3ghJay5R,,"Do you track your daily protein intake?
","Yes, No, but I'm Generally Aware, No",,"10, 7, 2",,Nutrition and Diet,2,9,,,,"recZGE2qKf7jX8E9N, recQCgdrxxvmGDycy, recRts7ye1et7tVgg",1,single-select
recxnp1qLUv1bY0Qw,2.10,,,,,,2025-06-13T19:52:30.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,recRts7ye1et7tVgg,,,protein-intake,,,,,,2025-09-17T21:39:41.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,recgGEypX3ghJay5R,,"Would you consider tracking protein more consistently in support of your longevity goals?
","Yes - actively working on it, Yes - open to trying, Maybe - need more information, Not now, but maybe in the future, No",,"10, 8, 6, 4, 2",,Nutrition and Diet,2,10,,No,,"recBzbR0k1kRA92sQ, recpYjowc0rnjOAnB, recAoOVVp2KQjPOHO, rec16revTvzsSETAJ, recW6jvbHsFwxnz9J",0,single-select
recPkLqmb216mf1qR,2.11,rec9KRoI8TVBXgf5V,,,,,2025-06-10T18:25:44.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,"recZGE2qKf7jX8E9N, recQCgdrxxvmGDycy",,,protein-intake,recEjiAD2JY78ffJ7,"Could technically have this be show if ""No"" is not selected in 2.09 (but just one solve and leaves all the other issues still there)",True,,,2025-09-18T12:29:48.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recHWCRXTjfFLIAck,recgGEypX3ghJay5R,,"How many grams of protein do you typically consume per day?
",[Free response],,2,,Nutrition and Diet,2,11,,"Yes, No, but I'm Generally Aware",,recoZl2U7Egs8lVXg,12,free-response
recSsOBdoRh65pY8N,2.12,,,,,,2025-06-10T18:25:44.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,"recZGE2qKf7jX8E9N, recQCgdrxxvmGDycy, recoZl2U7Egs8lVXg",,,protein-intake,,"Not sure how we do this...its an if condition based on the calculation so lets come back to this, CONSIDER DELETING",True,,,2025-09-29T12:16:41.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,recgGEypX3ghJay5R,,"Would you consider adjusting your daily protein intake in support of your longevity goals?
","Yes - open to trying, Yes - actively working on it, Maybe - need more information, Not now, but maybe in the future, No",,"8, 10, 6, 4, 2",,Nutrition and Diet,2,12,,"Yes, No, but I'm Generally Aware, [Free response]",,"rec9Fe8AZ7ViaJisU, recLCauXXV75CE18h, rechQ4U9gpJPvVmw1, rec9NutJMV5DNohVg, recDCMr2ArxJSOHT5",0,single-select
reca3iswGajoVcX6m,2.13,recYLPMMzs0JXY9lU,,,,recgUqiTjFzsl0VVc,2025-06-10T18:25:44.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,,,processed-meat-consumption,recEjiAD2JY78ffJ7,,,,,2025-10-07T17:48:49.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,recgGEypX3ghJay5R,,"How often do you consume processed meat (such as bacon, sausages, hot dogs, ham, salami, pepperoni, deli meats, or canned meats)?
","Rarely or Never, Less than once a week, 1-2 times per week, 5 or more times per week, 3-4 times per week",,"10, 10, 8, 2, 4",,Nutrition and Diet,2,13,,,,"recEyxn0JUl9dXUis, recCoonLF53eUfFqL, recAWyysP6WNjiKdR, recXr3CMIp8btTxzN, rec6O3IPP52lDCGnB",10,single-select
recSUEvcRodl20lVh,2.14,,,,,,2025-06-10T18:25:44.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,"rec6O3IPP52lDCGnB, recXr3CMIp8btTxzN, recAWyysP6WNjiKdR",,,processed-meat-consumption,,Multi-response condition logic not built,True,,,2025-09-29T12:32:52.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,recgGEypX3ghJay5R,,"Would you consider decreasing your processed meat consumption in support of your longevity goals?
","Yes - open to trying, Yes - actively working on it, Maybe - need more information, Not now, but maybe in the future, No",,"8, 10, 6, 4, 2",,Nutrition and Diet,2,14,,"3-4 times per week, 5 or more times per week, 1-2 times per week",,"rectZXLvB26CWyqy5, recnVtIm5EkhztsyC, rec5oekU2PzFuZ74k, recooD2A5Yt7FxPYK, recDOiJoLujIYNqVJ",0,single-select
rec698T3pwcdOdVMZ,2.67,recUs3667iFP3i6cf,,,,recEl3WR5NIZDVMVX,2025-09-18T12:32:16.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,,,red-meat-consumption,recbuvg3Haiqchgrb,,,,,2025-10-07T17:50:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,recgGEypX3ghJay5R,,"How often do you consume red meat (such as beef, pork, lamb, veal, or goat)?
","Rarely or Never, Less than once a week, 1-2 times per week, 3-4 times per week, 5 or more times per week",,"10, 10, 8, 4, 2",,Nutrition and Diet,2,15,,,,"rec2u7aBfqsm87KKb, recSokeiqQLGysUaJ, recdAsZMSgQAT7IHv, recHfK6P1ovlMb6s3, recyuD8J6KXPJlWbz",7,single-select
recB2jitOG9AX7tqL,2.68,,,,,,2025-09-18T12:32:18.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,"recHfK6P1ovlMb6s3, recyuD8J6KXPJlWbz",,,red-meat-consumption,,Multi-response condition logic not built,True,,,2025-09-18T12:48:58.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,recgGEypX3ghJay5R,,"Would you consider decreasing your red meat consumption in support of your longevity goals?
","Yes - actively working on it, Yes - open to trying, Maybe - need more information, Not now, but maybe in the future, No",,"10, 8, 6, 4, 2",,Nutrition and Diet,2,16,,"3-4 times per week, 5 or more times per week",,"recdRUD2Hgb53nMxl, rec8qPrOorF7nGzy5, recIpZeZyosaczB02, recDTH8jbYXpjBVcd, reclYT1L99EyNIuSf",0,single-select
rec0xj5dsI5vV2jGZ,2.15,recTJigg1KOQWR2bj,recPwf57YPv35DmjI,,,recpg3BRFDgUImGwp,2025-06-13T19:33:57.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,,,fish-consumption,rec8upzby6AMpc8So,,,,,2025-10-07T17:52:12.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,recgGEypX3ghJay5R,,"How often do you eat fatty fish (e.g., salmon, sardines, mackerel) rich in omega-3s?
","Rarely or Never, Less than once a week, 1-2 times per week, 5 or more times per week, 3-4 times per week",,"2, 4, 6, 10, 10",,Nutrition and Diet,2,17,,,,"recYeIn5fIaoTYXRl, recjHLpXORp4GCMdW, recCMFjbQf44kwHkR, rec5jrm7RHqQXAKpH, reco7fM05auBFiQR0",20,single-select
rec5AQny9AzyNXv5l,2.16,,,,,,2025-06-13T19:33:57.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,"recYeIn5fIaoTYXRl, recjHLpXORp4GCMdW",,,fish-consumption,,Multi-response condition logic not built,True,,,2025-09-18T12:41:33.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,recgGEypX3ghJay5R,,"Would you consider increasing your intake of omega-3 rich fish in support of your longevity goals?
","Yes - actively working on it, Yes - open to trying, Maybe - need more information, Not now, but maybe in the future, No",,"10, 8, 6, 4, 2",,Nutrition and Diet,2,18,,"Rarely or Never, Less than once a week",,"recGa6Rlvca7NbycP, rec138Wr0bKD0Dlg2, recvhAZD0MGPfs4Rv, recqL36bpfAb2QEPz, recECwkCGc568t8Lz",0,single-select
rec5b6PQnoGPoajbd,2.17,recMPV3wtzdP3mLvy,,,,,2025-06-13T19:33:58.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,,,plant-based-protein-intake,recRBV8s964uViTxC,,,,,2025-10-07T17:55:37.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,recgGEypX3ghJay5R,,"How much of your protein comes from plant-based sources in a typical week?
","Almost none - all animal-based, A small portion - mostly animal-based, Moderate - roughly balanced, Large portion - mostly plant-based, Almost entirely plant-based or Vegan",,"2, 5, 10, 10, 10",,Nutrition and Diet,2,19,,,,"rec0dzfDSdALHSBn8, recqFayX2NHqRbj2L, recyxYf16udXAEX2R, recbapY9MAHCI3NQb, recK6BZzV07fjW7Mj",5,single-select
recsQDonkdKHbeLtP,2.18,,,,,,2025-06-13T19:33:59.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,"rec0dzfDSdALHSBn8, recqFayX2NHqRbj2L",,,plant-based-protein-intake,,Multi-response condition logic not built,True,,,2025-09-18T12:41:33.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,recgGEypX3ghJay5R,,"Would you consider increasing the proportion of plant-based protein in support of your longevity goals?
","Yes - actively working on it, Yes - open to trying, Maybe - need more information, Not now, but maybe in the future, No",,"10, 8, 6, 4, 2",,Nutrition and Diet,2,20,,"Almost none - all animal-based, A small portion - mostly animal-based",,"recLjiBmiCLBaczCK, recvsQIexP9NcV0Mf, recz0OxqCZuje92Y9, recD0NWwlXCF985Mp, recJFf1KGEjOgbftP",0,single-select
recnBW6AfULBOdTRn,2.19,recHDABFxYSwsWiIP,,,,,2025-06-10T18:25:44.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,,,fruit-consumption,recEjiAD2JY78ffJ7,,,,,2025-10-07T17:53:14.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,recgGEypX3ghJay5R,,"How many total servings of fruit do you consume daily?
","0, 1-2, 3-4, 5 or more",,"2, 4, 7, 10",,Nutrition and Diet,2,21,,,,"recMqyizfsmSjvtmH, rec5qGik58DpU26BF, recq2pf8x2oeBJo7e, reclF4EeYlqIAYLfY",6,single-select
recxAzIJetLwInYSc,2.20,,,,,,2025-06-10T18:25:44.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,"recMqyizfsmSjvtmH, rec5qGik58DpU26BF",,,fruit-consumption,,Multi-response condition logic not built,True,,,2025-09-18T12:41:33.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,recgGEypX3ghJay5R,,"Would you consider increasing your daily fruit consumption in support of your longevity goals?
","Yes - actively working on it, Yes - open to trying, Maybe - need more information, Not now, but maybe in the future, No",,"10, 8, 6, 4, 2",,Nutrition and Diet,2,22,,"0, 1-2",,"rechAKO5OJiK9jlEa, recRwVSH3pvFgJrqD, recKQ0GfE9VUBpUjL, reckuF4CcVQZULXfc, recWNS79fhSfl2dwu",0,single-select
