record_id,Created By,calculation_target_value_3,calculation_type_from_recommendationgoals,challenge_description,challenge_level,challenge_title,created,dependency_tracked_metric_from_recommendationgoals,id,last_modified_by,last_modified_time,level_description_from_recommendations,linked_recommendations,operator_from_recommendationgoals,recommendationgoals_ref,recommendations_v2,record_ID,scoring_frequency,scoring_frequency_from_recommendationgoals,scoring_type_from_recommendationgoals,target_value,times,tracked_metric_from_recommendationgoals,trigger_conditions,unit_from_recommendationgoals,weightage_from_recommendationgoals
recioSn18g1UoXn1e,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,Reach 18g of fiber for 2 of the next 3 days to get back on track. Here are some great options: 1 cup oatmeal (4g) + 1 apple (4g) + 1/2 cup beans (6g) + vegetables (4g).,01,Fiber Intake Restart,2025-09-10T18:52:45.000Z,,CH-01-REC0001.3 (i),"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,Reach 25g of fiber daily with consistent adherence,recu8nVY5FrP2YCVR,>=,recpe8sDKrKo4KVQJ,recyzL1fyLSDVCg58,recioSn18g1UoXn1e,3-day,daily,proportional_daily,18,2,recgyE3iWXP2ccYEx,recW6UbqZK8YEDYEJ,grams,
rec5r7ZFm4Mn2dMdl,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,Reach 20g of fiber for 4 of the next 5 days to build momentum. Try incorporating fiber-rich foods at each meal to spread intake throughout the day.,02,Building Fiber Goals,2025-09-10T18:52:45.000Z,,CH-02-REC0001.3 (i),"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,Reach 25g of fiber daily with consistent adherence,recu8nVY5FrP2YCVR,>=,recpe8sDKrKo4KVQJ,recyzL1fyLSDVCg58,rec5r7ZFm4Mn2dMdl,5-day,daily,proportional_daily,20,4,recgyE3iWXP2ccYEx,rec7q3B1tby7yzQQS,grams,
recTw05kIsLlWyofa,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,Reach 25g of fiber for 7 consecutive days to establish your daily fiber routine. Focus on making this intake level an automatic part of your nutrition habits.,03,Daily Fiber Target,2025-09-10T18:52:45.000Z,,CH-03-REC0001.3 (i),"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,Reach 25g of fiber daily with consistent adherence,recu8nVY5FrP2YCVR,>=,recpe8sDKrKo4KVQJ,recyzL1fyLSDVCg58,recTw05kIsLlWyofa,weekly,daily,proportional_daily,25,7,recgyE3iWXP2ccYEx,recuzNQE4zW7byizo,grams,
recRWHqakpr6M7nvv,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,Reach 28g of fiber for 2 of the next 3 days to get back on track. Here are some great options: 1 cup oatmeal (4g) + 1 apple (4g) + 1/2 cup beans (6g) + vegetables (4g) + whole grain bread (10g).,01,Fiber Intake Restart,2025-09-10T18:52:45.000Z,,CH-01-REC0001.3 (ii),"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,Reach 38g of fiber daily with consistent adherence,recMfTk8ITmrFJowR,>=,recHlERNnFF0HvHrJ,recQGhqpbZNfyn2G8,recRWHqakpr6M7nvv,3-day,daily,proportional_daily,28,2,recgyE3iWXP2ccYEx,recW6UbqZK8YEDYEJ,grams,
recHEiHCpVw9d49Lj,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,Reach 32g of fiber for 4 of the next 5 days to build momentum. Try incorporating fiber-rich foods at each meal to spread intake throughout the day.,02,Building Fiber Goals,2025-09-10T18:52:45.000Z,,CH-02-REC0001.3 (ii),"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,Reach 38g of fiber daily with consistent adherence,recMfTk8ITmrFJowR,>=,recHlERNnFF0HvHrJ,recQGhqpbZNfyn2G8,recHEiHCpVw9d49Lj,5-day,daily,proportional_daily,32,4,recgyE3iWXP2ccYEx,rec7q3B1tby7yzQQS,grams,
rec5ckY0oKlMloo9y,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,Reach 38g of fiber for 7 consecutive days to establish your daily fiber routine. Focus on making this intake level an automatic part of your nutrition habits.,03,Daily Fiber Target,2025-09-10T18:52:45.000Z,,CH-03-REC0001.3 (ii),"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,Reach 38g of fiber daily with consistent adherence,recMfTk8ITmrFJowR,>=,recHlERNnFF0HvHrJ,recQGhqpbZNfyn2G8,rec5ckY0oKlMloo9y,weekly,daily,proportional_daily,38,7,recgyE3iWXP2ccYEx,recuzNQE4zW7byizo,grams,
recvCgzNHm2yAoHju,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,Reach 15g of fiber for 2 of the next 3 days to get back on track. Here are some great options: 1 cup oatmeal (4g) + 1 apple (4g) + 1/2 cup beans (6g) + 1 slice whole grain bread (1g).,01,Fiber Intake Restart,2025-09-10T18:52:45.000Z,,CH-01-REC0001.3 (iii),"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,Reach 21g of fiber daily with consistent adherence,recz8gAMEHUAYrsVo,>=,recue17rjtd90dLQg,recDzEG37NloR565F,recvCgzNHm2yAoHju,3-day,daily,proportional_daily,15,2,recgyE3iWXP2ccYEx,recW6UbqZK8YEDYEJ,grams,
reciCrys5esGp6A8B,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,Reach 18g of fiber for 4 of the next 5 days to build momentum. Try incorporating fiber-rich foods at each meal to spread intake throughout the day.,02,Building Fiber Goals,2025-09-10T18:52:45.000Z,,CH-02-REC0001.3 (iii),"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,Reach 21g of fiber daily with consistent adherence,recz8gAMEHUAYrsVo,>=,recue17rjtd90dLQg,recDzEG37NloR565F,reciCrys5esGp6A8B,5-day,daily,proportional_daily,18,4,recgyE3iWXP2ccYEx,rec7q3B1tby7yzQQS,grams,
rec35itRFwfQpVhGe,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,Reach 21g of fiber for 7 consecutive days to establish your daily fiber routine. Focus on making this intake level an automatic part of your nutrition habits.,03,Daily Fiber Target,2025-09-10T18:52:45.000Z,,CH-03-REC0001.3 (iii),"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,Reach 21g of fiber daily with consistent adherence,recz8gAMEHUAYrsVo,>=,recue17rjtd90dLQg,recDzEG37NloR565F,rec35itRFwfQpVhGe,weekly,daily,proportional_daily,21,7,recgyE3iWXP2ccYEx,recuzNQE4zW7byizo,grams,
recYQu5bs0jmC9ZR8,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,Reach 22g of fiber for 2 of the next 3 days to get back on track. Here are some great options: 1 cup oatmeal (4g) + 1 apple (4g) + 1/2 cup beans (6g) + vegetables (4g) + nuts (4g).,01,Fiber Intake Restart,2025-09-10T18:52:45.000Z,,CH-01-REC0001.3 (iv),"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,Reach 30g of fiber daily with consistent adherence,recvv2HVgKwsoHdQD,>=,recqBNeAVwP1qtwLv,reczWqNcJQXghlR0U,recYQu5bs0jmC9ZR8,3-day,daily,proportional_daily,22,2,recgyE3iWXP2ccYEx,recW6UbqZK8YEDYEJ,grams,
rectHaslOiH9iPeLW,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,Reach 26g of fiber for 4 of the next 5 days to build momentum. Try incorporating fiber-rich foods at each meal to spread intake throughout the day.,02,Building Fiber Goals,2025-09-10T18:52:45.000Z,,CH-02-REC0001.3 (iv),"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,Reach 30g of fiber daily with consistent adherence,recvv2HVgKwsoHdQD,>=,recqBNeAVwP1qtwLv,reczWqNcJQXghlR0U,rectHaslOiH9iPeLW,5-day,daily,proportional_daily,26,4,recgyE3iWXP2ccYEx,rec7q3B1tby7yzQQS,grams,
recaVvQTVPtNu6IOE,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,Reach 30g of fiber for 7 consecutive days to establish your daily fiber routine. Focus on making this intake level an automatic part of your nutrition habits.,03,Daily Fiber Target,2025-09-10T18:52:45.000Z,,CH-03-REC0001.3 (iv),"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,Reach 30g of fiber daily with consistent adherence,recvv2HVgKwsoHdQD,>=,recqBNeAVwP1qtwLv,reczWqNcJQXghlR0U,recaVvQTVPtNu6IOE,weekly,daily,proportional_daily,30,7,recgyE3iWXP2ccYEx,recuzNQE4zW7byizo,grams,
recuwBHuOPm4D43w7,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,"Replace one source of saturated fat with a healthier option for 2 of the next 3 days to get back on track. Here are some great options: butter → olive oil, cream → avocado, or cheese → nuts.",01,Quick Fat Swap Reboot,2025-09-10T18:52:45.000Z,,CH-01-REC0002.1,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,"Replace one source of saturated fat per day (e.g., butter → olive oil)",recHzb6cKfnSgyEzu,>=,recCFWDRp1GrikXum,recL0zctdlOG9ciJL,recuwBHuOPm4D43w7,3-day,daily,binary_daily,1,2,recjmkU2nIaeSH2XZ,recW6UbqZK8YEDYEJ,swap,
recAzbxqWVelNG8a0,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,"Replace one source of saturated fat with a healthier alternative for 4 of the next 5 days to build momentum. Try swapping your cooking oil, salad dressing, or snack choices.",02,Building Healthy Fat Momentum,2025-09-10T18:52:45.000Z,,CH-02-REC0002.1,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,"Replace one source of saturated fat per day (e.g., butter → olive oil)",recHzb6cKfnSgyEzu,>=,recCFWDRp1GrikXum,recL0zctdlOG9ciJL,recAzbxqWVelNG8a0,5-day,daily,binary_daily,1,4,recjmkU2nIaeSH2XZ,rec7q3B1tby7yzQQS,swap,
reccmhEpjHyrX7lYI,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,Replace one source of saturated fat with a healthier option for 7 consecutive days to establish your daily healthy fat routine. Focus on making this an automatic part of your meal planning.,03,Daily Fat Swap Habit,2025-09-10T18:52:45.000Z,,CH-03-REC0002.1,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,"Replace one source of saturated fat per day (e.g., butter → olive oil)",recHzb6cKfnSgyEzu,>=,recCFWDRp1GrikXum,recL0zctdlOG9ciJL,reccmhEpjHyrX7lYI,weekly,daily,binary_daily,1,7,recjmkU2nIaeSH2XZ,recuzNQE4zW7byizo,swap,
recNXJpxOvnyAds8e,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,Replace all sources of saturated fat with healthier alternatives for 3 of the next 5 days to take your fat intake to the next level. Transform your entire daily fat intake.,04,Complete Fat Profile Upgrade,2025-09-10T18:52:45.000Z,,CH-04-REC0002.1,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,"Replace one source of saturated fat per day (e.g., butter → olive oil)",recHzb6cKfnSgyEzu,>=,recCFWDRp1GrikXum,recL0zctdlOG9ciJL,recNXJpxOvnyAds8e,5-day,daily,binary_daily,1,3,recjmkU2nIaeSH2XZ,rectNb8AM5fmsSRay,swap,
recbXOdRxFtsbH502,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,Replace all sources of saturated fat with healthier options for 5 of the next 7 days - you're ready to optimize your fat profile completely!,05,Perfect Fat Mastery,2025-09-10T18:52:45.000Z,,CH-05-REC0002.1,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,"Replace one source of saturated fat per day (e.g., butter → olive oil)",recHzb6cKfnSgyEzu,>=,recCFWDRp1GrikXum,recL0zctdlOG9ciJL,recbXOdRxFtsbH502,weekly,daily,binary_daily,1,5,recjmkU2nIaeSH2XZ,recu5zaPt8hg3iZMC,swap,
recWTaxZl9BjDu6Jz,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,"Use unsaturated fats as your primary cooking method for 2 of the next 3 days to get back on track. Here are some great options: olive oil for sautéing, avocado oil for high heat, or nut oils for flavor.",01,Cooking Oil Quick Reset,2025-09-10T18:52:45.000Z,,CH-01-REC0002.2,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,Use unsaturated fats as the default in cooking and meal prep,rec949y9L8RuJ25yP,>=,rec4aU5OqUa3LOotH,recdvxEqeeiiCGJI6,recWTaxZl9BjDu6Jz,3-day,daily,binary_daily,1,2,recWRDVKJz69pZhYp,recW6UbqZK8YEDYEJ,%,
recNJ73Lvsv7XXSps,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,"Use unsaturated fats as your default cooking approach for 4 of the next 5 days to build momentum. Focus on making olive oil, avocado oil, and nut oils your go-to choices.",02,Building Kitchen Fat Foundation,2025-09-10T18:52:45.000Z,,CH-02-REC0002.2,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,Use unsaturated fats as the default in cooking and meal prep,rec949y9L8RuJ25yP,>=,rec4aU5OqUa3LOotH,recdvxEqeeiiCGJI6,recNJ73Lvsv7XXSps,5-day,daily,binary_daily,1,4,recWRDVKJz69pZhYp,rec7q3B1tby7yzQQS,%,
recKSFJJvMUEVEudB,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,Use unsaturated fats as your primary cooking method for 7 consecutive days to establish your healthy cooking routine. Focus on making this an automatic part of your meal preparation.,03,Daily Healthy Cooking Habit,2025-09-10T18:52:45.000Z,,CH-03-REC0002.2,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,Use unsaturated fats as the default in cooking and meal prep,rec949y9L8RuJ25yP,>=,rec4aU5OqUa3LOotH,recdvxEqeeiiCGJI6,recKSFJJvMUEVEudB,weekly,daily,binary_daily,1,7,recWRDVKJz69pZhYp,recuzNQE4zW7byizo,%,
rectCFQbNdROt5L9U,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,Use unsaturated fats in all cooking and meal prep for 8 of the next 10 days to take your kitchen habits to the next level. Include both stovetop cooking and meal prep sessions.,04,Enhanced Cooking Mastery,2025-09-10T18:52:45.000Z,,CH-04-REC0002.2,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,Use unsaturated fats as the default in cooking and meal prep,rec949y9L8RuJ25yP,>=,rec4aU5OqUa3LOotH,recdvxEqeeiiCGJI6,rectCFQbNdROt5L9U,10-day,daily,binary_daily,1,8,recWRDVKJz69pZhYp,rectNb8AM5fmsSRay,%,
rec5lrJhkVl67kjrI,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,Use unsaturated fats exclusively in all cooking and meal prep for 12 of the next 14 days - you're ready to optimize your culinary practices! Master different oils for different cooking methods and temperatures.,05,Peak Culinary Fat Excellence,2025-09-10T18:52:45.000Z,,CH-05-REC0002.2,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,Use unsaturated fats as the default in cooking and meal prep,rec949y9L8RuJ25yP,>=,rec4aU5OqUa3LOotH,recdvxEqeeiiCGJI6,rec5lrJhkVl67kjrI,14-day,daily,binary_daily,1,12,recWRDVKJz69pZhYp,recu5zaPt8hg3iZMC,%,
