record_id,base_unit,conversion_factor,created,created_by,display_name,from_field_base_unit,healthkit_equivalent,intake_metrics_raw,intake_metrics_raw_2,intake_metrics_raw_3,is_base_unit,last_modified_by,last_modified_time,special_conversion,symbol,unit_identifier,unit_type
rec9sreMoCUVVcRmS,recit8uxWoV5tgHpU,100,2025-09-11T23:49:59.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Meter,"rectJDQYAbtwN0jZH, recjlLWP4winLXxRS",HKUnit.meter(),,,,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:50:20.000Z,,m,meter,length
recw0nHQ7wOqENvM0,recit8uxWoV5tgHpU,30.48,2025-09-11T23:50:03.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Feet,,HKUnit.foot(),,,,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:50:03.000Z,,ft,feet,length
recsaW6EQzkDhJU0Y,recit8uxWoV5tgHpU,2.54,2025-09-11T23:50:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Inches,,HKUnit.inch(),,,,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:50:07.000Z,,in,inch,length
rectJDQYAbtwN0jZH,rec9sreMoCUVVcRmS,160934,2025-09-11T23:50:16.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Miles,,HKUnit.mile(),,,,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:50:16.000Z,,miles,mile,length
recjlLWP4winLXxRS,rec9sreMoCUVVcRmS,100000,2025-09-11T23:50:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Kilometer,,HKUnit.meterUnit(with: .kilo),,,,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:50:20.000Z,,km,kilometer,length
recqIbSBXxEGLcxof,rece7ca3E6cEDCjgt,60,2025-09-11T23:50:24.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Hour,,HKUnit.hour(),,,,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:50:24.000Z,,hr,hour,time
recITieKe71yfUdlo,rece7ca3E6cEDCjgt,0.0167,2025-09-11T23:50:30.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Second,,HKUnit.second(),,,,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:50:30.000Z,,sec,second,time
receT5giWQMygt4bK,,1,2025-09-11T23:50:34.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Celsius,recxCJX5rru6BTq5T,HKUnit.degreeCelsius(),,,,True,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:50:39.000Z,,°C,celsius,temperature
recxCJX5rru6BTq5T,receT5giWQMygt4bK,,2025-09-11T23:50:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Fahrenheit,,HKUnit.degreeFahrenheit(),,,,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:52:27.000Z,temperature,°F,fahrenheit,temperature
recMHc5B5Jya49syY,recZZjlPGS8Wrsiv5,3785.41,2025-09-11T23:50:43.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Gallon,,HKUnit.gallon(),,,,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:50:43.000Z,,gal,gallon,volume
recEjH4neODHifK2p,recZZjlPGS8Wrsiv5,473.176,2025-09-11T23:50:48.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Pint,,HKUnit.pintUSUnit(),,,,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:50:48.000Z,,pt,pint,volume
recsj5C1Tk9bM0fWS,recZZjlPGS8Wrsiv5,946.353,2025-09-11T23:50:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Quart,,HKUnit.quartUSUnit(),,,,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:50:51.000Z,,qt,quart,volume
recisLDJ3YyceDzm7,recZZjlPGS8Wrsiv5,14.787,2025-09-11T23:50:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Tablespoon,,HKUnit.tablespoonUSUnit(),,,,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:50:56.000Z,,tbsp,tablespoon,volume
rec5pmFj7usjbxdmy,recZZjlPGS8Wrsiv5,4.929,2025-09-11T23:51:01.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Teaspoon,,HKUnit.teaspoonUSUnit(),,,,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:51:01.000Z,,tsp,teaspoon,volume
recXth9igVLgLrcgf,recilETRsPS5Ynbd8,0.0283495,2025-09-11T23:51:06.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Ounce,,HKUnit.ounceUnit(),,,,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:51:06.000Z,,oz,ounce,mass
recqpLqqBCyzPaYlJ,recilETRsPS5Ynbd8,1e-06,2025-09-11T23:51:10.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Milligram,,HKUnit.gramUnit(with: .milli),,,,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:51:10.000Z,,mg,milligram,mass
recdrVvTfsePzqm3z,,1,2025-09-11T23:51:15.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Calorie,recOggSeMNa951VLU,HKUnit.calorie(),,,,True,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:51:19.000Z,,cal,calorie,energy
recOggSeMNa951VLU,recdrVvTfsePzqm3z,1000,2025-09-11T23:51:19.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Kilocalorie,,HKUnit.kilocalorie(),,,,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:51:19.000Z,,kcal,kilocalorie,energy
reczfWYzyM25hVmdJ,,1,2025-09-11T23:51:23.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Millimeters of Mercury,,HKUnit.millimeterOfMercury(),,,,True,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:51:23.000Z,,mmHg,mmhg,pressure
recfltVPKXLSbcWWy,,1,2025-09-11T23:51:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Count,,HKUnit.count(),,,,True,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:51:29.000Z,,,count,count
rec5cWYHBFUarxOS5,,1,2025-09-11T23:51:33.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Percent,,HKUnit.percent(),,,,True,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:51:33.000Z,,%,percent,percent
recY74pyYoVzzpfCR,,1,2025-09-11T23:51:36.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",1-5 Scale,receKGzYpnoFBa9It,,,,,True,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:51:42.000Z,,(1-5),scale_1_5,scale
receKGzYpnoFBa9It,recY74pyYoVzzpfCR,2,2025-09-11T23:51:42.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",1-10 Scale,,,,,,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:51:42.000Z,,(1-10),scale_1_10,scale
recVigO2Oa5Q7lIIZ,recit8uxWoV5tgHpU,,2025-09-11T23:52:33.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Feet and Inches,,,,,,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-13T17:12:28.000Z,compound_height,ft+in,feet_inches,length
