record_id,algorithm_type,config_id,config_name,created,created_by,formula,id_start,last_modified_by,last_modified_time,level_description_from_recommendations_v2,recommendations_v2,schema_calculated_metrics_1,schema_calculation_method,schema_daily_comparison,schema_daily_limit,schema_daily_threshold,schema_evaluation_period,schema_progress_direction,schema_required_days,schema_total_days,schema_tracked_metrics,schema_units,scoring_method,title_from_recommendations_v2,ui_display_schema_calculated_metrics,ui_display_schema_tracked_metrics,unit_identifier_1,units_schema_tracked_metrics
recB7Fbmgc0DZBU0r,binary_threshold,REC0018.2-MINIMUM-FREQUENCY,Minimum Frequency - first meal within 2 hours 5 days/week,2025-09-23T00:42:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",100 if days_meeting_threshold >= required_days else 0,MINIMUM-FREQUENCY,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:16.000Z,Eat your first meal of the day within 2 hours after waking on at least 5 days per week,recnRyEUhjUeoUchl,recuYoFcLSUuqXnvi,daily_threshold_frequency_count,<=,,2,weekly_minimum_frequency,measurement,5,7,"recVBnB9mNNstK4qa, recftlzJ5y399ZpGW",hours,recrszdeQRK91Ju5g,First Meal Timing,Hours,"Meals, Time of Day",reckolm0WELYWYy5d,"rec9OxY60mezaCp2J, recv2GuhbmM9UdNDp"
recNYvHTnutdT4Wmk,minimum_frequency,REC0018.3-MINIMUM-FREQUENCY,Minimum Frequency - first meal within 2 hours daily,2025-09-23T00:42:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","min((successful_days / required_days) * 100, 100)",MINIMUM-FREQUENCY,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:16.000Z,Eat your first meal of the day within 2 hours after waking every day of the week,recmdRVGzVZWVywBI,recuYoFcLSUuqXnvi,daily_threshold_achievement,<=,,2,daily,measurement,7,7,"recVBnB9mNNstK4qa, recftlzJ5y399ZpGW",hours,recrszdeQRK91Ju5g,First Meal Timing,Hours,"Meals, Time of Day",reckolm0WELYWYy5d,"rec9OxY60mezaCp2J, recv2GuhbmM9UdNDp"
recZWBMurnczhPE41,binary_threshold,REC0019.1-MINIMUM-FREQUENCY,Minimum Frequency - last meal 2+ hours before bed 2 days/week,2025-09-23T00:42:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",100 if days_meeting_threshold >= required_days else 0,MINIMUM-FREQUENCY,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:16.000Z,Finish your final meal at least 2 hours before bedtime on at least 2 days per week,recis6ZIrpUjVVGQq,recNyjVFxPUtmKTSf,daily_threshold_frequency_count,>=,,2,weekly_minimum_frequency,measurement,2,7,"recVBnB9mNNstK4qa, rec3aaVy0dCKmrdxX",hours,recrszdeQRK91Ju5g,Final Meal Timing,Hours,"Meals, Time of Day",reckolm0WELYWYy5d,"rec9OxY60mezaCp2J, recv2GuhbmM9UdNDp"
rec9I85lNAdesXqtS,binary_threshold,REC0019.2-MINIMUM-FREQUENCY,Minimum Frequency - last meal 3+ hours before bed 5 days/week,2025-09-23T00:42:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",100 if days_meeting_threshold >= required_days else 0,MINIMUM-FREQUENCY,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:16.000Z,Finish your final meal at least 3 hours before bedtime on at least 5 days per week,rec7j9tyH4EV9L9yd,recNyjVFxPUtmKTSf,daily_threshold_frequency_count,>=,,3,weekly_minimum_frequency,measurement,5,7,"recVBnB9mNNstK4qa, rec3aaVy0dCKmrdxX",hours,recrszdeQRK91Ju5g,Final Meal Timing,Hours,"Meals, Time of Day",reckolm0WELYWYy5d,"rec9OxY60mezaCp2J, recv2GuhbmM9UdNDp"
rec2rWC5a6TvkvodL,minimum_frequency,REC0019.3-MINIMUM-FREQUENCY,Minimum Frequency - last meal 3+ hours before bed daily,2025-09-23T00:42:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","min((successful_days / required_days) * 100, 100)",MINIMUM-FREQUENCY,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:16.000Z,Finish your final meal at least 3 hours before bedtime every day of the week,recaHXUIQkCQZUyup,recNyjVFxPUtmKTSf,daily_threshold_achievement,>=,,3,daily,measurement,7,7,"recVBnB9mNNstK4qa, rec3aaVy0dCKmrdxX",hours,recrszdeQRK91Ju5g,Final Meal Timing,Hours,"Meals, Time of Day",reckolm0WELYWYy5d,"rec9OxY60mezaCp2J, recv2GuhbmM9UdNDp"
recLD9AKRpHv8MRio,binary,REC0021.1-MINIMUM-FREQUENCY,Minimum Frequency - whole food meals 1 meal 2 days/week,2025-09-23T00:42:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",100 if days_meeting_threshold >= required_days else 0,MINIMUM-FREQUENCY,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:16.000Z,"Make at least 1 meal per day a whole-food meal (unprocessed/minimally processed ingredients), 2+ days/week",recm7NxBHBB2fClE6,recYiJzYAm3QkH9y9,daily_threshold_frequency_count,>=,,1,weekly_minimum_frequency,buildup,1,7,recnQIsdQFp3wedHR,meal,recrszdeQRK91Ju5g,Daily Whole Food Meals,Meals,Meals,rec9OxY60mezaCp2J,rec9OxY60mezaCp2J
recEqSFc9tugpyqD5,binary,REC0021.3-MINIMUM-FREQUENCY,Minimum Frequency - all whole food meals 5 days/week,2025-09-23T00:42:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",average ratio score on at least 5 days with partial credit,MINIMUM-FREQUENCY,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:16.000Z,"Make all meals whole-food based, at least 5 days per week",recBPC6hC5tkxmXSH,recYiJzYAm3QkH9y9,daily_threshold_frequency_count,>=,,1,weekly_minimum_frequency,buildup,5,7,recnQIsdQFp3wedHR,meal,recrszdeQRK91Ju5g,Daily Whole Food Meals,Meals,Meals,rec9OxY60mezaCp2J,rec9OxY60mezaCp2J
recbOUe3YArBODXBA,binary,REC0022.1-MINIMUM-FREQUENCY,Minimum Frequency - ultra-processed foods 1 serving 2 days/week,2025-09-23T00:42:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",100 if days_meeting_threshold >= required_days else 0,MINIMUM-FREQUENCY,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:16.000Z,"Limit ultra-processed foods to 1 serving per day or less, on at least 2 days per week",rec15XA9JXP4kxzzm,recaOSieHgikeIksD,daily_threshold_frequency_count,<=,,1,weekly_minimum_frequency,countdown,2,7,recNjyT4Wj1DIqywi,serving,recrszdeQRK91Ju5g,Daily Ultra-Processed Foods,Servings,Servings,recZBMdCzE5sRxqOQ,recZBMdCzE5sRxqOQ
recmEevwyxz1wMHkQ,binary,REC0022.2-MINIMUM-FREQUENCY,Minimum Frequency - ultra-processed foods 1 serving 5 days/week,2025-09-23T00:42:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",100 if days_meeting_threshold >= required_days else 0,MINIMUM-FREQUENCY,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:16.000Z,"Limit ultra-processed foods to 1 serving per day or less, on at least 5 days per week",recG7gyGMLSfyNTqk,recaOSieHgikeIksD,daily_threshold_frequency_count,<=,,1,weekly_minimum_frequency,countdown,5,7,recNjyT4Wj1DIqywi,serving,recrszdeQRK91Ju5g,Daily Ultra-Processed Foods,Servings,Servings,recZBMdCzE5sRxqOQ,recZBMdCzE5sRxqOQ
recSD2rhH8qPy3AMa,minimum_frequency,REC0024.1-MINIMUM-FREQUENCY,Minimum Frequency - daily_plant_based_meal,2025-09-23T00:42:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",if (qualifying_days >= required_days) then 100 else (qualifying_days/required_days)*100,MINIMUM-FREQUENCY,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:16.000Z,"Make at least 1 meal per day plant-based, on at least 2 days per week",recYLv4hF464Kesqm,reczkGnRKXr1kt8GO,frequency_count,>=,,1,weekly,buildup,2,7,recyPHEwuVedxPxh6,meal,recrszdeQRK91Ju5g,Daily Plant-Based Meals,Meals,Meals,rec9OxY60mezaCp2J,rec9OxY60mezaCp2J
recy82LqRwPXyQNgP,minimum_frequency,REC0024.2-MINIMUM-FREQUENCY,Minimum Frequency - daily_plant_based_meal,2025-09-23T00:42:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",if (qualifying_days >= required_days) then 100 else (qualifying_days/required_days)*100,MINIMUM-FREQUENCY,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:16.000Z,"Make at least 1 meal per day plant-based, on at least 5 days per week",rec0adRBithZ3BNoZ,reczkGnRKXr1kt8GO,frequency_count,>=,,1,weekly,buildup,5,7,recyPHEwuVedxPxh6,meal,recrszdeQRK91Ju5g,Daily Plant-Based Meals,Meals,Meals,rec9OxY60mezaCp2J,rec9OxY60mezaCp2J
rec4fGAMESXGyZkt7,minimum_frequency,REC0024.3-MINIMUM-FREQUENCY,Minimum Frequency - daily_plant_based_meal,2025-09-23T00:42:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",if (qualifying_days >= required_days) then 100 else (qualifying_days/required_days)*100,MINIMUM-FREQUENCY,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:16.000Z,"Make at least 2 meals per day plant-based, every day of the week",recKhWFKEYKSFcikb,reczkGnRKXr1kt8GO,frequency_count,>=,,2,weekly,buildup,7,7,recyPHEwuVedxPxh6,meal,recrszdeQRK91Ju5g,Daily Plant-Based Meals,Meals,Meals,rec9OxY60mezaCp2J,rec9OxY60mezaCp2J
rec1K7Rlezktoo7Dn,minimum_frequency,REC0029.1-MINIMUM-FREQUENCY,Minimum Frequency - hiit_sessions,2025-09-23T00:42:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",if (qualifying_days >= required_days) then 100 else 0,MINIMUM-FREQUENCY,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:16.000Z,Complete at least 1 HIIT session per week,recakt2a8V8iqmERc,recLIzZxrjsb2vgI0,frequency_count,>=,1,1,weekly,buildup,1,7,recDYU7Wvc26S0Wd1,session,recrszdeQRK91Ju5g,HIIT Sessions,Sessions,Time of Day,recyl9Pa45s71Mrs8,recv2GuhbmM9UdNDp
recivETdV2ZSVUL7p,minimum_frequency,REC0029.2-MINIMUM-FREQUENCY,Minimum Frequency - hiit_sessions,2025-09-23T00:42:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",if (qualifying_days >= required_days) then 100 else 0,MINIMUM-FREQUENCY,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:16.000Z,Complete at least 2 HIIT sessions per week,recaBIRD7TdktJy1h,recLIzZxrjsb2vgI0,frequency_count,>=,1,1,weekly,buildup,2,7,recDYU7Wvc26S0Wd1,session,recrszdeQRK91Ju5g,HIIT Sessions,Sessions,Time of Day,recyl9Pa45s71Mrs8,recv2GuhbmM9UdNDp
recdt7rI1OT6WxFa1,minimum_frequency,REC0029.3-MINIMUM-FREQUENCY,Minimum Frequency - hiit_sessions,2025-09-23T00:42:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",if (qualifying_days >= required_days) then 100 else 0,MINIMUM-FREQUENCY,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:16.000Z,Complete at least 3 HIIT sessions per week,rechZVptoLoPBWnwS,recLIzZxrjsb2vgI0,frequency_count,>=,1,1,weekly,buildup,3,7,recDYU7Wvc26S0Wd1,session,recrszdeQRK91Ju5g,HIIT Sessions,Sessions,Time of Day,recyl9Pa45s71Mrs8,recv2GuhbmM9UdNDp
recdbCLNvRQ5OIllG,,REC0032.3-MINIMUM-FREQUENCY,Minimum Frequency - sedentary_time,2025-09-25T19:06:17.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",100 if days_meeting_threshold >= required_days else (days_meeting_threshold / required_days) * 100,MINIMUM-FREQUENCY,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:16.000Z,"Stay on your feet: Consistently keep sedentary time below 6 hours per day, every day",recDoZl3h8rr6rPAq,recDy9h2pZ35CDOC3,daily_binary_frequency,<=,,360,daily,countdown,7,7,rec4CBUv9ozkrYKte,minutes,recrszdeQRK91Ju5g,Sedentary Time,Minutes,Time of Day,recLNmY0jLZKxr5fs,recv2GuhbmM9UdNDp
rec6cgHlAPuaNoGdI,minimum_frequency,REC0033.1-MINIMUM-FREQUENCY,Minimum Frequency - daily_mobility_sessions,2025-09-23T00:42:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",if (qualifying_days >= required_days) then 100 else 0,MINIMUM-FREQUENCY,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:16.000Z,Get started: Complete at least 2 mobility sessions per week,rec63sNEGqWcrFhHE,rec5LsIPpAzVqoWu9,frequency_count,>=,1,1,weekly,buildup,2,7,recEgGgnWikfgJQCK,session,recrszdeQRK91Ju5g,Weekly Mobility Sessions,Sessions,Time of Day,recyl9Pa45s71Mrs8,recv2GuhbmM9UdNDp
recZzgHgGklSyEoX7,minimum_frequency,REC0033.2-MINIMUM-FREQUENCY,Minimum Frequency - daily_mobility_sessions,2025-09-23T00:42:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",if (qualifying_days >= required_days) then 100 else 0,MINIMUM-FREQUENCY,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:16.000Z,Progress: Complete at least 4 mobility sessions per week,recfRDPRzCbSARqsV,rec5LsIPpAzVqoWu9,frequency_count,>=,1,1,weekly,buildup,4,7,recEgGgnWikfgJQCK,session,recrszdeQRK91Ju5g,Weekly Mobility Sessions,Sessions,Time of Day,recyl9Pa45s71Mrs8,recv2GuhbmM9UdNDp
recH37zGzfKGU7ZgJ,minimum_frequency,REC0033.3-MINIMUM-FREQUENCY,Minimum Frequency - daily_mobility_sessions,2025-09-23T00:42:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",if (qualifying_days >= required_days) then 100 else 0,MINIMUM-FREQUENCY,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:16.000Z,Daily routine: Practice daily mobility (6+ sessions/week),rec4PQao4ZWMG3oOP,rec5LsIPpAzVqoWu9,frequency_count,>=,1,1,weekly,buildup,6,7,recEgGgnWikfgJQCK,session,recrszdeQRK91Ju5g,Weekly Mobility Sessions,Sessions,Time of Day,recyl9Pa45s71Mrs8,recv2GuhbmM9UdNDp
