record_id,checkins_v2,created,created_by,default_frequency,description,last_modified_by,last_modified_time,name,purpose,type_id
reczDuTlGMtEI9pbT,"recvZxIqPh3vcj8di, recBme80Yg7tFUZSw",2025-09-04T20:23:36.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Daily,Brief stress level check-ins throughout the day (3x daily) for pattern tracking,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-06T00:54:37.000Z,Stress Micro Check,insight-generation,CT011
recROTPev7BaTjLvT,recTgAK681Vt6bYV5,2025-09-04T20:23:40.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Weekly,Weekly assessment of social connection quality and sense of purpose,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-04T22:03:18.000Z,Connection Weekly,insight-generation,CT012
recc7mSZ5HGoXmXsm,"recTfVedTJ2vUYu5P, rec2Qkcm3Prpu5L3K, reczuBAUFJfrYM3a0, rec6t4NWKI5fgQyUe",2025-09-05T00:22:08.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Daily,Daily subjective experience and quality assessments,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-05T00:31:09.000Z,Daily Experience Check,experience-tracking,CT013
reciy3QqnDG2u0rBq,recsVeQ2EtPzgteEv,2025-09-05T00:22:52.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Daily,Daily pattern and trend monitoring,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-06T00:54:21.000Z,Daily Pattern Tracking,pattern-monitoring,CT014
rec11TlgjF8ivs9YZ,"recdqjqRrzhYUuD7N, recmfv2fpTc8VH8Bz, recmHTrFhQqXwLTWZ",2025-09-05T00:22:52.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Daily,"Physical comfort, movement, and body awareness assessments","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-06T00:54:18.000Z,Physical State Check,body-awareness,CT015
recs5qf2aUMhDTP1G,"recWPEmjTtAnrUegv, recDDbsuY6PgP5ImS, rec5RPZEoEQVgI7kR",2025-09-05T00:22:52.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Daily,"Work-related stress, energy, and performance assessments","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-05T00:31:09.000Z,Work Context Check,work-wellness,CT016
recmgL2EDRwuD0o7i,"rec16POWJplFBIvLg, recwMr7UOuFStPMD0, rec2FluZjXAbjg7iY",2025-09-05T00:22:52.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Daily,Food relationship and eating experience assessments,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-05T00:31:09.000Z,Nutrition Experience Check,nutrition awareness,CT017
recuNPIxjw5X4hNLu,"rec1gLqcjegrPQ04P, recjwfUWGtsFOVNw7",2025-09-05T00:29:25.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Multiple Daily,Multiple daily energy level assessments to identify patterns and fluctuations throughout the day,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-06T00:54:15.000Z,Energy Pattern Tracking,pattern-monitoring,CT018
rec6Y5qkbO3iRp05W,recbjjMm7yNJN5nQt,2025-09-05T00:29:50.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Daily,Understanding what drives or blocks movement on specific days - motivation and barrier assessment,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-05T00:31:09.000Z,Movement Psychology Check,behavior-tracking,CT019
rece8RZMVHJCpaBO2,recsxuB3VV3s3GS91,2025-09-05T00:29:50.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Daily,"How physical environment (weather, space, noise) affects daily wellbeing and performance","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-05T00:31:09.000Z,Environment Impact Check,insight-generation,CT020
recTL7Hd1xkQWqTIC,recvIjqcbflY0ev9y,2025-09-05T00:29:50.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Weekly,"Balance of structure vs spontaneity, leisure satisfaction, and week preparation assessment","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-05T00:31:09.000Z,Lifestyle Balance Check,reflection,CT021
reciAsCNvE5pXqW7g,"recNjGW0wtFxzDDZk, recAYT3LhklQWPjUy",2025-09-06T00:19:08.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Multiple Daily,Ultra-brief 1-2 question check-ins for immediate status capture and just-in-time pattern recognition,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-06T00:53:14.000Z,Micro Status Check,insight-generation,CT022
recod1kRk2dLzzGc1,rec1amVCt02QL0uhi,2025-09-06T00:19:11.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",User-initiated,Manual check-ins triggered when users take specific actions they want to monitor effects of,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-06T00:54:23.000Z,User-Initiated Action Tracking,behavior-tracking,CT023
