record_id,calculated_metric,cognitive_health_weight_from_linked_survey_question,connection_purpose_weight_from_linked_survey_question,contraindications,core_care_weight_from_linked_survey_question,created,created_by,healthful_nutrition_weight_from_linked_survey_question,id,last_modified,last_modified_by,linked_survey_question,movement_exercise_weight_from_linked_survey_question,question_from_linked_survey_question,recommendation_nulls,recommendation_triggers,response,response_order,restorative_sleep_weight_from_linked_survey_question,score,section_number_from_linked_survey_question,section_question_order_from_linked_survey_question,stress_management_weight_from_linked_survey_question,survey_question_trigger_not_selected,survey_question_trigger_selected,total_weight_pillar_agnostic_from_linked_survey_question
recSJIfjD8wun1jTX,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.02-5,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recdorXEQnFC3mdaM,,Which of the following areas of your health and longevity are you NOT interested in focusing on initially (select all that apply)?,,,"Cognitive Health
",5,,0,1,2,,,,0
rec48QGqhhnN25DLC,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.02-6,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recdorXEQnFC3mdaM,,Which of the following areas of your health and longevity are you NOT interested in focusing on initially (select all that apply)?,,,"Connection and Purpose
",6,,0,1,2,,,,0
recveIqdujEQartd3,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.02-7,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recdorXEQnFC3mdaM,,Which of the following areas of your health and longevity are you NOT interested in focusing on initially (select all that apply)?,,,"Core Care (proactive and preventative care)
",7,,0,1,2,,,,0
recoN1TduBsYsOsbH,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.02-8,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recdorXEQnFC3mdaM,,Which of the following areas of your health and longevity are you NOT interested in focusing on initially (select all that apply)?,"recRsxAqRnyD0hIL5, recKkP3TAlDTtLiuo, rec2JL5kJJ1pJCPL1, recAaYIO7j0kgDYbf",,"Substance Use
",8,,0,1,2,,,,0
recXpXtUHVzWitlI2,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.02-9,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recdorXEQnFC3mdaM,,Which of the following areas of your health and longevity are you NOT interested in focusing on initially (select all that apply)?,,,"Supplement Use
",9,,0,1,2,,,,0
recbsMZNRK05UhOcu,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.03-1,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recZjPoIybJlYq5qA,,Please rank your selected focus areas in order of personal importance.,,,"Rank
",1,,0,1,3,,,,0
recgYrRaTTsT3KDLM,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.04-1,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recNhMQvucOA0MgLG,,What motivates you most to prioritize your health and longevity (select all that apply)?,,,"Living longer to enjoy more time with loved ones
",1,,0,1,4,,,,0
recuNcDVM4eNvuHvc,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.04-2,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recNhMQvucOA0MgLG,,What motivates you most to prioritize your health and longevity (select all that apply)?,,,"Staying mentally and physically sharp as I age
",2,,0,1,4,,,,0
recp80FqTmimlv9ub,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.04-3,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recNhMQvucOA0MgLG,,What motivates you most to prioritize your health and longevity (select all that apply)?,,,"Preventing chronic disease or health decline
",3,,0,1,4,,,,0
recFnkZpcf7pWvk2g,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.04-4,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recNhMQvucOA0MgLG,,What motivates you most to prioritize your health and longevity (select all that apply)?,,,"Looking and feeling better day to day
",4,,0,1,4,,,,0
recsR9lWbPSR4RqrN,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.04-5,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recNhMQvucOA0MgLG,,What motivates you most to prioritize your health and longevity (select all that apply)?,,,"Performing better in fitness, work, or other goals
",5,,0,1,4,,,,0
recWCf4nGNMRMltHR,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.04-6,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recNhMQvucOA0MgLG,,What motivates you most to prioritize your health and longevity (select all that apply)?,,,"Other (open text prompt)
",6,,0,1,4,,,,0
recUGVcvN7pzpxK7J,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.05-1,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",rec3MCyKh3Dayx8zo,,How do you prefer to stay motivated or held accountable (select all that apply)?,,,"Friendly nudges or reminders
",1,,0,1,5,,,,0
recLJXLTdIVuzCCeI,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.05-2,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",rec3MCyKh3Dayx8zo,,How do you prefer to stay motivated or held accountable (select all that apply)?,,,"Educational content to explain “why”
",2,,0,1,5,,,,0
recBRMqtGTUZxuuF0,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.05-3,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",rec3MCyKh3Dayx8zo,,How do you prefer to stay motivated or held accountable (select all that apply)?,,,"Physician messages or check-ins
",3,,0,1,5,,,,0
recn0btPgdLUBcXnt,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.05-4,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",rec3MCyKh3Dayx8zo,,How do you prefer to stay motivated or held accountable (select all that apply)?,,,"Challenges or goal tracking
",4,,0,1,5,,,,0
rec3HXmZ1m4FYHcAt,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.05-5,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",rec3MCyKh3Dayx8zo,,How do you prefer to stay motivated or held accountable (select all that apply)?,,,"Social comparison (leaderboards, rankings)
",5,,0,1,5,,,,0
recXPx3NFq25q32YH,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.05-6,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",rec3MCyKh3Dayx8zo,,How do you prefer to stay motivated or held accountable (select all that apply)?,,,"Encouragement or supportive feedback
",6,,0,1,5,,,,0
recMWNJIbGfo9zxXd,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.05-7,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",rec3MCyKh3Dayx8zo,,How do you prefer to stay motivated or held accountable (select all that apply)?,,,"Competition or gamification elements
",7,,0,1,5,,,,0
recby8S06ulTGcAQO,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.05-8,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",rec3MCyKh3Dayx8zo,,How do you prefer to stay motivated or held accountable (select all that apply)?,,,"Journaling or self-reflection
",8,,0,1,5,,,,0
recFDl9leX4Vfx2tW,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.05-9,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",rec3MCyKh3Dayx8zo,,How do you prefer to stay motivated or held accountable (select all that apply)?,,,"Other
",9,,0,1,5,,,,0
reci8bgmwHBjK8zFQ,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.06-1,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",reczsgNcRp9jMQtZ1,,Please describe your personal health goals or longevity aspirations.,,,"[free response]
",1,,0,1,6,,,,0
recdOW0jBSxGyOVH4,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,2.01-1,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",reclbnElAkc59UG9J,,How would you characterize your typical daily diet?,,,"Very healthy
",1,,10,2,1,,,,0
recTyAv5bvgohpDIs,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,2.01-2,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",reclbnElAkc59UG9J,,How would you characterize your typical daily diet?,,"rec4hs6FOKci6FcHD, receMjPXD2cZs6rer","Moderately healthy
",2,,6,2,1,,,,0
recP3mpLDaqs5HCEZ,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,2.01-3,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",reclbnElAkc59UG9J,,How would you characterize your typical daily diet?,,"recCqwYvk7o9NLZye, rec4hs6FOKci6FcHD","Unhealthy
",3,,2,2,1,,,,0
recBSJ9na3jB2zjpL,,,,,,2025-06-19T01:42:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,2.02-1,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recmvOxxdX3g7KfYV,,Do you currently follow any specific dietary pattern or have any dietary restrictions?,,,"Vegan (no animal products)
",1,,0,2,2,,,,0
rec80KQ3aDbY4h82s,,,,,,2025-06-19T01:42:22.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,2.02-2,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recmvOxxdX3g7KfYV,,Do you currently follow any specific dietary pattern or have any dietary restrictions?,,,"Vegetarian (no meat, may include dairy/eggs)
",2,,0,2,2,,,,0
reck5QJgHM6ZzvuZg,,,,,,2025-06-19T01:42:23.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,2.02-3,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recmvOxxdX3g7KfYV,,Do you currently follow any specific dietary pattern or have any dietary restrictions?,,,"Pescatarian (includes fish, no other meat)
",3,,0,2,2,,,,0
rec0nyOpL0W9pHRZ1,,,,,,2025-06-19T01:42:23.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,2.02-4,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recmvOxxdX3g7KfYV,,Do you currently follow any specific dietary pattern or have any dietary restrictions?,,,"Gluten-free
",4,,0,2,2,,,,0
recKUiEth5lhSrlAD,,,,,,2025-06-19T01:42:24.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,2.02-5,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recmvOxxdX3g7KfYV,,Do you currently follow any specific dietary pattern or have any dietary restrictions?,,,"Dairy-free
",5,,0,2,2,,,,0
recGy2TVAYHiXLth8,,,,,,2025-06-19T01:42:24.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,2.02-6,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recmvOxxdX3g7KfYV,,Do you currently follow any specific dietary pattern or have any dietary restrictions?,,,"Kosher
",6,,0,2,2,,,,0
reclziNvepstOvDzh,,,,,,2025-06-19T01:42:25.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,2.02-7,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recmvOxxdX3g7KfYV,,Do you currently follow any specific dietary pattern or have any dietary restrictions?,,,"Halal
",7,,0,2,2,,,,0
recOnbYVyKgO8gYzI,,,,,,2025-06-19T01:42:26.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,2.02-8,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recmvOxxdX3g7KfYV,,Do you currently follow any specific dietary pattern or have any dietary restrictions?,,,"Low-carb/Keto
",8,,0,2,2,,,,0
recErvLsbpSIxp3Tp,,,,,,2025-06-19T01:42:04.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,2.02-9,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recmvOxxdX3g7KfYV,,Do you currently follow any specific dietary pattern or have any dietary restrictions?,,,"Paleo
",9,,0,2,2,,,,0
recjSQ6IZB5J3hcqB,,,,,,2025-06-19T01:42:12.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,2.02-10,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recmvOxxdX3g7KfYV,,Do you currently follow any specific dietary pattern or have any dietary restrictions?,,,"Intermittent fasting
",10,,0,2,2,,,,0
