record_id,healthkit_metrics,oura_metrics,subcategory
rechZrTChr7QaGthF,recdbbYXXatK4c15r,"recoyQfXzneLwoUDT, recKgYYOeHXyJulyg",Heart Rate Variability
rec51naeg2Xx3e3ap,recWd41wJlZbsItYV,,Heart Rate Recovery
rec2Na3rLzUVfD13m,recTAHsGodj3U8fHs,,Electrocardiogram (ECG)
reck43LCGWJ9wCP3k,rec3gKMGSPnWvjQfe,,Oxygen Saturation
recpkTWdPhuy0Ginn,"reclhdLSNMyFYBuiG, recKgdbzVNAzw4LFn","recc71mdVj2yDyWW3, recfMCdlSmkY5mRqW, recoP4Z4LrfPouFsa, recuREH9qFfbnUCqM, recXuOIW3NxWt6aGF",Temperature
recBCzvdLVcy3e2Bc,"rec3iTy12cKbuZvbx, recJp45RiN7mxNDRy, recttR50MiZX8h1x0",,Blood Pressure
recTa5Q0TR1vt8AH8,recCp5Ne5qAIa0fA6,,Respiratory Rate
recHH9GocefZ9kdJT,"recbwqFtNci19lvIG, receE2VcVuVDnUEZP",,Essentials
recoKUJ0prdvOhhh8,"recgnDWuxxKErYlO7, recAf2UpbCSxrLdL4, recD7Yr9PATJPpM3c, rec168KRoYYSbGpnf, recNoxkIaUsGH8XZ0, recP4mYviD1JQCyHQ, recT5JKXR7m7U994X, recojsOkioQgNKdmq, recJKiOIi00raDg2b, recY2ytuqyMP6fRY9",,Macronutrients
rec6c6i2FFeMpmwG1,"recR9w4aSTjn4AVMN, recEkaIe5soPE2KHT, recRhWTqtjMmiJZjn, recRPoE01Jwl9xEKo, rec9KxaRtHIBaiNAq, recF34r3zMrQI2njF, recoSyuEumcrqQfFS, recwttnGd9l4UvJok, recAw57CA3fMI2LYb, recZoW1j2oJfMS9Pn, recYWMkHNS38yxT04, receXYrQxQBpgGV09, recyPz1QwWLrDhoYQ",,Vitamins
rec1nx3iOY2xYQdX1,"rec49suabd2j6RAyD, recSquzkiVMlp1xIR, recjj3U7xwK2ORLw3, rec8Xi4aXcWlMShqd, recx4JTpvivdTmG6Z, recULIKYvq6OF2kHh, recpfmvKp5LEFgUoK, reclJcdBfdeB581Bm",,Minerals
recctH8fFHjgrMoqH,recOXZjW1dnTrOH8C,,Hydration
reckWoIkAuvXvP6ZF,rectYcLGfVnSe5CgF,,Caffeination
recXrZilq8LlhWaVc,"recfLgxLd7xD2OziG, recoITELSvPlKwQAy, recQHcq5prmwIf1NK, recaxoaTltNZvdJ85, rec6WfO5EMMIfMwvt, rectCDJ5fwvaDATdO",,Ultratrace Minerals
recprqSzMItnNOzKi,"recZxJtmlwz7guVT6, recbAuBEIQoHhYOtw",,Alcohol Intake
recotmRHZBndr5LX6,"recWOXMx1whnEfof3, rec2Y0VhDHIE1iuNL, recHoNp5i84YfI2up, recDaOUpfgCrjtH1F, recQtL4b3zzVK9xFd, recVpqr3WA3SUyvSx",,Gait Analysis
recXIAUg9oGMOqSB7,rec1KE3bYFzbvkEyu,,Endurance / Functional Tests
recGlTBZZWeJnEqwz,"recbeIUM7a1UfgOnr, recm7QOKEOyf6HyaE",,Stair Performance
rec9d5RJB2ACoroKl,recENGSIELBcT7xlB,,Metabolic Panel
recdjcXXAwoEjt0nB,recKHQHOad09GLH8e,,Autonomic Response
recfbISfEQqwe96nM,"recCo8leepaR8EsU8, reclxn5wWg1PDXcBB, recTI8Mw5tnQYY8PB",,Pulmonary Function
recmmlhqaC0SVEUwI,recNexgx043adCNZR,,Respiratory Medication Use
recTt0LRqpytjd77C,recshru3aJDndNez0,,Endocrine Therapy
recpejdVaJsLLQjU4,recpyQ6eSVwxEVhb2,,Fall Risk Assessment
recPY4cmWAz0rBt7e,recRCS0IIJWhqHexu,,Circulatory Health
recN3KFZklQZ8K7QU,recX6qxlOKJ5nKI2u,,Mindfulness
recfXsZbEvBUsCoa3,"recKR9kGMPDwBz7fa, recN4BXRVVlhfe7Nr, recgFkuXvMlCyXXdW, recik3KV1u3sYXm7Y, recStPJ16ZW0vDwhw, recKKveiVw9WKU86R, recSjKkMIJPUivSuJ","rec9PtVegbqFEYmZC, recCehAlWoqxwfc8e, recb5C4tF4FLPLBOD, recADDvy2ZQfEz4hM, recTjBhbsZpkby61h, recf0Uycpk78YYiHT, rec9BiO45Oy2JVqn2, rec96GNDvJY3YtfKB, recZnU66f6Ymo8rXE, recgV1MPnqA4iHUZg",Sleep Analysis
rec3gtWcByO5swCog,"reccIUmGIFwoj1rtI, rec2iTDW58dBtagzy",,Hygiene
reckTalkWql58AsFo,"recO0eVDT8LxpG8Fi, recMcUzoSX1QHrzph",,Workouts
rectzoQMX9h0mYQox,recx9WlZnE1ihPX68,,Record Categories
recYYWziGeAwUCT4S,recVHAc97MoANRPLx,,UV Radiation
recC5egdDyzXAE87v,recNyyxPzqInmuIRw,,Depth
rectXrKEpYMnGmD5x,recfdZSS3DTG3TYJq,,Water Conditions
recIWYhvHgvdBhb4Q,,"rec6RBahLVVnCdg4J, recusxxeOBeV2akpL, recKFN0rS3dhONj7x, recsfosnwv3B57vVT",Recovery
recQQ3ZMHfdTKubTa,,recbBV0dYmJWzfs8P,Alerts
recpYYcgieUGcxV2t,,recfkrBi58RhpTCcu,Rest
recGcZqAYY6HTsueN,,recdRU2jVVyTTaqB8,Device Usage
