record_id,confidence_level,created,created_by,description,id,last_modified,last_modified_by,linked_evidence,source_type
recUA6YRlFh3Dsje5,Moderate,2025-06-10T00:43:55.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Small-scale experimental or observational study published in a peer-reviewed journal.,E011,2025-06-10T00:45:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recbJUBCTioWkdQ6B,Peer-reviewed pilot study
reclqQn6EV0azXdYf,Moderate,2025-06-10T00:43:55.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Full peer-reviewed research article (not a systematic review or RCT) supporting core claims.,E012,2025-07-30T19:07:49.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recIAReXwwNzDc7gX, recKlpLhow3LSHksK, recEcPuqbHG96wmmz, rec3HzEzFAdG3j4GF, recPgx5VRop788CTk, rec2IGmKG5X9WXA7w, recf93QJMEMOKjUWm, recgAx10UJ8Wh3FnV, recpW5Z8eiH6S13Ou, rec956TIEJINQgQMI, recpbVs7q7ddfkQF5, recUdc4Cwlh2X1O8i, recXoVC1fqKkNIWAr, recZiN2gkKCRt2PW0, recD7k3gsYJFarVrF",Peer-reviewed study
recuux8z8gb0e5MPU,Moderate,2025-06-10T00:43:55.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Expert summary of current understanding, based on literature but without systematic methods.",E013,2025-07-28T18:40:58.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recn5E9AOd7x4wlxI, recmI6RqZl1EAT7OZ, rec5jtPqAkLCmxtmR, recS0dkYFLd147fXk, rec6fhVSRKY4OMFko, recDumtQgbaD3BjaA, recG3FP9YwzSEPGph, recfdroibJ5TUsTC0, recOXSXjYb74OdAVB, rechUO89Cd4YSaD3r, rec6lEPmJxjCPAljC, recnLf7wdesvtoLpC, recRhtzUoAX1XysqX, recZVx4pJNZtJpTtF, recVxtcVC62AM528G",Narrative review
recA1EVfrjrmEMho8,High,2025-06-10T22:54:03.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Comprehensive summary of systematic reviews and/or meta-analyses. Captures broad consensus across study types and populations.,E014,2025-07-25T10:12:08.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recgnnM5MBKJjYDmF, recg0m8SO9oCbBDcu, rec2JJk3W8WMoOoZV, recSbMYYLInM0r3oQ",Umbrella Review
recDDHykOzWxwMnyv,Moderate,2025-06-10T22:54:03.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Longitudinal tracking of large populations to assess associations between behavior and outcomes. No intervention applied.,E015,2025-07-27T02:38:01.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recv9Z6URcMhhsDlz, reci4L7v62HGE6DId, rec8hgkasCsRwSrVv, recaPLCGyMyWkgGWF, recV5XBV0K44OW4ig, recwNDEfyChhZkJsI, reczPK7nVx8KXN0BX, reczKzVuD4kOIRFbr, recig7LzljW7IH2hc, rec5dV3nxFTnsy41d, rec6WlHvpCsl1gunn, recOREaCk8aeVqvwc, recFXtTkIbAerUMG6, rectfUxPRKtoqsydH, rec41z9ySi2kQNKjM, reczA4HiwPYQWyWtc, recEr5zulj18aq7p3, receGOj4EGgWfxB84, recP97XhgxSV69Plt, recQYjfMJRAtjw05E, recpohWCrR8hlrbxm, recmOKLKDhqc0tmO0, recNUvwDRnvmitKxz, recmKeFRMvMk3qvvN, recgFCbGzKNGOFoRx, recQHkk6LltdQkaGo, rec5upTR25pnUqa55, recPmOa29GvXTMqRC, recu9sgr35jiPBYUL",Observational Cohort Study
rectpFYHLSa1OKQQY,Low,2025-06-10T22:54:03.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Forward-looking observational study tracking variables and outcomes over time without randomization or direct intervention.,E016,2025-06-10T22:59:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,Prospective Observational Study
recPTVJvlU8ZpgeS3,High,2025-07-24T20:53:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Meta-analysis combining results from multiple observational studies (cohort, case-control, or cross-sectional studies). High-quality evidence synthesis from observational data, particularly valuable for long-term health outcomes where RCTs may not be feasible.",E017,2025-07-30T19:52:01.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recEGxsJmUzWVV9eK, recP3bN3x16jIAHjo, recxKxgOufoJbgpOa, recIQPfWbuS6jxLjS, recNqwwshD3IuGtkv, recTPRsOdrE2WTOFc, recuAS1B0QgdBInB3, recOsmbvPcHmNQRo9, recgeCjNN35aUIL81, recFarchexVbsWqcV, rechMscowZwnUBRGt, recOIkO2bz4xCm6yb",Meta-analysis of Observational Studies
recd0d1tmtDQUEhTY,High,2025-07-25T11:11:55.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Comprehensive literature review with systematic methodology combined with statistical analysis pooling results from multiple studies,E018,2025-07-30T19:51:47.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recbuO3KOoJNBovnQ, rec4JCsO4SFk06rhl, recGIBKn52j5jmbaJ, recQc7QcKXqNCDo3B, rec50mpIxR4ZYKSg9, recg43VmLbp5uSF1o, recuUIGlY7gK5ScGI, recG4YwowsxnZE00J, recZS6ikCatpDMOLb, recYNxWcaQFm2Wue0, rec0ELKfDPIQbNkJz, reczPMLffl8SEYH9Q, recEGaHbHhtTqDgQw, recaLzLEsjEetQT5g, recBdEpSpUG4N7VG7, recMxvJCgtrra5ier, rec70UQYyfpxpDmNQ, recWPLJxRelJSVwCu, recuhRGoqAdM1CeF8, recye1PIDZNSe8b5U, rec4SmFL2GdVOlSlQ, rec6SOq5JXWnOvyKH, recFQ42WZEgN3f2ad, recDBbUljCveQ3Fkm, recARnf0UAbHjKdXM, recqfKbgd9Tv5mTKy, rec9T72prUKfRLEdv, recw8yD8LM00k1glh, recPcuHbt6EQljnTS, recgQFP6CsuqdN1pw, recCzDXebED8MF9Od, recvPyTYk8n68PpL1, rec2gPOEPSTEMu8dN, recqp2G0VI8SRbgZj, recHJ8X1mcBrbS4JZ",Systematic Review and Meta-analysis
recVEgoBTZCnm3dCI,High,2025-07-27T02:33:37.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Extensive literature review that synthesizes evidence from multiple study types including systematic reviews, meta-analyses, RCTs, and observational studies to provide comprehensive coverage of a topic. More thorough than narrative reviews but may not follow strict systematic methodology.",E019,2025-07-27T10:09:00.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",rec90wZdxX6lfauzJ,Comprehensive Review
recFfb6t4bEMGdz5J,High,2025-07-28T15:44:15.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Experimental study where participants are randomly assigned to treatment or control groups, with controlled conditions to minimize bias and confounding variables. Provides strong causal evidence through randomization, even with smaller sample sizes than large landmark trials",E020,2025-07-30T20:04:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","rec2XXB7INamQ3S4Z, recKakSWF3VgxvkAY, recHJRk5CkP0r2Z8M, recZzl80Pxwh2f6TC, recjmtOqcZXelHrt9, recPXpZaBQ69ibIeQ, recTD6S0CoD3zysKD, recJYuPQsqxn4YQux, recUqZTwGYdWh20kp, recyXHgckAkpTr77I, recRm2ApbeBAGkRR3, recJkpz67yD45h0d5",Randomized Control Trial
rec2YzOW1s1eXdPsR,Moderate,2025-07-30T20:05:45.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Preclinical studies (animal/in vitro) combined with human pharmacokinetic or safety data. Provides mechanistic understanding with some human validation, particularly relevant for peptide and novel compound research.",E021,2025-07-30T20:05:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",rec4Dopelk5bwlWhp,Preclinical/Animal Studies with Human PK Data
