record_id,Pillar_raw,checkin_id,checkin_questions,checkin_type,created,created_by,description,frequency,last_modified_by,last_modified_time,pillars,recommendations_scorched_earth,recommendations_targeted,response_Types,response_options,title,tracked_metrics,trigger_conditions
rec9CUgVdw0PbMay3,,CK011-TM,receOW3ruPDJdEhjj,recBNichFpix9gw86,2025-09-02T13:27:57.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Record how many servings of whole fruit you had today. Count fresh, frozen, or dried fruit, but skip fruit juices or sweetened fruit products. Fruits provide fiber, vitamins, and natural antioxidants that support your overall health.",Daily,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-18T17:36:16.000Z,"Healthful Nutrition,Healthful Nutrition,Healthful Nutrition",,"recGXWM4L7vUbxfCd, recMEPqal9VglyK6U, rechz1JGiQJCv9YJo",RT001,recKFvqs6chl75esq,Log Your Fruit Servings Today,recJ13o0XSJGZkkdP,"recm1jq2UqVHfegWv, recRaSDTuNo2S2b01, rec0ZucJ0mQiHRkKP"
recggtEVRFfkhwTDl,,CK012-TM,receOW3ruPDJdEhjj,recBNichFpix9gw86,2025-09-02T13:28:03.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Count how many different types of whole fruits you ate today. Different fruits offer different vitamins and antioxidants. Apples, berries, oranges, bananas - each unique fruit type counts toward building a diverse, nutrient-rich diet.",Daily,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-18T17:36:16.000Z,"Healthful Nutrition,Healthful Nutrition",,"recMEPqal9VglyK6U, rechz1JGiQJCv9YJo",RT001,recKFvqs6chl75esq,Track Your Fruit Variety Today,recUyh0VZjCy93jRe,"recm1jq2UqVHfegWv, recRaSDTuNo2S2b01, rec0ZucJ0mQiHRkKP"
reciTsjpj0k0b8PZa,,CK013-TM,receOW3ruPDJdEhjj,recBNichFpix9gw86,2025-09-02T13:28:10.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Track how many servings of added sugar you consumed today. Count foods and drinks with about 8-12g added sugar each - like cookies, sweetened yogurt, granola bars, or sodas. Being aware helps you make informed choices.",Daily,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-18T17:36:16.000Z,"Healthful Nutrition,Healthful Nutrition,Healthful Nutrition",,"recCqwYvk7o9NLZye, rec4hs6FOKci6FcHD, receMjPXD2cZs6rer",RT001,recKFvqs6chl75esq,Count Your Added Sugar Servings,recgumU8bXrsl54Ed,"recm1jq2UqVHfegWv, recRaSDTuNo2S2b01, rec0ZucJ0mQiHRkKP"
recj1WFAGBqdBbD4o,,CK014-TM,receOW3ruPDJdEhjj,recBNichFpix9gw86,2025-09-02T13:31:59.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Estimate the total grams of added sugar you consumed today from all sources. This includes desserts, sweetened beverages, sauces, and processed foods. Keeping track helps you stay within healthy limits for better energy and health.",Daily,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-18T17:36:16.000Z,"Healthful Nutrition,Healthful Nutrition",,"rec4hs6FOKci6FcHD, receMjPXD2cZs6rer",RT001,recKFvqs6chl75esq,Log Your Added Sugar in Grams,recGPPDd5i4uun3oa,"recm1jq2UqVHfegWv, recRaSDTuNo2S2b01, rec0ZucJ0mQiHRkKP"
recHd8OtZaW4xc1l6,,CK015-TM,receOW3ruPDJdEhjj,recBNichFpix9gw86,2025-09-02T13:32:10.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Record how many servings of processed meats you had today - think bacon, sausage, deli meats, or hot dogs. Keeping track helps you make informed choices about limiting these foods for better long-term health.",Daily,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-18T17:36:16.000Z,"Healthful Nutrition,Healthful Nutrition,Healthful Nutrition",,"recPnCzFAy0LTJ9C1, recf94WHfCkB3aoTA, recq2dRUP4FLao9gd",RT001,recKFvqs6chl75esq,Track Your Processed Meat Intake,rec0Bp07c21sb2Ref,"recm1jq2UqVHfegWv, recRaSDTuNo2S2b01, rec0ZucJ0mQiHRkKP"
recW0dMBAmUq5VPVe,,CK016-TM,receOW3ruPDJdEhjj,recBNichFpix9gw86,2025-09-02T13:32:21.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Track how many servings of whole grains you ate today - brown rice, quinoa, oats, whole wheat bread, or barley. Whole grains provide sustained energy, fiber, and important nutrients that refined grains lack.",Daily,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-18T17:36:16.000Z,"Healthful Nutrition,Healthful Nutrition,Healthful Nutrition",,"rectiHMpuqUW6EpOg, recDVZeEtpOMlhHaY, recIoVf6FOKFcUX8p",RT001,recKFvqs6chl75esq,Count Your Whole Grain Servings,recrOyba1O3mB2CHm,"recm1jq2UqVHfegWv, recRaSDTuNo2S2b01, rec0ZucJ0mQiHRkKP"
recCKNeqlOaEpS04T,,CK017-TM,receOW3ruPDJdEhjj,recBNichFpix9gw86,2025-09-02T13:35:06.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Count how many different types of whole grains you had today. Variety in whole grains means different nutrients and flavors. Whether it's oats, quinoa, brown rice, or whole wheat - each type adds something unique to your diet.",Daily,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-18T17:36:16.000Z,"Healthful Nutrition,Healthful Nutrition,Healthful Nutrition",,"rectiHMpuqUW6EpOg, recDVZeEtpOMlhHaY, recIoVf6FOKFcUX8p",RT001,recKFvqs6chl75esq,Track Your Whole Grain Sources,recrOyba1O3mB2CHm,"recm1jq2UqVHfegWv, recRaSDTuNo2S2b01, rec0ZucJ0mQiHRkKP"
rec0jRIyN98Lecrac,,CK018-TM,receOW3ruPDJdEhjj,recBNichFpix9gw86,2025-09-02T13:35:06.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Track how many servings of legumes you ate today - beans, lentils, chickpeas, or peas. Legumes are nutritional powerhouses packed with protein, fiber, and essential nutrients that support heart health and stable blood sugar.",Daily,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-18T17:36:16.000Z,"Healthful Nutrition,Healthful Nutrition,Healthful Nutrition",,"recn4eGEOf9XA0tat, recApH4t4nFb8maup, reckLfq4q5YH3ChjU",RT001,recKFvqs6chl75esq,Log Your Legume Servings Today,recr6RWwNxcz0tpr3,"recm1jq2UqVHfegWv, recRaSDTuNo2S2b01, rec0ZucJ0mQiHRkKP"
recpvQ4T4OR0Ca6oK,,CK019-TM,receOW3ruPDJdEhjj,recBNichFpix9gw86,2025-09-02T13:35:06.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Track how many different types of legumes you had today. Different legumes offer different nutrients and flavors. Black beans, lentils, chickpeas, kidney beans - each type contributes to a diverse, plant-rich diet.",Daily,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-18T17:36:16.000Z,"Healthful Nutrition,Healthful Nutrition",,"recApH4t4nFb8maup, reckLfq4q5YH3ChjU",RT001,recKFvqs6chl75esq,Count Your Legume Variety,recfZYnWPIzFnqZHW,"recm1jq2UqVHfegWv, recRaSDTuNo2S2b01, rec0ZucJ0mQiHRkKP"
rec3CGysJZBWtpawM,,CK020-TM,receOW3ruPDJdEhjj,recBNichFpix9gw86,2025-09-02T13:35:06.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Record your total caffeine consumption in grams today from coffee, tea, energy drinks, and other sources. Most people consume 0.1-0.4g daily. Tracking helps you optimize timing and avoid interference with sleep.",Daily,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-18T17:36:16.000Z,"Healthful Nutrition, Stress Management, Cognitive Health, Restorative Sleep,Healthful Nutrition, Stress Management, Cognitive Health, Restorative Sleep,Healthful Nutrition, Stress Management, Cognitive Health, Restorative Sleep",,"recvLB6CCcDJhm1Fx, recgFS8idJ1Rz8Msu, recPgYrf87WKNpens",RT001,recKFvqs6chl75esq,Track Your Caffeine Intake in Grams,reclDxNnJwcuQSYak,"recm1jq2UqVHfegWv, recRaSDTuNo2S2b01, rec0ZucJ0mQiHRkKP"
recLy2WgUeQVBdbep,,CK021-TM,receOW3ruPDJdEhjj,recBNichFpix9gw86,2025-09-02T13:35:06.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Record what types of caffeinated beverages you had today - coffee, tea, energy drinks, or soda. Different sources affect you differently, and tracking types helps you understand your patterns and preferences.",Daily,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-18T17:36:16.000Z,"Healthful Nutrition,Healthful Nutrition,Healthful Nutrition",,"recs1Yx1aoyTCalz2, recxd0ZkIKfdSxVMp, recr7AtTCj4d026By",RT001,recKFvqs6chl75esq,Log What You Drank for Caffeine,rec6b386oYCSHnyVO,"recm1jq2UqVHfegWv, recRaSDTuNo2S2b01, rec0ZucJ0mQiHRkKP"
recBAUf0fNEXjcUZc,,CK022-TM,receOW3ruPDJdEhjj,recBNichFpix9gw86,2025-09-02T13:35:06.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Record the time you had your last caffeinated drink today. Timing matters for sleep quality - most people do best when they stop caffeine intake 6-8 hours before bedtime.,Daily,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-18T17:36:16.000Z,"Healthful Nutrition, Stress Management, Cognitive Health, Restorative Sleep,Healthful Nutrition, Stress Management, Cognitive Health, Restorative Sleep,Healthful Nutrition, Stress Management, Cognitive Health, Restorative Sleep",,"recRbJX726D4FBznW, recCAuXnKTEfdVA0Q, recTJviRFoOIYipZZ",RT001,recKFvqs6chl75esq,When Was Your Last Caffeine,reccae2LNjsIz4uBu,"recm1jq2UqVHfegWv, recRaSDTuNo2S2b01, rec0ZucJ0mQiHRkKP"
recTfg7dDeoFk2R34,,CK023-TM,receOW3ruPDJdEhjj,recBNichFpix9gw86,2025-09-02T13:35:06.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Count the total number of discrete eating occasions today - meals and substantial snacks. This includes breakfast, lunch, dinner, and any meaningful snacks. Tracking helps you understand your eating patterns.",Daily,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-18T17:36:16.000Z,"Healthful Nutrition,Healthful Nutrition,Healthful Nutrition",,"recdOj8Nr8NO1FwR6, recuXJOhYT3ZVrOfD, recXYBL9UD1QWCF3t",RT001,recKFvqs6chl75esq,How Many Meals Did You Have,recwG50znghbnB0TO,"recm1jq2UqVHfegWv, recRaSDTuNo2S2b01, rec0ZucJ0mQiHRkKP"
recPfcV32C2K9lGyj,,CK024-TM,receOW3ruPDJdEhjj,recBNichFpix9gw86,2025-09-02T13:35:06.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Record when you had your first meal or caloric intake today. This timing affects your metabolism, energy levels throughout the day, and can influence your overall eating pattern and sleep quality.",Daily,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-18T17:36:16.000Z,"Healthful Nutrition,Healthful Nutrition,Healthful Nutrition,Healthful Nutrition,Healthful Nutrition,Healthful Nutrition",,"recXiFdoZPO8ahvNU, rec33mt1Ib40viKUU, recMC1NC2ymnw4oc0, recUXhRwOBdDmwIz0, recjqayDOdtqvgy74, reciMtPp6Py82USrr",RT001,recKFvqs6chl75esq,What Time Was Your First Meal,recx1YaZabuU3zURf,"recm1jq2UqVHfegWv, recRaSDTuNo2S2b01, rec0ZucJ0mQiHRkKP"
rec46UYWhVuYdlwAs,,CK025-TM,receOW3ruPDJdEhjj,recBNichFpix9gw86,2025-09-02T13:35:06.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Record what time you had your final meal or caloric intake today. Late eating can affect sleep quality and metabolism. Most people benefit from finishing their last meal 2-3 hours before bedtime.,Daily,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-18T17:36:16.000Z,"Healthful Nutrition,Healthful Nutrition,Healthful Nutrition,Restorative Sleep, Healthful Nutrition,Restorative Sleep, Healthful Nutrition,Restorative Sleep, Healthful Nutrition",,"recXiFdoZPO8ahvNU, rec33mt1Ib40viKUU, recMC1NC2ymnw4oc0, rece1ITrYjtv2h2G9, rec3SLnheYd7g7voW, rec6gzOrneb26gUk8",RT001,recKFvqs6chl75esq,When Was Your Last Meal Tonight,recVMr3DikpSr9pNN,"recm1jq2UqVHfegWv, recRaSDTuNo2S2b01, rec0ZucJ0mQiHRkKP"
recMEls3xJxrtXHok,,CK026-TM,receOW3ruPDJdEhjj,recBNichFpix9gw86,2025-09-02T13:35:06.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Record how much water and non-sweetened beverages you drank today. Staying hydrated supports every function in your body - from energy levels to brain function. Include water, herbal tea, and other unsweetened drinks.",Daily,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-18T17:36:16.000Z,"Healthful Nutrition,Healthful Nutrition,Healthful Nutrition",,"recB2JtyJ9bvr8qWT, recdUipe4wxEhf4uC, recUROIBVBAObV7l2",RT001,recKFvqs6chl75esq,Track Your Water Intake Today,recEbOiNyw46llfxE,"recm1jq2UqVHfegWv, recRaSDTuNo2S2b01, rec0ZucJ0mQiHRkKP"
rec5D7nOjIQE1rEpe,,CK027-TM,receOW3ruPDJdEhjj,recBNichFpix9gw86,2025-09-02T13:35:06.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Count meals made primarily from whole, minimally processed ingredients today. Think vegetables, grains, legumes, lean proteins, fruits. These meals provide more nutrients and sustained energy than processed alternatives.",Daily,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-18T17:36:16.000Z,"Healthful Nutrition,Healthful Nutrition,Healthful Nutrition",,"reciGprkevaemYHuP, recIO41LpxD5gj47B, recxoe009Z2wEIjIq",RT001,recKFvqs6chl75esq,How Many Whole Food Meals Today,reczZJe3TIG1mp9oT,"recm1jq2UqVHfegWv, recRaSDTuNo2S2b01, rec0ZucJ0mQiHRkKP"
recNqIQrW0ditLMQs,,CK028-TM,receOW3ruPDJdEhjj,recBNichFpix9gw86,2025-09-02T13:35:06.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Track how many meals or snacks contained ultra-processed items today. This includes packaged snacks, sugary beverages, or highly processed convenience foods. Awareness helps you make informed choices.",Daily,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-18T17:36:16.000Z,"Healthful Nutrition,Healthful Nutrition,Healthful Nutrition",,"recXEzuSgRogrTVp5, recCGSspjFrrF9fg3, reczMIC9rZdAuBwLG",RT001,recKFvqs6chl75esq,Count Your Ultra-Processed Foods,rec4SBmFYUdPPk8U8,"recm1jq2UqVHfegWv, recRaSDTuNo2S2b01, rec0ZucJ0mQiHRkKP"
recgTKRZamJbpsr98,,CK029-TM,receOW3ruPDJdEhjj,recBNichFpix9gw86,2025-09-02T13:35:06.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Count meals you got from takeout, delivery, or fast food today. This includes restaurant meals, food delivery apps, and drive-through orders. Tracking helps you balance convenience with home-prepared meals.",Daily,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-18T17:36:16.000Z,"Healthful Nutrition,Healthful Nutrition,Healthful Nutrition",,"recqGXj1oW94w3reg, recDZahYDWNJwuytg, recYmmhm1c1ibQ8h3",RT001,recKFvqs6chl75esq,How Many Takeout Meals Today,recOyyoTez0r0ndcp,"recm1jq2UqVHfegWv, recRaSDTuNo2S2b01, rec0ZucJ0mQiHRkKP"
