record_id,age_high,age_low,category,created,created_by,cycle_stage,directionality,format,frontend_display_specific,gender,id,label,last_modified,last_modified_by,marker_name,menopausal_status,name_backend,operator,range_high_backend,range_high_frontend,range_low,range_low_frontend,range_name,range_name_backend,range_score,unique_condition,units,units_vfinal
recTEpgFWh8WljKql,150,0,recaW2jvtHhtuCC7d,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,optimal_range,Integer,40 - 59,Male,suboptimal_low_hdl_male,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recq0JX3QgFBo5mm4,,hdl,<>,59.99,59,40,40,Suboptimal Low,suboptimal_low,linear:0-7,,rec8diZFrQR8ia31V,recDJU7aNl5DcFbwD
recBYIxWHdjQmcvMW,150,0,recaW2jvtHhtuCC7d,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,optimal_range,Integer,60 - 79,Male,optimal_hdl_male,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recq0JX3QgFBo5mm4,,hdl,<>,79.99,79,60,60,Optimal,optimal,10,,rec8diZFrQR8ia31V,recDJU7aNl5DcFbwD
reckKS418jd7kEFqJ,150,0,recaW2jvtHhtuCC7d,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,optimal_range,Integer,80 - 100,Male,suboptimal_high_hdl_male,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recq0JX3QgFBo5mm4,,hdl,<>,99.99,100,80,80,Suboptimal High,suboptimal_high,linear 7-0,,rec8diZFrQR8ia31V,recDJU7aNl5DcFbwD
recr6bhmoI18YsjqR,150,0,recaW2jvtHhtuCC7d,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,optimal_range,Integer,>100,Male,critically_high_hdl_male,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recq0JX3QgFBo5mm4,,hdl,>,300,,100,100,Critically High,critically_high,0,,rec8diZFrQR8ia31V,recDJU7aNl5DcFbwD
recWeCxmKkGM3Ql6v,150,0,recaW2jvtHhtuCC7d,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,optimal_range,Integer,<50,Female,critically_low_hdl_female,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recq0JX3QgFBo5mm4,,hdl,<,50,50,0,,Critically Low,critically_low,0,,rec8diZFrQR8ia31V,recDJU7aNl5DcFbwD
recBYu7VJutIOrdp3,150,0,recaW2jvtHhtuCC7d,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,optimal_range,Integer,50 - 59,Female,suboptimal_low_hdl_female,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recq0JX3QgFBo5mm4,,hdl,<>,59.99,59,50,50,Suboptimal Low,suboptimal_low,linear:0-7,,rec8diZFrQR8ia31V,recDJU7aNl5DcFbwD
recF3aDPYAQR3hu1j,150,0,recaW2jvtHhtuCC7d,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,optimal_range,Integer,60 - 99,Female,optimal_hdl_female,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recq0JX3QgFBo5mm4,,hdl,<>,99.99,99,60,60,Optimal,optimal,10,,rec8diZFrQR8ia31V,recDJU7aNl5DcFbwD
recnSZdI0hBcJndQy,150,0,recaW2jvtHhtuCC7d,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,optimal_range,Integer,100 - 120,Female,suboptimal_high_hdl_female,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recq0JX3QgFBo5mm4,,hdl,<>,119.99,120,100,100,Suboptimal High,suboptimal_high,linear 7-0,,rec8diZFrQR8ia31V,recDJU7aNl5DcFbwD
recmzTwC0jivy12tN,150,0,recaW2jvtHhtuCC7d,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,optimal_range,Integer,>120,Female,critically_high_hdl_female,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recq0JX3QgFBo5mm4,,hdl,>,360,,120,120,Critically High,critically_high,0,,rec8diZFrQR8ia31V,recDJU7aNl5DcFbwD
recWUzsVO9KQHX0u4,150,0,recaW2jvtHhtuCC7d,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,lower_better,Integer,<30,All,optimal_lpa,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recUkIxIOnGBQsC1n,,lpa,<,30,30,0,,Optimal,optimal,10,,recz7VeEijrxFPcbK,recALHYONhUlnaoKb
recx3AknpiptnxUGi,150,0,recaW2jvtHhtuCC7d,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,lower_better,Integer,30 - 49,All,borderline_high_lpa,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recUkIxIOnGBQsC1n,,lpa,<>,49.99,49,30,30,Borderline High,borderline_high,linear:7-3.5,,recz7VeEijrxFPcbK,recALHYONhUlnaoKb
recxm3XMqTbEmtgDM,150,0,recaW2jvtHhtuCC7d,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,lower_better,Integer,50 - 120,All,high_lpa,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recUkIxIOnGBQsC1n,,lpa,<>,119.99,120,50,50,High,high,linear:3.5-0,,recz7VeEijrxFPcbK,recALHYONhUlnaoKb
recoQuOuyeyMiUkHQ,150,0,recaW2jvtHhtuCC7d,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,lower_better,Integer,>120,All,very_high_lpa,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recUkIxIOnGBQsC1n,,lpa,>,360,,120,120,Very High,very_high,0,,recz7VeEijrxFPcbK,recALHYONhUlnaoKb
rec43hAP1YjtqtxdP,150,0,recaW2jvtHhtuCC7d,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,lower_better,Integer,<80,All,optimal_triglycerides,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recDBJLAkc5CAfBm3,,triglycerides,<,80,80,0,,Optimal,optimal,10,,rec8diZFrQR8ia31V,recDJU7aNl5DcFbwD
recqlpQJBhG7bPGhi,150,0,recaW2jvtHhtuCC7d,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,lower_better,Integer,80 - 99,All,near-optimal_triglycerides,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recDBJLAkc5CAfBm3,,triglycerides,<>,99.99,99,80,80,Near-Optimal,near-optimal,linear:7-5.25,,rec8diZFrQR8ia31V,recDJU7aNl5DcFbwD
reclnm9WiI4o0Skkh,150,0,recaW2jvtHhtuCC7d,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,lower_better,Integer,100 - 149,All,borderline_high_triglycerides,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recDBJLAkc5CAfBm3,,triglycerides,<>,149.99,149,100,100,Borderline High,borderline_high,linear:5.25-3.5,,rec8diZFrQR8ia31V,recDJU7aNl5DcFbwD
rec6cCE1nFrvtNMvw,150,0,recaW2jvtHhtuCC7d,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,lower_better,Integer,150 - 199,All,high_triglycerides,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recDBJLAkc5CAfBm3,,triglycerides,<>,199.99,199,150,150,High,high,linear:3.5-1.75,,rec8diZFrQR8ia31V,recDJU7aNl5DcFbwD
recq1AG2X7AuLwukc,150,0,recaW2jvtHhtuCC7d,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,lower_better,Integer,200 - 500,All,very_high_triglycerides,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recDBJLAkc5CAfBm3,,triglycerides,<>,499.99,500,200,200,Very High,very_high,linear:1.75-0,,rec8diZFrQR8ia31V,recDJU7aNl5DcFbwD
recFcpR8v39s19RvO,150,0,recaW2jvtHhtuCC7d,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,lower_better,Integer,>500,All,critically_high_triglycerides,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recDBJLAkc5CAfBm3,,triglycerides,>,1500,,500,500,Critically High,critically_high,0,,rec8diZFrQR8ia31V,recDJU7aNl5DcFbwD
recsFmku1mR7DofOO,150,0,recaW2jvtHhtuCC7d,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,lower_better,Integer,<80,All,optimal_apob,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",receYj9nbAEGPBxFl,,apob,<,80,80,0,,Optimal,optimal,10,,rec8diZFrQR8ia31V,recDJU7aNl5DcFbwD
recP3CDMiP81qWi0F,150,0,recaW2jvtHhtuCC7d,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,lower_better,Integer,80 - 89,All,borderline_high_apob,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",receYj9nbAEGPBxFl,,apob,<>,89.99,89,80,80,Borderline High,borderline_high,linear:7-5.25,,rec8diZFrQR8ia31V,recDJU7aNl5DcFbwD
recHqvdV4yVPJwUpY,150,0,recaW2jvtHhtuCC7d,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,lower_better,Integer,90 - 99,All,high_apob,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",receYj9nbAEGPBxFl,,apob,<>,99.99,99,90,90,High,high,linear:5.25-3.5,,rec8diZFrQR8ia31V,recDJU7aNl5DcFbwD
recTHyMtKUApQHB3V,150,0,recaW2jvtHhtuCC7d,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,lower_better,Integer,100 - 120,All,very_high_apob,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",receYj9nbAEGPBxFl,,apob,<>,119.99,120,100,100,Very High,very_high,linear:3.5-0,,rec8diZFrQR8ia31V,recDJU7aNl5DcFbwD
recY1zytiC9aRHDy0,150,0,recaW2jvtHhtuCC7d,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,lower_better,Integer,>120,All,critically_high_apob,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",receYj9nbAEGPBxFl,,apob,>,360,,120,120,Critically High,critically_high,0,,rec8diZFrQR8ia31V,recDJU7aNl5DcFbwD
recIb4QkScz9v2TIv,150,0,"recaW2jvtHhtuCC7d, recabIclHbDf5dKZt",2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,higher_better,1 decimal,<4.0,All,critically_low_omega-3_index,"Nutrition, Movement",2025-09-24T21:29:18.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recAAuZFrdsqJW3yd,,omega-3_index,<,4,4.0,0,,Critically Low,critically_low,0,,recbr6G7O5LsA88v5,recIIRqObbADMucrw
rec9Pl4t9AYwh3qKN,150,0,"recaW2jvtHhtuCC7d, recabIclHbDf5dKZt",2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,higher_better,1 decimal,4.0 - 8.0,All,suboptimal_omega-3_index,"Nutrition, Movement",2025-09-24T21:29:18.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recAAuZFrdsqJW3yd,,omega-3_index,<>,7.99,8.0,4,4.0,Suboptimal,suboptimal,linear:0-7,,recbr6G7O5LsA88v5,recIIRqObbADMucrw
rec6IiM17zEbMGz44,150,0,"recaW2jvtHhtuCC7d, recabIclHbDf5dKZt",2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,higher_better,1 decimal,>8.0,All,optimal_omega-3_index,"Nutrition, Movement",2025-09-24T21:29:22.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recAAuZFrdsqJW3yd,,omega-3_index,>,12,,8,8.0,Optimal,optimal,10,,recbr6G7O5LsA88v5,recIIRqObbADMucrw
rec54u3jRkBOjGFWN,150,0,"recaW2jvtHhtuCC7d, recwKMzDmYVcEroSn, rec12RiJhEwS1xpNw",2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,optimal_range,1 decimal,<11.0,All,critically_low_rdw,"Nutrition, Stress",2025-09-24T21:29:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recTTucmjMGfWunuf,,rdw,<,11,11.0,0,,Critically Low,critically_low,0,,recbr6G7O5LsA88v5,recIIRqObbADMucrw
rect8hhIt4u3mRl02,150,0,"recaW2jvtHhtuCC7d, recwKMzDmYVcEroSn, rec12RiJhEwS1xpNw",2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,optimal_range,1 decimal,11.0 - 11.9,All,suboptimal_low_rdw,"Nutrition, Stress",2025-09-24T21:29:22.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recTTucmjMGfWunuf,,rdw,<>,11.99,11.9,11,11.0,Suboptimal Low,suboptimal_low,linear:0-7,,recbr6G7O5LsA88v5,recIIRqObbADMucrw
recHYVWWdbi4ZB3n2,150,0,"recaW2jvtHhtuCC7d, recwKMzDmYVcEroSn, rec12RiJhEwS1xpNw",2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,optimal_range,1 decimal,12.0 - 13.4,All,optimal_rdw,"Nutrition, Stress",2025-09-24T21:29:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recTTucmjMGfWunuf,,rdw,<>,13.5,13.4,12,12.0,Optimal,optimal,10,,recbr6G7O5LsA88v5,recIIRqObbADMucrw
recmdOWlyvqBthbJu,150,0,"recaW2jvtHhtuCC7d, recwKMzDmYVcEroSn, rec12RiJhEwS1xpNw",2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,optimal_range,1 decimal,13.5 - 14.4,All,suboptimal_high_rdw,"Nutrition, Stress",2025-09-24T21:29:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recTTucmjMGfWunuf,,rdw,<>,14.5,14.4,13.51,13.5,Suboptimal High,suboptimal_high,linear:7-3.5,,recbr6G7O5LsA88v5,recIIRqObbADMucrw
recma7gwiZ69weJyG,150,0,"recaW2jvtHhtuCC7d, recwKMzDmYVcEroSn, rec12RiJhEwS1xpNw",2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,optimal_range,1 decimal,14.5 - 15.5,All,high_rdw,"Nutrition, Stress",2025-09-24T21:28:53.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recTTucmjMGfWunuf,,rdw,<>,15.5,15.5,14.51,14.5,High,high,linear:3.5-0,,recbr6G7O5LsA88v5,recIIRqObbADMucrw
