record_id,Created By,count_intake_markers_raw,count_intake_metrics_raw,count_survey_questions,created,intake_markers_raw,intake_metrics_raw,last_modified_time,marker_metric_total,normalized_weight,question_complex_count,question_from_survey_questions,raw_weight,survey_questions,survey_total
reczQJiryjImkJo6U,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2,0,0,2025-06-19T14:20:58.000Z,"recUkIxIOnGBQsC1n, receYj9nbAEGPBxFl",,2025-06-19T22:56:35.000Z,20,0.026525198938992044,0,,10,,0
rec91GuZZkSMAg7vq,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",0,0,0,2025-09-11T19:32:07.000Z,,,2025-09-11T19:32:30.000Z,0,0.029177718832891247,0,,11,,0
recwqM7q5srvtU6en,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",0,0,0,2025-09-11T19:32:06.000Z,,,2025-09-11T19:32:27.000Z,0,0.03183023872679045,0,,12,,0
recyl7W3CUeQW9Q6o,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",0,0,0,2025-09-11T19:32:06.000Z,,,2025-09-11T19:32:28.000Z,0,0.034482758620689655,0,,13,,0
rechUMxrHV18ssIdp,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",0,0,0,2025-09-11T19:32:06.000Z,,,2025-09-11T19:32:29.000Z,0,0.03713527851458886,0,,14,,0
recFwz6hhy6oUI6zt,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",0,0,0,2025-09-11T19:32:06.000Z,,,2025-09-11T19:32:30.000Z,0,0.03978779840848806,0,,15,,0
recogEaoX5JNKjDeP,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",0,0,0,2025-09-11T19:32:07.000Z,,,2025-09-11T19:32:32.000Z,0,0.042440318302387266,0,,16,,0
recTAC10ulEliUZid,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",0,0,0,2025-09-11T19:32:07.000Z,,,2025-09-11T19:32:32.000Z,0,0.04509283819628647,0,,17,,0
reclqncGvyGJzfeRw,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",0,0,0,2025-09-11T19:32:08.000Z,,,2025-09-11T19:32:33.000Z,0,0.04774535809018567,0,,18,,0
recNc9YsrrUVWppNK,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",0,0,0,2025-09-11T19:32:08.000Z,,,2025-09-11T19:32:34.000Z,0,0.050397877984084884,0,,19,,0
recZGLh7u0XQskWcw,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",0,0,0,2025-09-11T19:32:24.000Z,,,2025-09-11T19:32:34.000Z,0,0.05305039787798409,0,,20,,0
