record_id,baseline_consistency,binary_threshold,calculated_metrics_map,categorical_filter_threshold,completion_based,composite_weighted,constrained_weekly_allowance,created,created_by,data_entry_type,description,healthkit_data_type,healthkit_equivalent,identifier,intake_metrics_map,last_modified_by,last_modified_time,minimum_frequency,name,proportional,proportional_frequency_hybrid,sleep_composite,sleep_composite_metric_2,source_options,time_fields_entry,ui_display_from_units,units,validation_schema,weekend_variance,weekly_elimination
rec0rSFQ8gP9rPSup,,,"receP0uJG8ReWogvl, rec71BD8UohNw7mTL, recwpzjlVmB8XGaiq, recBwvFfJzV6wHkew",,,"recs4sb1aR6o8MzKU, rec06BiEK4RqHdPHW",,2025-09-12T15:14:34.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",quantity,Each serving of vegetables consumed,wellpath,,vegetable_serving,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T00:39:04.000Z,,Vegetable Serving,rec9JSD8ejL2K3q3F,,,,,recQUkAvCWmbG4NmB,Servings,recZBMdCzE5sRxqOQ,"{""range"": {""min"": 0.5, ""max"": 3.0}}",,
reckKP7lbdTDlCEeQ,,,recZuFwAE8HANtMy8,,,"recs4sb1aR6o8MzKU, rec06BiEK4RqHdPHW",,2025-09-12T15:30:57.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",category_select,Type of vegetable source consumed,wellpath,,vegetable_source_type,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T00:39:04.000Z,,Vegetable Source,,,,,"recoQY71R2eDRM7oG, recZZGfOevJsRoZ4D, recgoc5kZUkrvy9WC, recoAqcbhE6c01m95, recRDVLSQ5Lnj2JDZ, rechxCZ5nBS5c4gZ0, recCKPRdJBfLGP1as, recrIIlhLEB6urWV5, recHSVcpZG5sV7Nf7",recQUkAvCWmbG4NmB,Sources,recLchvv5oHiyA236,"{""values"": [""legumes"", ""whole_grains"", ""vegetables"", ""fruits"", ""nuts_seeds"", ""avocado"", ""psyllium""]}",,
rec9VOCYi7lD6QRU8,,,recYePlQNAddUXuqD,,,,,2025-09-12T15:30:52.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",quantity,Grams of protein consumed,quantity,HKQuantityTypeIdentifierDietaryProtein,protein_grams,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T00:39:04.000Z,,Protein Grams,recJ1itRNVC7ZzTHJ,,,,,recQUkAvCWmbG4NmB,Grams,recBuF3n8IQ2v0Io8,"{""range"": {""min"": 1, ""max"": 100}}",,
recunORvw3BNmaN4P,,,"rec9KRoI8TVBXgf5V, recqsVGWNyBCUtPen",,,,,2025-09-12T15:17:23.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",measurement,Body weight measurement taken,quantity,HKQuantityTypeIdentifierBodyMass,weight_measured,"reccxH7AESy9vvBPo, recWsK4nX930OGci1, recyKRTIlX4Jux2W0","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-07T17:44:29.000Z,,Weight Measurement,recJ1itRNVC7ZzTHJ,,,,,recQUkAvCWmbG4NmB,Kilograms,rechJvygUSVpcnQwZ,"{""range"": {""min"": 30000, ""max"": 300000}}",,
recI4eTx41D0cwi8S,,,"recEuLfcionAEHuxo, recymReSeyd1ZawKw, recHkmXhLhadFGYHD, recz1mxoq56v7ye7j",,,,,2025-09-12T15:14:41.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",quantity,Each serving of protein consumed,quantity,HKQuantityTypeIdentifierDietaryProtein,protein_serving,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T00:39:04.000Z,,Protein Serving,"recS5wr4kR0qg19NC, recxbkwDRKiuHfo9g",,,,,recQUkAvCWmbG4NmB,Servings,recZBMdCzE5sRxqOQ,"{""range"": {""min"": 0.5, ""max"": 2.0}}",,
rec0hOpS2ovZkzDPW,,recv1qU9xyEXBapcq,"rec7bo1iZqtG3vVgn, recbGfLbzhxUQL6j2, rechoasBvKlPTc7K1, recuSSKRhyhRN978l",,,,,2025-09-12T15:16:53.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",quantity,Each serving of fiber consumed,wellpath,,fiber_serving,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T00:39:04.000Z,,Fiber Serving,recupGiYbvfw5ZAah,,,,,recQUkAvCWmbG4NmB,Servings,recZBMdCzE5sRxqOQ,"{""range"": {""min"": 0.5, ""max"": 3.0}}",,
recdH5PDRI9HZlWNF,,,rec3IuWLP2JxVDMvc,,,,,2025-09-12T15:30:19.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",quantity,Grams of fiber consumed,quantity,HKQuantityTypeIdentifierDietaryFiber,fiber_grams,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T00:39:04.000Z,,Fiber Grams,"recVj9wa8QIA3KJYS, recXlD0eVvP6yY5tn, recfy5CnBacmgvO5L, reckfiBYyh17qezTD",,,,,recQUkAvCWmbG4NmB,Grams,recBuF3n8IQ2v0Io8,"{""range"": {""min"": 1, ""max"": 50}}",,
recD2sdY7rzBPFKaf,,,recLj5GYHqYiTC4jo,,,,,2025-09-12T15:30:11.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",category_select,Type of fiber source consumed,wellpath,,fiber_source_type,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T00:39:04.000Z,,Fiber Source,,,,,"rec08zasyTKWfarJz, reczw8Izp9TG7MBuc, recBmWnM0ctOZPOFN, recrAwSNcLc8zMhHO, rec2V8z1utyAbiehK, recrxa1VyaaXYp9f5, reco3vVXIHq6VF36t",recQUkAvCWmbG4NmB,Sources,recLchvv5oHiyA236,"{""values"": [""legumes"", ""whole_grains"", ""vegetables"", ""fruits"", ""nuts_seeds"", ""avocado"", ""psyllium""]}",,
recwPxK8MnKe5NICN,,,"recbhvuUmr944Cq4w, recgYUj84IikG1ron, rec0PvlSlxiYV1h2j, recUbZz7Nzn1EnQSM",,,recjTeDN2HEne4ipu,,2025-09-12T15:31:31.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",quantity,Serving of whole grains consumed,wellpath,,whole_grain_serving,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T00:39:04.000Z,,Whole Grain Serving,"receR7AWCsF2VI8kR, rectoj9aQg387JdRN",,,,,recQUkAvCWmbG4NmB,Servings,recZBMdCzE5sRxqOQ,"{""range"": {""min"": 0.5, ""max"": 5}}",,
recFc0mIL0x0jFNbf,,,recGiUiUaID7mAdo0,,,recjTeDN2HEne4ipu,,2025-09-12T15:31:38.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",category_select,Type of whole grain source consumed,wellpath,,whole_grain_source_type,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T00:39:04.000Z,,Whole Grain Source,,,,,"rec6uv4a1IHfCWBvo, recCml4jJmfv9RCu1, rec1KXndE5yf48Kfv, recO2M8hHgrXn8Jcb, recMmv2yKXLSt2Rhk, recRcvLtzcoa2Hax1, recINgZ7BJOS7iBVa, rec28suOtCw8LaDO6, recdKhQgQSCBUPldv",recQUkAvCWmbG4NmB,Sources,recLchvv5oHiyA236,"{""values"": [""oats"", ""quinoa"", ""brown_rice"", ""whole_wheat"", ""barley"", ""buckwheat"", ""millet"", ""whole_grain_bread"", ""farro""]}",,
recOGyfPPsAJH0a1z,,,"reclpXrHPKzZjgU7G, reccCEe8PGjqhzmyY, recBiDT0P3XU60LM7, rec7K3BZOSteS0STt",,,"recqKsbiDN4yjoM4k, recrJi4XhS5cEywjX",,2025-09-12T15:31:45.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",quantity,Serving of legumes consumed,wellpath,,legume_serving,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T00:39:04.000Z,,Legume Serving,recECe95jC9Qh46SF,,,,,recQUkAvCWmbG4NmB,Servings,recZBMdCzE5sRxqOQ,"{""range"": {""min"": 0.5, ""max"": 3}}",,
recZb4SQfXZb0tMcT,,,recxDkvF3GvJXSwer,,,"recqKsbiDN4yjoM4k, recrJi4XhS5cEywjX",,2025-09-12T15:31:50.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",quantity,Type of legume source consumed,wellpath,,legume_source_type,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T00:39:04.000Z,,Legume Source,,,,,"recICDU3C6INbvn3v, recAY6XUfb3Gk0jg7, recwM6rEqFQgQBUSv, recjQm1gtUXAFyZkF, recfj6Skncl57bhaK, recKOOG4GRfAmkEnD, recPK3YescYbSoG1X, rec0pDw2ozowfrWYW, rec3OOzbDUa3hFbXJ, recWx2l4oQ9JuKgjy",recQUkAvCWmbG4NmB,Servings,recZBMdCzE5sRxqOQ,"{""values"": [""lentils"", ""chickpeas"", ""black_beans"", ""kidney_beans"", ""pinto_beans"", ""navy_beans"", ""split_peas"", ""black_eyed_peas"", ""edamame"", ""green_peas""]}",,
rectMLBlRfTVKEUmJ,,"recvDHuDqvfNkflNw, rectXlgekFeo2vO1K, reclHuzoq7FdIlFZA",recqo2sCnSEYTjVr8,,,,,2025-09-24T01:16:45.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",quantity,Source of dietary fats consumed,wellpath,,fat_source_type,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:13:29.000Z,,Fat Source,,,,,"recHm61FJq35AAS7X, recHoCAgoBlsJ67E8, recUlvyGDyDHVnOwS, recHBYMXqtnXvnD2F, recwJFEf3IMfIQRsh, rect9xjFSJTMX62ku, recVNi1A2ipqy3EDL, recpkvIpjyqpcQ6Mv, recYNj1n7VgouNSZU, recGtvJNVUvGxXWGJ, recHVBJILCvk2DgpY, rec5iEpBbHcaBuLY1, rec8EGdZquMdJhj0z, recDlWgruBJUQt8uC, recGraBvmOefyQkSZ, rec7ckgbgvLJczLhr, recGKlH8wbwu5PF0D, recflP5bWMQadqEuO, recMUrA2znOV8zWI9, recavwghO1hTBpVWS, recTzqYxGxJj2PIaS, recSBofA4YAlFBIu1",recQUkAvCWmbG4NmB,Servings,recZBMdCzE5sRxqOQ,"{""values"": [""butter"", ""coconut_oil"", ""palm_oil"", ""lard"", ""ghee"", ""cream_cheese"", ""heavy_cream"", ""sour_cream"", ""bacon_fat"", ""shortening"", ""full_fat_cheese"", ""whole_milk"", ""olive_oil"", ""avocado"", ""canola_oil"", ""nuts_mono"", ""nut_butters"", ""walnuts"", ""seeds"", ""fatty_fish"", ""vegetable_oils_poly"", ""tahini""]}",,
recFlBDZAW3xbNpPG,,,"reckOw3VbzkNuvzAH, recF1PLK58NqkBCbH, recvAUAjSDhDk73mC, recKgEKAeyOiOmNqZ",,,,,2025-09-12T15:25:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",quantity,Grams of saturated fat consumed,quantity,HKQuantityTypeIdentifierDietaryFatSaturated,saturated_fat_consumed,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:10:42.000Z,,Saturated Fat Consumed,,,,,,recQUkAvCWmbG4NmB,Grams,recBuF3n8IQ2v0Io8,"{""range"": {""min"": 0, ""max"": 50}}",,
rec5nE0V1s7l7OHPx,,,rec5EZ5sgEZ5e4atX,,,,,2025-09-22T22:34:05.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",quantity,Grams of polyunsaturated fat consumed,quantity,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,polyunsaturated_fat_consumed,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:10:42.000Z,,Polyunsaturated Fat Consumed,,,,,,recQUkAvCWmbG4NmB,Grams,recBuF3n8IQ2v0Io8,"{""range"": {""min"": 0, ""max"": 50}}",,
recRs5IzM2ApHJYv0,,,recGGQXQS9u5pAgx6,,,,,2025-09-22T23:00:10.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",quantity,Grams of monounsaturated fat consumed,quantity,HKQuantityTypeIdentifierDietaryFatMonounsaturated,monounsaturated_fat_consumed,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:10:42.000Z,,Monounsaturated Fat Consumed,,,,,,recQUkAvCWmbG4NmB,Grams,recBuF3n8IQ2v0Io8,"{""range"": {""min"": 0, ""max"": 50}}",,
recjzb5xcD3y5mxvM,,,"recOvYr08Rj2iPdHc, rece1ZK4voGB41Isw, recuMRBCfJVSLVloK, reclyzlCZnvczhmnC",,,,,2025-09-12T15:30:32.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",time_only,Swap from unhealthy to healthy fat,category,,healthy_fat_swap,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T00:39:04.000Z,,Healthy Fat Swap,,,,,,recQUkAvCWmbG4NmB,Count,recUsyv8C6CRDGvps,"{""values"": [""completed"", ""skipped""]}",,
recJFpHX4UHrL70R5,,,,,,,,2025-09-12T15:30:36.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",time_only,Use of healthy fats in cooking/meals,wellpath,,healthy_fat_usage,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:26:32.000Z,,Healthy Fat Usage,,,,,,recQUkAvCWmbG4NmB,Yes/No,rec7pF1npMWC9gCoM,"{""values"": [""olive_oil"", ""avocado_oil"", ""nuts"", ""seeds"", ""avocado"", ""fatty_fish""]}",,
recNjyT4Wj1DIqywi,,,"recaOSieHgikeIksD, rec8zRBa4sBPkeBAk, recG5r0B2rnihsElx, rec2lPc6KWn7kiyFC",,,,,2025-09-12T15:21:26.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",quantity,Each meal containing ultra-processed items,wellpath,,ultraprocessed_food_serving,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T00:39:04.000Z,"recbOUe3YArBODXBA, recmEevwyxz1wMHkQ",Ultra-Processed Food,,,,,,recQUkAvCWmbG4NmB,Servings,recZBMdCzE5sRxqOQ,"{""range"": {""min"": 1, ""max"": 1}}",,rec5fd4nCeqpYkCtn
reco9DeFYVedQuQ3V,,"recAKJy1t0Ha4bR0n, rec2il5ncz63fa0vG","recYLPMMzs0JXY9lU, recDYbjBWQe9vs11Q, rectiV0O4MVMUcW2M, rec8cT84Wh19MzvqU",,,,,2025-09-12T15:21:12.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",quantity,Each serving of processed meat consumed,wellpath,,processed_meat_serving,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T00:39:04.000Z,,Processed Meat Serving,,,,,,recQUkAvCWmbG4NmB,Servings,recZBMdCzE5sRxqOQ,"{""range"": {""min"": 0.5, ""max"": 2.0}}",,recFjRsUW8RjAGJED
