record_id,age_max,age_min,category,created,created_by,gender,last_modified_by,last_modified_time,overview,recommendation_text,therapautics_matrix,therapautics_matrix_2,therapautics_matrix_3,therapeutic,therapeutic_dose_max,therapeutic_dose_min,therapeutic_dose_rollup,therapeutic_frequency_days,therapeutic_operator,therapeutic_timing,therapeutic_type,therapeutic_unit,therapeutic_unit_symbol
receN7JaeSlwKVojI,150,21,Supplement,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:26:32.000Z,Hormone for sleep regulation,"Take 0.5-3mg of Melatonin before bed daily for sleep optimization, circadian rhythm regulation, and antioxidant protection
",recoWZDGXdcZFUjCn,,,Melatonin,3,0.5,0.5-3 mg,1,<>,Before bed,SUP,recBxCQOAdMmOV1Hi,mg
rechiC0sftgmzSTyD,150,21,Supplement,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:26:32.000Z,Essential mineral for bone and muscle function,"Take 600-1,200mg of Calcium with meals daily for bone health, muscle function, and cardiovascular support
",rechvSExLMD5YORhF,,,Calcium,1200,600,600-1200 mg,1,<>,With meals,SUP,recBxCQOAdMmOV1Hi,mg
recEmLWEkvEdf9jt6,150,21,Supplement,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:26:32.000Z,Essential mineral for immune function and wound healing,"Take 15-30mg of Zinc on empty stomach daily for immune function, wound healing, protein synthesis, and antioxidant activity
",recMtYN056UTY5QKJ,,,Zinc,30,15,15-30 mg,1,<>,Empty stomach,SUP,recBxCQOAdMmOV1Hi,mg
rec0c2PPz0pcZocRm,150,21,Supplement,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:26:32.000Z,Antioxidant precursor for glutathione synthesis,"Take 1,200-2,400mg of NAC on empty stomach daily for glutathione production, liver detoxification, respiratory health, and cellular protection
",recRu57EJ7T4zhB2h,,,NAC,2400,1200,1200-2400 mg,1,<>,Empty stomach,SUP,recBxCQOAdMmOV1Hi,mg
recA2z7KPT9LVQVQv,150,21,Supplement,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:26:32.000Z,Plant alkaloid for glucose metabolism,"Take 500-1,500mg of Berberine before meals daily for glucose metabolism, insulin sensitivity, cholesterol management, and gut health
",rec7MU52EslZT1jUt,,,Berberine,1500,500,500-1500 mg,1,<>,Before meals,SUP,recBxCQOAdMmOV1Hi,mg
recpEJqsYV8mndsX2,150,21,Supplement,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:26:32.000Z,Amino acid for sleep and collagen synthesis,"Take 3-10g of Glycine before bed daily for sleep quality, collagen synthesis, detoxification, and neuroprotection
",recDhLwBE8RhFpcMX,,,Glycine,10,3,3-10 g,1,<>,Before bed,SUP,recBuF3n8IQ2v0Io8,g
recpKTKsnCzTM8OHr,150,21,Supplement,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:31:09.000Z,Amino sugar for cartilage synthesis and joint health,"Take 1,500mg of Glucosamine with meals daily for joint health, cartilage preservation, and mobility maintenance
",recWO0nU7IeD7SHi9,,,Glucosamine,,1500,1500 mg,1,=,With meals,SUP,recBxCQOAdMmOV1Hi,mg
rec93DdXdepkea14Q,,,Supplement,2025-09-27T17:23:10.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:31:25.000Z,Glycosaminoglycan for cartilage structure and joint lubrication,"Take 800-1,200mg of Chondroitin with meals daily for cartilage support, joint lubrication, and anti-inflammatory effects
",,recWO0nU7IeD7SHi9,,Chondroitin,1200,800,800-1200 mg,1,<>,With meals,SUP,recBxCQOAdMmOV1Hi,mg
recW8eoiiOpM0PwJ7,150,21,Supplement,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:31:33.000Z,Anti-inflammatory polyphenol from turmeric,"Take 1,000-2,000mg of Curcumin with meals daily for anti-inflammatory effects, antioxidant protection, brain health, and longevity pathways
",rec2jWRD3SItFiAWs,,,Curcumin,2000,1000,1000-2000 mg,1,<>,With meals,SUP,recBxCQOAdMmOV1Hi,mg
recfcEpB9HeiAaTmR,150,21,Supplement,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:31:37.000Z,Antioxidant for metabolic and neurological health,"Take 600-1,200mg of Alpha-Lipoic Acid on empty stomach daily for antioxidant protection, glucose metabolism, neuroprotection, and mitochondrial health
",recjcAFH5st2aRDO0,,,Alpha-Lipoic Acid,1200,600,600-1200 mg,1,<>,Empty stomach,SUP,recBxCQOAdMmOV1Hi,mg
recIyuJ59M3dmzz2m,150,21,Supplement,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:31:41.000Z,Potent carotenoid antioxidant for eye/skin health,"Take 8-24mg of Astaxanthin with meals daily for powerful antioxidant protection, eye health, skin protection, and cardiovascular benefits
",recKNB8U7yjdesIaY,,,Astaxanthin,24,8,8-24 mg,1,<>,With meals,SUP,recBxCQOAdMmOV1Hi,mg
recWJJi1sjsdwyYL8,150,21,Supplement,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:45:36.000Z,Polyphenol antioxidant for cardiovascular health,"Take 500-2,000mg of Resveratrol on empty stomach daily for cardiovascular health, longevity gene activation, anti-inflammatory effects, and neuroprotection
",recJH0aBL1IvHnanZ,,,Resveratrol,2000,500,500-2000 mg,1,<>,Empty stomach,SUP,recBxCQOAdMmOV1Hi,mg
recZDoACtBHOhNjyS,150,21,Supplement,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:31:52.000Z,Carotenoid antioxidant for macular and eye health,"Take 10-20mg of Lutein with meals daily for macular protection, eye health, and blue light defense
",recnToD6IHt3Ur7Nj,,,Lutein,20,10,10-20 mg,1,<>,With meals,SUP,recBxCQOAdMmOV1Hi,mg
recXHyDB13wRRncug,,,Supplement,2025-09-27T17:23:41.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:32:02.000Z,Carotenoid antioxidant for retinal protection and eye health,"Take 2-4mg of Zeaxanthin with meals daily for retinal protection, macular health, and visual performance optimization
",,recnToD6IHt3Ur7Nj,,Zeaxanthin,4,2,2-4 mg,1,<>,With meals,SUP,recBxCQOAdMmOV1Hi,mg
recTULxGAG8iIXN8t,150,21,Supplement,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:32:10.000Z,Adaptogenic herb for stress and cortisol management,"Take 600-1,200mg of Ashwagandha with meals daily for stress reduction, cortisol management, sleep quality, and adaptogenic benefits
",recuuog4s8LUmqwum,,,Ashwagandha,1200,600,600-1200 mg,1,<>,With meals,SUP,recBxCQOAdMmOV1Hi,mg
recBUzFq2Pumf3A0F,150,21,Supplement,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:32:15.000Z,Fat-soluble vitamin for bone and cardiovascular health,"Take 100-200mcg of Vitamin K2 with meals daily for bone health, cardiovascular protection, and calcium metabolism optimization
",recRTk82CFFbZIZ9S,,,Vitamin K2,200,100,100-200 µg,1,<>,With meals,SUP,rec0bCCIGsoIoxokH,µg
recNIce5Dd6gMd1Gj,150,21,OTC Medication,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:32:21.000Z,B vitamin for cholesterol management,"Take 500-1,000mg of Niacin with meals daily for cholesterol management, NAD+ precursor benefits, and cardiovascular health
",recBYWzN6FRmP1yFr,,,Niacin,1000,500,500-1000 mg,1,<>,With meals,SUP,recBxCQOAdMmOV1Hi,mg
recQHvehcpqzOPO6r,150,21,OTC Medication,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:32:29.000Z,Antiplatelet therapy for cardiovascular protection,"Take 75-100mg of Low-Dose Aspirin with meals daily for cardiovascular protection, stroke prevention, and anti-inflammatory effects
",recgHjOqTOirOfCmU,,,Low-Dose Aspirin,100,75,75-100 mg,1,<>,With meals,SUP,recBxCQOAdMmOV1Hi,mg
recQAXH8yH8qixaIE,150,21,GLP/GIP Agonist,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:32:38.000Z,Dual incretin receptor agonist for metabolic health,"Take 5-10mg of Tirzepatide at any time weekly for metabolic optimization, weight management, insulin sensitivity, and potential longevity benefits
",rec7WBtHpMlUCtYtT,,,Tirzepatide,10,5,5-10 mg,7,<>,Any,PEP,recBxCQOAdMmOV1Hi,mg
recq3J4Ps8fMpkwII,150,21,GLP-1 Agonist,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:48:46.000Z,Incretin mimetic for metabolic optimization,"Take 1-2.4mg of Semaglutide at any time weekly for metabolic health, weight optimization, cardiovascular protection, and neuroprotection
",recN0RQzSEzIQxBZE,recFjODxHfNMbp7NI,,Semaglutide,2.4,1,1-2.4 mg,7,<>,Any,PEP,recBxCQOAdMmOV1Hi,mg
recmDsgoUwQ7BfmiF,150,21,GLP-1 Agonist,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:33:08.000Z,Incretin mimetic for metabolic optimization,"Take 1.2-3mg of Liraglutide at any time daily for metabolic optimization, appetite regulation, and cardiovascular benefits
",recLpKyJ2dam4PxO9,,,Liraglutide,3,1.2,1.2-3 mg,1,<>,Any,PEP,recBxCQOAdMmOV1Hi,mg
recrRDZRj2UTjX1Wc,150,21,Growth Hormone Peptide,2025-09-27T16:12:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:33:23.000Z,GHRH analog for growth hormone optimization,"Take 100-200mcg of CJC-1295 before bed every 3 days for growth hormone optimization, muscle preservation, fat metabolism, and recovery enhancement
",rectSvR0DGkWchk46,,,CJC-1295,200,100,100-200 µg,3,<>,Before bed,PEP,rec0bCCIGsoIoxokH,µg
rec5W034jGhhONMRM,150,21,Growth Hormone Peptide,2025-09-27T16:12:13.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:33:36.000Z,GHRP for growth hormone stimulation,"Take 200-300mcg of Ipamorelin on empty stomach every 3 days for natural growth hormone stimulation, body composition, and anti-aging benefits
",,rectSvR0DGkWchk46,,Ipamorelin,300,200,200-300 µg,3,<>,Empty stomach,PEP,rec0bCCIGsoIoxokH,µg
rec7WMU4topbcodMF,150,21,Healing Peptide,2025-09-27T16:12:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:33:56.000Z,Gastric pentadecapeptide for tissue repair,"Take 250-500mcg of BPC-157 on empty stomach daily for tissue repair, gut health, injury recovery, and systemic healing support
","recWaxSdkoYowWptr, recniL0lWjVJJokug",,,BPC-157,500,250,250-500 µg,1,<>,Empty stomach,PEP,rec0bCCIGsoIoxokH,µg
recexQanBHm8Pnf3e,150,21,Healing Peptide,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:34:02.000Z,Thymosin beta-4 fragment for tissue regeneration,"Take 2-5mg of TB-500 at any time weekly for tissue regeneration, injury recovery, cardiovascular health, and anti-inflammatory effects
",recEt38gYzl5Uj7EX,recniL0lWjVJJokug,,TB-500,5,2,2-5 mg,7,<>,Any,PEP,recBxCQOAdMmOV1Hi,mg
recpDB5ecJ00WKTZW,150,21,Longevity Peptide,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:34:22.000Z,Telomerase activator for cellular aging,"Take 10-20mg of Epitalon before bed daily for telomerase activation, cellular aging reversal, circadian rhythm regulation, and longevity enhancement
","recgKfnDcYPAgWKHE, recTRaueW58CTs55v",,,Epitalon,20,10,10-20 mg,1,<>,Before bed,PEP,recBxCQOAdMmOV1Hi,mg
recNlSRkXLfwq2IDp,150,21,Immune Peptide,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:34:28.000Z,Thymic peptide for immune system support,"Take 5-10mg of Thymalin at any time every 3 days for immune system optimization, thymic function restoration, and healthy aging
",recapEFmJYjrL6jpK,recTRaueW58CTs55v,,Thymalin,10,5,5-10 mg,3,<>,Any,PEP,recBxCQOAdMmOV1Hi,mg
