record_id,base_unit_identifier,calculated_metrics,conversion_factor,created,created_by,healthkit_unit,identifier,intake_markers,last_modified_by,last_modified_time,metrics_time_field_entry_units,metrics_using_unit,symbol,therapautics_matrix copy,ui_display,unit_type
recp96k7h85MtaNR1,,,,2025-09-08T21:08:15.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.gramUnit(with: .nano).unitDivided(by: HKUnit.literUnit(with: .deci)),nanograms_per_deciliter,"recS74cIgkMvN7vNT, recpOrydNUSymDkF6, recwvwjWmnetZAXek, recigPLLTa2i8LQqP, reclCLtfyc8wiIovS, recdMne2lbMbwIAvg, rec3yLBCoMpMHQENb, recNWdTREzQeFNf6p, recMQrw0g22NWu9ar, recrWCPnneHd9Xsps, recDTyaLWP4bIyDnS, rec8qtyrSln7bMfnH, recrkIv1FkLhlBtvT, recS8ECZq9CHplVhN, recRbHsSUGZGa3t0v, recCQXcyp0ocvDuvm, rec33gmNnPJFqd34G, recm1pun8wl1s3sxo, recOQGqDLQBxIOdZ2, recchaCyCFwJMKv8z, recJHYTWiAgWc2eDq, recLW9F6bBm0nTPIK, rec3mNCrEd8wubZrd, recHg6st560EtDz8t","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:11:36.000Z,,,ng/dL,,ng/dL,mass
rectqARAxGl3m740a,,,,2025-09-08T21:08:18.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.gram().unitDivided(by: HKUnit.literUnit(with: .deci)),grams_per_deciliter,"rec027wl2cMtZXi7X, recrVJPS7eKM6hVul, rechPgz2H0b25iniT, recu0EIAsOC4sSSvO, recx9i1SdmVMByCyi, recb4nHQBMQQZ268f, rec9nuPrif8tCDCXQ, recy3mpGS3cSrjlHJ, recJPs2ZKobAHh9lF, reclcqF68eqXbe2A0, recR60S2O7WpnRb1A, recLkjVfqiqONki7q, recTM7zY4vS6ouF58, recbgT5oHAyyW3moV, recUrstRvlmk7Ep1P, recHrkUt76hWDjuO4, receY0jE05dZKKKsq, rec5jwvGiGJ6P9ody, recvpaVXP6nTLnlwX, rec3TfGNaaw5Wgayr, recbfeJNxPipoXwXk, recYq5NvAO9k09peK, recHNfNi4xV3BJP2u, recd8ChsI7Nq07Rcx, recmyAwnNSzw3oQ5c, rec0RIHJXHjodCDYZ, rec3lCB2SW4E5zVQb, recQBIhDTdHsyjEYN, recjZvD0RBg3tWrEq, recIOL8qBOhURQbOZ, recnq20bfTlikCpFv, recu9nWCOauXSKDH0, recAGaWRgreLZIKj0, recKEjkHvULBQ756u, recaveCf4fhdEnFhr, recdOa2PPtXVu8Caa, recKXgSVKK5vlSJuS, reci3nHAFzhEgExRZ","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:11:36.000Z,,,g/dL,,g/dL,mass
recPgcWRBbonYp3v3,,,,2025-09-08T21:08:23.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.gramUnit(with: .pico).unitDivided(by: HKUnit.literUnit(with: .milli)),picograms_per_milliliter,"recvqaqBkB0Oxx8VV, recCbdgnZna4wZY9m, recdc9aZJizIH3bv9, recJlmBL31O7yfvrm, recpAMWGPCmIBWZq4, rect6k65coNqgWUO1, recNWwdlWkfH7cM6V, recRjXafQisQiZVh6, recS4gAYVzdsuO8fK, rec2cjI2IyLQG3JUi, recm4k5uudAxfmSqN, recNQgKQiqWbqaupJ, recMKPPhWhOwQZWXA, rech0GG2D9CUFUi2S, recHuUJrza0aAdcIO, recMZNl8UGZf8EesC, recSXqa4zDCwnyPw3, rec5kIIAyNlj3b9ik, recz91caP1PJGhhqM, recbe8toYsgvabbqk, recVJKbtKzYpvl4To, recsoaXoGIq9eSpz1, rec9kEpjLY5s9yqFc, recWodNWgl0RsCKuL, reclDeuYjVqfZsjdV, recY10yRAONdAP36g, recVLnu0UW77NpJoB, recoxnwk00ptLkxP8, rec4mVf4iaqZpy13x, recSM2WhANZb8jKfk, recckAnwtcW2xda2C, reciFRscMt6DrAcea, recM4iZeZ2UM5RGO9","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:11:36.000Z,,,pg/mL,,pg/mL,mass
rechJvygUSVpcnQwZ,gram,,1000,2025-09-08T21:08:27.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.kilogram(),kilogram,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-09T20:38:19.000Z,,"recZ8eVdPUW7ERQKx, recunORvw3BNmaN4P, recFpIjRypDHi4n78, reczMNZnZ0hKQRrgD",kg,,Kilograms,mass
recadMVonxrQHmal3,kilogram,,0.453592,2025-09-08T21:08:31.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.pound(),pound,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:15:02.000Z,,,lbs,,Pounds,mass
rec0bCCIGsoIoxokH,gram,,1e-06,2025-09-08T21:11:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.gramUnit(with: .micro),microgram,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:16:43.000Z,,"recxZlijql3VE6Wer, recilt99MgODQfso1, recq2YBMyorvAuzvP, recJKP1SjhWodVgoH, recevsUOrkLDX4F1W, recQTjAIs6NWvGkJ2, recMgbShgFDgIwEdh, rec3tVT2z0mKKpIcj, recBsT2KzNv9jp3az, recc9suXYpbUpzcfJ, recDeBgsUixN5ntbe, recTqsHok2py5wPo8, recHA0f2pG71FMtAH",µg,"recF3rHFoy1qTep0s, recBUzFq2Pumf3A0F, recrRDZRj2UTjX1Wc, rec5W034jGhhONMRM, rec7WMU4topbcodMF, rece54HLMbtsbuZlu, recDdXb8gmNlkmaLw, reclFjQSn2XlvZr3H, recmmB8PUU0XVZOGt, recA7SZUl7MArzgeP, recsZOHIo05iu6Two, recX4xPefr2CNY97j",Micrograms,mass
reckRwscLvoAzsWmA,,,,2025-09-08T21:11:31.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.internationalUnit(),international_unit,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T16:37:04.000Z,,recrI6gltvaeo8gT4,IU,recSXNCmUTO804lJa,International Units,mass
recivGVXyqG9y6NdE,,,,2025-09-08T21:11:43.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.moleUnit(with: .milli).unitDivided(by: HKUnit.liter()),millimoles_per_liter,"recXs4Zt6RTufu1p2, recBEzxFtXiR8T9HN, rec3R9geVVU9edEV3, recIovUvcV5CYFbkt, recdVdr9HATGXYwom, recqY1or5ybGXrbcC, recKxGF7GlYsPKx4M, recy1U7ipbCPxafks, recDW2nwph7WynyrN, reccwDP9yU9XI1lDK, recG10n8y0BkrElCv, recTHB4a2lWwrSMWF, recOWGAErsoIeHI8p, recW3nNxi7CzjKzLx","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:11:36.000Z,,,mmol/L,,mmol/L,mass
recIKXLD59YdDL7JI,,,,2025-09-08T21:11:50.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.moleUnit(with: .micro).unitDivided(by: HKUnit.liter()),micromoles_per_liter,"recKdfVMnhJk3YdkZ, recJt5w18ysN8omQo, recQKClfOEQvBRITZ, recFgOTPnaF36SifS, recDAZoJDSpY9RJrm, rec1H5eAAqaI8lrAI, recIUE8F73POFas19","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:15:02.000Z,,,µmol/L,,μmol/L,mass
recrXJVKm0Ee9zV8C,,,,2025-09-08T21:11:54.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.gramUnit(with: .micro).unitDivided(by: HKUnit.day()),micrograms_per_day,"reckBvdu4gmB40Am7, recQq2mb3DN5U1F0l, recXYSINLz1JCjhdg, recJeu5l4nHRhrxNC, recrGsZYMo7hfLm7l, recKx8CGl1x07eobc, reckSWsRA4UwaRY2h","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:15:02.000Z,,,µg/day,,μg/day,mass
recDvqwibssKw3S46,,,,2025-09-08T21:11:58.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.internationalUnit().unitMultiplied(by: HKUnit.milli).unitDivided(by: HKUnit.liter()),milli_international_units_per_liter,"recxx4cBn9KyqxdJp, reckJelsoaUGXYX2m, recEQNBQvLqnQ93yR, recsLdD8hlrsWr3eq, recmj99kLx4rCz7OU, recrGUtof6oMEjya3, recEO8NO8tSJaaaJt, rec1twbRuD9vlyZPD, recoR3Mueqt3xO73B, recl8bKyOzEeCLBZW, recoOrpmSeAQYf52B, recqJQvQQxKFinTRn, recFCgVKaG8x9GvDx, recmJxYYglTL0nNyh, recXJhCImF9qrXSsP, recGAfnid1ulIZmqr, recLL1k6EPpCxvu4h, recVuaD6qC1O0e9Pu, rec19TrUefDTZqyJK, recaxDuXuq0HhHVEq","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:11:36.000Z,,,mIU/L,,mIU/L,mass
recyLQNmTwkDswFaO,,,,2025-09-08T21:12:04.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.gramUnit(with: .pico).unitDivided(by: HKUnit.count()),picograms_per_cell,"recaipYEGIqFk3Y2t, recwyfe9MofNMT3ye, recQVuUlCQA4kq01U, recSl0nzZ2yYaG6TI, recynlsFb4UCGy0EG, recxhiS6z27MZHvE9, recYxjlPcOoDTzXgJ","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:11:36.000Z,,,pg/cell,,pg/cell,mass
rec4vmIDB0KhjPgiZ,,recqsVGWNyBCUtPen,,2025-09-08T21:12:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.kilogram().unitDivided(by: HKUnit.meter().unitRaised(toPower: 2)),kilograms_per_square_meter,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-14T18:26:42.000Z,,,kg/m²,,kg/m²,mass
rec3XRiPL27CfDZEl,kilogram,,6.35029,2025-09-08T21:23:11.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.stone(),stone,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:15:02.000Z,,,st,,Stone,mass
recdCqemoCGHViZjE,,,,2025-09-08T21:23:17.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.moleUnit(withMolarMass: 1.0),mole,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:15:02.000Z,,,mol,,Moles,mass
recXb5vnQVfVeO7n9,,,,2025-09-08T21:23:43.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.gram().unitDivided(by: HKUnit.count()),grams_per_serving,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:15:02.000Z,,,g/serving,,Grams per Serving,mass
receJ3DJ89Wq4USbA,gram,,1e-09,2025-09-08T21:24:03.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.gramUnit(with: .nano),nanogram,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:15:02.000Z,,,ng,,Nanograms,mass
recW56gOSl4vAYuYr,gram,,1e-12,2025-09-08T21:24:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.gramUnit(with: .pico),picogram,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-13T16:55:40.000Z,,,pg,,Picograms,mass
recyJIDZTNP2peUAo,meter,,0.0254,2025-09-08T21:08:35.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.inch(),inch,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-09T20:37:31.000Z,,,in,,Inches,volume
rec4fukGV22mQDRUK,meter,,0.9144,2025-09-08T21:08:43.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.yard(),yard,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:15:02.000Z,,,yd,,Yards,volume
recGT13BPJatoGqa3,,recTH7DLHsLEv8CHC,,2025-09-08T21:09:18.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.literUnit(with: .milli),milliliter,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-14T18:26:42.000Z,,rec7CnfAEp6i9w5fV,mL,,Milliliters,volume
recHy3bG4v5OAdyZc,,,,2025-09-08T21:09:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.meter(),meter,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:15:02.000Z,,,m,,Meters,volume
recXc6ospqf5woXNm,meter,,1609.34,2025-09-08T21:09:31.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.mile(),mile,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:15:02.000Z,,,mi,,Miles,volume
recKna4WLhrUrQPPB,meter,,1000,2025-09-08T21:09:37.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.meterUnit(with: .kilo),kilometer,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:15:02.000Z,,,km,,Kilometers,volume
recpV1fwlwZeOtZfV,meter,,0.01,2025-09-08T21:09:45.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.meterUnit(with: .centi),centimeter,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-09T20:37:36.000Z,,"recUi0wXzQXWfE8T8, recbOOlFtADXjf79s, recL1Vc10EwfI2iY5",cm,,Centimeters,volume
recfRfDcBBdDJSqYk,,,,2025-09-08T21:10:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.liter().unitDivided(by: HKUnit.minute()),liters_per_minute,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:11:36.000Z,,,L/min,,L/min,volume
recJSHsuBKaXM3RQC,milliliter,,4.92892,2025-09-08T21:10:53.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.teaspoon(),teaspoon,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:15:02.000Z,,,tsp,,Teaspoons,volume
recZj7ylEqq4f6vW0,milliliter,,14.7868,2025-09-08T21:10:57.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.tablespoon(),tablespoon,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:15:02.000Z,,,tbsp,,Tablespoons,volume
recUoGwcERCDdWiZg,milliliter,,236.588,2025-09-08T21:11:11.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.cupUS(),cup,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:15:02.000Z,,,cups,,Cups,volume
reci0fenenHWCLVea,liter,,1e-15,2025-09-08T21:12:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.literUnit(with: .femto),femtoliter,"recrSkUFdWdVICLkq, rec24X33j1OpfuRzp, recLwDm2hTbE4Iopj, recPKobOV35b3YDPb, rectgjAzDXrbVKPu2, recirUM0nS6H9A1Bc, recOiXAW2YVVZQQgl","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-13T16:56:35.000Z,,,fL,,Femtoliters,volume
recvnpDBkos1fyFjA,,,,2025-09-08T21:12:24.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.literUnit(with: .milli).unitDivided(by: HKUnit.kilogram()).unitDivided(by: HKUnit.minute()),milliliters_per_kilogram_per_minute,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:38:53.000Z,,recJj66RhX1E012hK,mL/kg/min,,mL/kg/min,volume
reclLdOs8qedI0rvG,,,,2025-09-08T21:12:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.literUnit(with: .milli).unitDivided(by: HKUnit.minute()),milliliters_per_minute_per_1_73_m2,"recszBbPdamNGYDFM, recnfyjBZpILHk7Wm, reccJMlQ0ZGiAEgXF, recPnwkQjQMg907uv, recQYWTu7vsxCDwUn, recvAbGT6fmvoPPsB","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:15:02.000Z,,,mL/min/1.73 m²,,mL/min/1.73m²,volume
reci6pnlBz2Xg7rjS,milliliter,,28.4131,2025-09-08T21:22:49.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.fluidOunceImperial(),fluid_ounce_imperial,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:15:02.000Z,,,fl_oz_imp,,Fluid Ounces (Imperial),volume
recH11wl7tOFJF1CR,milliliter,,284.131,2025-09-08T21:22:55.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.cupImperial(),cup_imperial,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:15:02.000Z,,,cup_imp,,Cups (Imperial),volume
recLb2YC0S1WnbuVc,milliliter,,473.176,2025-09-08T21:23:03.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.pintUS(),pint_us,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:15:02.000Z,,,pt_us,,Pints (US),volume
rec3baIobH9kG3GIe,milliliter,,568.261,2025-09-08T21:23:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.pintImperial(),pint_imperial,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:15:02.000Z,,,pt_imp,,Pints (Imperial),volume
recezIiv3NurYdNDS,meter,,0.3048,2025-09-08T21:23:21.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.foot(),foot,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:15:02.000Z,,,ft,,Feet,volume
recaVPhgHNG5yyqnm,meter,,0.001,2025-09-08T21:23:25.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.meterUnit(with: .milli),millimeter,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:15:02.000Z,,,mm,,Millimeters,volume
recXcUEMI9EPNT8iM,liter,,0.1,2025-09-08T21:23:53.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.literUnit(with: .deci),deciliter,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:15:02.000Z,,,dL,,Deciliters,volume
rec5j1EtipClQJ3p0,liter,,1e-06,2025-09-08T21:24:10.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.literUnit(with: .micro),microliter,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:15:02.000Z,,,μL,,Microliters,volume
recmMEvDkigNiAoYs,milliliter,,29.5735,2025-09-08T22:00:40.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.fluidOunceUS(),fluid_ounce,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:15:02.000Z,,,fl oz,,Fluid Ounces,volume
recEpt5LNZxgCCsE9,milliliter,,1000,2025-09-08T22:00:44.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.liter(),liter,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:15:02.000Z,,,L,,Liters,volume
recZBMdCzE5sRxqOQ,,"rec2lPc6KWn7kiyFC, recHDABFxYSwsWiIP, recuSSKRhyhRN978l, recUbZz7Nzn1EnQSM, receP0uJG8ReWogvl, rec71BD8UohNw7mTL, recwpzjlVmB8XGaiq, recrE8ZPjgqmWUN0M, recQdU3aMAVBH4CsO, recLiyx9n4sjxZFI1, rechoasBvKlPTc7K1, recbGfLbzhxUQL6j2, rec7bo1iZqtG3vVgn, recbhvuUmr944Cq4w, recz1mxoq56v7ye7j, recEuLfcionAEHuxo, recHkmXhLhadFGYHD, reclpXrHPKzZjgU7G, recYLPMMzs0JXY9lU, recDYbjBWQe9vs11Q, recaOSieHgikeIksD, rec8zRBa4sBPkeBAk, recBwvFfJzV6wHkew, recymReSeyd1ZawKw, recgYUj84IikG1ron, rec0PvlSlxiYV1h2j, recBiDT0P3XU60LM7, reccCEe8PGjqhzmyY, rec7K3BZOSteS0STt, recOgMyuq9svPrOWv, recqMKjjVRs1RrQeo, recG5r0B2rnihsElx, rec8cT84Wh19MzvqU, recNzOe2650EhKLI6, recY4H2UF05Uu1xer, rectiV0O4MVMUcW2M, recUCwywKgmppMKhV, recHu8HXEQmRbKRf3, recLK67nO62yaipFo, recUs3667iFP3i6cf, rec8wtpvsB3lzCkgQ",,2025-09-08T19:26:12.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.count(),serving,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-09T20:38:25.000Z,,"recaCw0rYWB00Tb0A, recwPxK8MnKe5NICN, recZb4SQfXZb0tMcT, recOGyfPPsAJH0a1z, reco9DeFYVedQuQ3V, rec0hOpS2ovZkzDPW, recMi1W2H0fBc2kdF, rec0rSFQ8gP9rPSup, recI4eTx41D0cwi8S, recNjyT4Wj1DIqywi, rectMLBlRfTVKEUmJ, recJIvIjeZtKwzX3V, recr6JAa4MhixQbWv, recoazbjKoKBrDApl",serving,,Servings,count
