record_id,created,created_by,id,intake_markers_raw,intake_metrics_raw,last_modified_by,last_modified_time,linked_evidence,option_count,overview,primary_markers,primary_metrics,raw_impact,secondary_markers,secondary_metrics,stack_recommendation,stack_summary,tertiary_markers,tertiary_metrics,therapeutic_1,therapeutic_1_age_max,therapeutic_1_age_min,therapeutic_1_category,therapeutic_1_dose_max,therapeutic_1_dose_min,therapeutic_1_dose_rollup,therapeutic_1_frequency_days,therapeutic_1_gender,therapeutic_1_operator,therapeutic_1_overview,therapeutic_1_recommendation,therapeutic_1_timing,therapeutic_1_type,therapeutic_1_unit,therapeutic_1_unit_symbol,therapeutic_2,therapeutic_2_age_max,therapeutic_2_age_min,therapeutic_2_category,therapeutic_2_dose_max,therapeutic_2_dose_min,therapeutic_2_dose_rollup,therapeutic_2_frequency_days,therapeutic_2_gender,therapeutic_2_operator,therapeutic_2_timing,therapeutic_2_type,therapeutic_2_unit,therapeutic_2_unit_symbol,therapeutic_3,therapeutic_3_age_max,therapeutic_3_age_min,therapeutic_3_category,therapeutic_3_dose_max,therapeutic_3_dose_min,therapeutic_3_dose_rollup,therapeutic_3_frequency_days,therapeutic_3_gender,therapeutic_3_operator,therapeutic_3_timing,therapeutic_3_type,therapeutic_3_unit,therapeutic_3_unit_symbol,therapeutic_count,therapeutic_recommendation,therapeutic_summary,therapeutic_type,therapeutic_type_ref_#,title
rec2rp3fHH2YUupT9,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",SUP010-STACK,"recLJcUUTL1szyE8Z, rec93yl8sjy6vTsht, rec6V13cha6oovOXX, rec1DXEBKaRkramqH, recwIwB9znK0kB3Xg, recDwWAHjdIXhMhSV, recr9ZjdfpVef9KJR, recTyoThcQqCihtey",,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:59:45.000Z,"recH2mI5BxEt2rOtW, rectczJLrnIi1EITi, recFhon7ePAPWTucC, recUdc4Cwlh2X1O8i",,"B12 and folate are critical for red blood cells, brain, DNA repair, and heart protection (by lowering homocysteine). Deficiency is common in older adults and vegans.",,,35,"recTyoThcQqCihtey, recr9ZjdfpVef9KJR, rec6V13cha6oovOXX, rec93yl8sjy6vTsht, recLJcUUTL1szyE8Z, rec1DXEBKaRkramqH, recwIwB9znK0kB3Xg, recDwWAHjdIXhMhSV",,"Take 500-2,000mcg of Vitamin B12 (morning) and 400-800mcg of Folate (with meals) daily for optimal methylation support, cardiovascular protection, neurological health, DNA synthesis, and homocysteine metabolism optimization","Synergistic B vitamins essential for DNA methylation, homocysteine metabolism, neurological function, and cellular repair. Together they optimize methylation pathways crucial for longevity, cardiovascular health, and cognitive preservation.","recierVNozpgZdLZH, recAdUWMgWMZS3qKI, recUkIxIOnGBQsC1n, recAAuZFrdsqJW3yd",,recF3rHFoy1qTep0s,150,21,Supplement,2000,500,500-2000 µg,1,male_female,<>,Water-soluble vitamin for neurological function,"Take 500-2,000mcg of Vitamin B12 in the morning daily for neurological function, energy metabolism, DNA synthesis, and cognitive health",Morning,SUP,rec0bCCIGsoIoxokH,µg,recX4xPefr2CNY97j,150,21,Supplement,800,400,400-800 µg,1,male_female,<>,With meals,SUP,rec0bCCIGsoIoxokH,µg,,,,,,,,,,,,,,,STACK,"Take 500-2,000mcg of Vitamin B12 (morning) and 400-800mcg of Folate (with meals) daily for optimal methylation support, cardiovascular protection, neurological health, DNA synthesis, and homocysteine metabolism optimization","Synergistic B vitamins essential for DNA methylation, homocysteine metabolism, neurological function, and cellular repair. Together they optimize methylation pathways crucial for longevity, cardiovascular health, and cognitive preservation.",SUP,010,Vitamin B12 + Folate Stack
reckkSx4q3QCfv0IF,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",SUP011-SINGLE,"receYj9nbAEGPBxFl, recPiW3K4dhWi31Xh, recierVNozpgZdLZH, recAdUWMgWMZS3qKI, recLJcUUTL1szyE8Z, recwtXkPSEQgyddmt, recDBJLAkc5CAfBm3","recELBnyZAf0mIQH6, recSy02sgRnjfOkHE","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:17:30.000Z,"recvcrchJO7J57m2b, rec5nmyogy4RG53Lo, recEqOiR22IGSgLjR, recEGaHbHhtTqDgQw, recJniegrW816o3gQ",,"Probiotics support gut microbiome diversity, digestion, immune function, and recovery after antibiotics. Clinical evidence supports use for IBS, IBD, and post-antibiotic recovery.",receYj9nbAEGPBxFl,"recSy02sgRnjfOkHE, recELBnyZAf0mIQH6",30,"recwtXkPSEQgyddmt, recierVNozpgZdLZH, recAdUWMgWMZS3qKI, recLJcUUTL1szyE8Z, recPiW3K4dhWi31Xh, recDBJLAkc5CAfBm3",,,,"recUkIxIOnGBQsC1n, recAAuZFrdsqJW3yd",,recTViLG7j4OyM1Jr,150,21,Supplement,50,10,10-50 billion CFU,1,male_female,<>,Beneficial bacteria for gut microbiome health,"Take 10-50 billion CFU of a multi-strain Probiotic on empty stomach daily for gut microbiome health, immune function, and systemic inflammation reduction",Empty stomach,SUP,recqM7xXRKu5aGncY,billion CFU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SINGLE,"Take 10-50 billion CFU of a multi-strain Probiotic on empty stomach daily for gut microbiome health, immune function, and systemic inflammation reduction",Beneficial bacteria for gut microbiome health,SUP,011,Probiotic: Supplement
recoWZDGXdcZFUjCn,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",SUP012-SINGLE,"receYj9nbAEGPBxFl, recf4HtvFUqMhyhdh, recierVNozpgZdLZH","recxJqmq5ipZMLJsj, recXiq3Os05QJJki4, rec8o1wlo0olBMl8A, recELBnyZAf0mIQH6, recSy02sgRnjfOkHE, recLuAlDIETnvUUtO","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:17:43.000Z,"recWupLTL0rvNFpr7, recQjt0RqlVLhQp6A, rec2wgpap3Uph2ZDK, recaLzLEsjEetQT5g",,"Melatonin regulates circadian rhythm and sleep quality. Supplementation supports sleep onset for shift workers, jet lag, or mild insomnia, with additional antioxidant properties.",receYj9nbAEGPBxFl,"recSy02sgRnjfOkHE, recELBnyZAf0mIQH6",30,"recf4HtvFUqMhyhdh, recierVNozpgZdLZH","recXiq3Os05QJJki4, rec8o1wlo0olBMl8A, recLuAlDIETnvUUtO, recxJqmq5ipZMLJsj",,,"recAdUWMgWMZS3qKI, recUkIxIOnGBQsC1n, recAAuZFrdsqJW3yd",,receN7JaeSlwKVojI,150,21,Supplement,3,0.5,0.5-3 mg,1,male_female,<>,Hormone for sleep regulation,"Take 0.5-3mg of Melatonin before bed daily for sleep optimization, circadian rhythm regulation, and antioxidant protection",Before bed,SUP,recBxCQOAdMmOV1Hi,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SINGLE,"Take 0.5-3mg of Melatonin before bed daily for sleep optimization, circadian rhythm regulation, and antioxidant protection",Hormone for sleep regulation,SUP,012,Melatonin: Supplement
rechvSExLMD5YORhF,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",SUP013-SINGLE,"rec7lljffINZr7vSi, recVZYWGkdqlDhEL9","recELBnyZAf0mIQH6, recSy02sgRnjfOkHE","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:22:30.000Z,"recNL9LuPn7qj08wG, recSM3DZQDNGKvl4s, recC4qu2BH3nRj3Sv, rec2Jy46MxJci7Ixw",,"Calcium is vital for bone strength and metabolic health. Supplementation prevents osteoporosis in postmenopausal women and older adults, especially if dietary intake is low.",,"recSy02sgRnjfOkHE, recELBnyZAf0mIQH6",25,"recVZYWGkdqlDhEL9, rec7lljffINZr7vSi",,,,"recierVNozpgZdLZH, recAdUWMgWMZS3qKI, recUkIxIOnGBQsC1n, recAAuZFrdsqJW3yd",,rechiC0sftgmzSTyD,150,21,Supplement,1200,600,600-1200 mg,1,male_female,<>,Essential mineral for bone and muscle function,"Take 600-1,200mg of Calcium with meals daily for bone health, muscle function, and cardiovascular support",With meals,SUP,recBxCQOAdMmOV1Hi,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SINGLE,"Take 600-1,200mg of Calcium with meals daily for bone health, muscle function, and cardiovascular support",Essential mineral for bone and muscle function,SUP,013,Calcium: Supplement
recMtYN056UTY5QKJ,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",SUP014-SINGLE,"recPiW3K4dhWi31Xh, recf4HtvFUqMhyhdh, recierVNozpgZdLZH, recAdUWMgWMZS3qKI, recL8dpnjNSzBJp2L, recX6IiQRem8pQ14z, recC0mB1LyNGjDyld, recsIZzvXU1VCDEpy, receYj9nbAEGPBxFl","recxJqmq5ipZMLJsj, recXiq3Os05QJJki4, rec8o1wlo0olBMl8A","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:22:33.000Z,"reclDPDNkNK7zcSmQ, reccedv3yoEzB5ahQ, recBdEpSpUG4N7VG7, recQM8JCLmb2Dv29H",,"Zinc supports immune function, wound healing, DNA synthesis, and testosterone production. Deficiency impairs immunity and metabolic health; supplementation may reduce infection risk.","receYj9nbAEGPBxFl, recC0mB1LyNGjDyld",,25,"recsIZzvXU1VCDEpy, recf4HtvFUqMhyhdh, recierVNozpgZdLZH, recX6IiQRem8pQ14z, recAdUWMgWMZS3qKI, recPiW3K4dhWi31Xh, recL8dpnjNSzBJp2L","recXiq3Os05QJJki4, rec8o1wlo0olBMl8A, recxJqmq5ipZMLJsj",,,"recUkIxIOnGBQsC1n, recAAuZFrdsqJW3yd",,recEmLWEkvEdf9jt6,150,21,Supplement,30,15,15-30 mg,1,male_female,<>,Essential mineral for immune function and wound healing,"Take 15-30mg of Zinc on empty stomach daily for immune function, wound healing, protein synthesis, and antioxidant activity",Empty stomach,SUP,recBxCQOAdMmOV1Hi,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SINGLE,"Take 15-30mg of Zinc on empty stomach daily for immune function, wound healing, protein synthesis, and antioxidant activity",Essential mineral for immune function and wound healing,SUP,014,Zinc: Supplement
recRu57EJ7T4zhB2h,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",SUP015-SINGLE,"recierVNozpgZdLZH, recAdUWMgWMZS3qKI, recf4HtvFUqMhyhdh, recPiW3K4dhWi31Xh, recq0JX3QgFBo5mm4, receYj9nbAEGPBxFl, recwtXkPSEQgyddmt",,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:22:37.000Z,"rec1j4kGtt8DMLYFO, rec2XXB7INamQ3S4Z, recFarchexVbsWqcV, recMxvJCgtrra5ier",,"NAC is a precursor to glutathione (the body’s master antioxidant), supporting detoxification, liver, and respiratory health, especially for NAFLD or chronic lung disease.",receYj9nbAEGPBxFl,,25,"recwtXkPSEQgyddmt, recf4HtvFUqMhyhdh, recierVNozpgZdLZH, recq0JX3QgFBo5mm4, recAdUWMgWMZS3qKI, recPiW3K4dhWi31Xh",,,,"recUkIxIOnGBQsC1n, recAAuZFrdsqJW3yd",,rec0c2PPz0pcZocRm,150,21,Supplement,2400,1200,1200-2400 mg,1,male_female,<>,Antioxidant precursor for glutathione synthesis,"Take 1,200-2,400mg of NAC on empty stomach daily for glutathione production, liver detoxification, respiratory health, and cellular protection",Empty stomach,SUP,recBxCQOAdMmOV1Hi,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SINGLE,"Take 1,200-2,400mg of NAC on empty stomach daily for glutathione production, liver detoxification, respiratory health, and cellular protection",Antioxidant precursor for glutathione synthesis,SUP,015,NAC: Supplement
rec7MU52EslZT1jUt,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",SUP016-SINGLE,"recf4HtvFUqMhyhdh, recC0mB1LyNGjDyld, recierVNozpgZdLZH, recAdUWMgWMZS3qKI, recDBJLAkc5CAfBm3, recq0JX3QgFBo5mm4, recw2hqgZfllcjFso","reccxH7AESy9vvBPo, recbIfUESzC18eAIL, recELBnyZAf0mIQH6, recSy02sgRnjfOkHE","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:22:41.000Z,"recMD0Aty33OBhyak, recjSzlhtOL89izWO, rec25h3FHNaUByXvS, rec70UQYyfpxpDmNQ",,"Berberine improves glucose and lipid metabolism, supports gut health, and may lower liver fat and A1c in metabolic syndrome, diabetes, and PCOS.","recC0mB1LyNGjDyld, recw2hqgZfllcjFso","recSy02sgRnjfOkHE, recELBnyZAf0mIQH6",30,"recf4HtvFUqMhyhdh, recierVNozpgZdLZH, recq0JX3QgFBo5mm4, recAdUWMgWMZS3qKI, recDBJLAkc5CAfBm3","reccxH7AESy9vvBPo, recbIfUESzC18eAIL",,,"recUkIxIOnGBQsC1n, recAAuZFrdsqJW3yd",,recA2z7KPT9LVQVQv,150,21,Supplement,1500,500,500-1500 mg,1,male_female,<>,Plant alkaloid for glucose metabolism,"Take 500-1,500mg of Berberine before meals daily for glucose metabolism, insulin sensitivity, cholesterol management, and gut health",Before meals,SUP,recBxCQOAdMmOV1Hi,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SINGLE,"Take 500-1,500mg of Berberine before meals daily for glucose metabolism, insulin sensitivity, cholesterol management, and gut health",Plant alkaloid for glucose metabolism,SUP,016,Berberine: Supplement
recDhLwBE8RhFpcMX,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",SUP017-SINGLE,"recierVNozpgZdLZH, recf4HtvFUqMhyhdh, receYj9nbAEGPBxFl, recq0JX3QgFBo5mm4, recDBJLAkc5CAfBm3, recPiW3K4dhWi31Xh, recwtXkPSEQgyddmt","recxJqmq5ipZMLJsj, recXiq3Os05QJJki4, rec8o1wlo0olBMl8A","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:22:46.000Z,"recL9srK0ySlyshNB, recybnvVRi3uqaDzK, recKakSWF3VgxvkAY, recZZu138im52nLvU",,"Glycine is an amino acid that improves sleep latency, supports liver detox, and may improve metabolic and cardiovascular health, especially in metabolic syndrome or NAFLD.",receYj9nbAEGPBxFl,,25,"recwtXkPSEQgyddmt, recf4HtvFUqMhyhdh, recierVNozpgZdLZH, recq0JX3QgFBo5mm4, recPiW3K4dhWi31Xh, recDBJLAkc5CAfBm3","recXiq3Os05QJJki4, rec8o1wlo0olBMl8A, recxJqmq5ipZMLJsj",,,"recAdUWMgWMZS3qKI, recUkIxIOnGBQsC1n, recAAuZFrdsqJW3yd",,recpEJqsYV8mndsX2,150,21,Supplement,10,3,3-10 g,1,male_female,<>,Amino acid for sleep and collagen synthesis,"Take 3-10g of Glycine before bed daily for sleep quality, collagen synthesis, detoxification, and neuroprotection",Before bed,SUP,recBuF3n8IQ2v0Io8,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SINGLE,"Take 3-10g of Glycine before bed daily for sleep quality, collagen synthesis, detoxification, and neuroprotection",Amino acid for sleep and collagen synthesis,SUP,017,Glycine: Supplement
recWO0nU7IeD7SHi9,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",SUP018-STACK,"recPiW3K4dhWi31Xh, recf4HtvFUqMhyhdh",,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:59:45.000Z,"recixL7mBSTqhNkna, reckgmoubE1WPxWuX, rech0uhKe0jdMkr5I, recWPLJxRelJSVwCu",,"Glucosamine and chondroitin support joint structure, reduce osteoarthritis symptoms, and may slow cartilage loss progression.",,,20,"recf4HtvFUqMhyhdh, recPiW3K4dhWi31Xh",,"Take 1,500mg of Glucosamine and 800-1,200mg of Chondroitin with meals daily for comprehensive joint health, cartilage preservation, reduced inflammation, and long-term mobility maintenance",Complementary compounds for comprehensive cartilage support - glucosamine provides building blocks for cartilage synthesis while chondroitin maintains cartilage structure and joint lubrication. Combined they offer superior joint preservation and mobility maintenance.,"recierVNozpgZdLZH, recAdUWMgWMZS3qKI, recUkIxIOnGBQsC1n, recAAuZFrdsqJW3yd",,recpKTKsnCzTM8OHr,150,21,Supplement,,1500,1500 mg,1,male_female,=,Amino sugar for cartilage synthesis and joint health,"Take 1,500mg of Glucosamine with meals daily for joint health, cartilage preservation, and mobility maintenance",With meals,SUP,recBxCQOAdMmOV1Hi,mg,rec93DdXdepkea14Q,,,Supplement,1200,800,800-1200 mg,1,male_female,<>,With meals,SUP,recBxCQOAdMmOV1Hi,mg,,,,,,,,,,,,,,,STACK,"Take 1,500mg of Glucosamine and 800-1,200mg of Chondroitin with meals daily for comprehensive joint health, cartilage preservation, reduced inflammation, and long-term mobility maintenance",Complementary compounds for comprehensive cartilage support - glucosamine provides building blocks for cartilage synthesis while chondroitin maintains cartilage structure and joint lubrication. Combined they offer superior joint preservation and mobility maintenance.,SUP,018,Glucosamine + Chondroitin Stack
rec2jWRD3SItFiAWs,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",SUP019-SINGLE,"recPiW3K4dhWi31Xh, recierVNozpgZdLZH, recAdUWMgWMZS3qKI, receYj9nbAEGPBxFl, recBA3iQ4lGJtC2nM, recw2hqgZfllcjFso, recq0JX3QgFBo5mm4, recwtXkPSEQgyddmt, recLJcUUTL1szyE8Z","recVHWlB26jWt9Ij9, reccxH7AESy9vvBPo, recbIfUESzC18eAIL","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:31:33.000Z,"recJ4vL5VemVMA5VN, recZzl80Pxwh2f6TC, recjIxKcwovfF1VuR, rechMscowZwnUBRGt",,"Curcumin (from turmeric) is anti-inflammatory and antioxidant, reducing joint pain, supporting mood, and metabolic health. Best absorbed with piperine/black pepper.","receYj9nbAEGPBxFl, recw2hqgZfllcjFso",,25,"recwtXkPSEQgyddmt, recierVNozpgZdLZH, recq0JX3QgFBo5mm4, recAdUWMgWMZS3qKI, recLJcUUTL1szyE8Z, recPiW3K4dhWi31Xh, recBA3iQ4lGJtC2nM","recVHWlB26jWt9Ij9, reccxH7AESy9vvBPo, recbIfUESzC18eAIL",,,"recUkIxIOnGBQsC1n, recAAuZFrdsqJW3yd",,recW8eoiiOpM0PwJ7,150,21,Supplement,2000,1000,1000-2000 mg,1,male_female,<>,Anti-inflammatory polyphenol from turmeric,"Take 1,000-2,000mg of Curcumin with meals daily for anti-inflammatory effects, antioxidant protection, brain health, and longevity pathways",With meals,SUP,recBxCQOAdMmOV1Hi,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SINGLE,"Take 1,000-2,000mg of Curcumin with meals daily for anti-inflammatory effects, antioxidant protection, brain health, and longevity pathways",Anti-inflammatory polyphenol from turmeric,SUP,019,Curcumin: Supplement
recjcAFH5st2aRDO0,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",SUP020-SINGLE,"recPiW3K4dhWi31Xh, receYj9nbAEGPBxFl, recw2hqgZfllcjFso, recDBJLAkc5CAfBm3, recL8dpnjNSzBJp2L, recZd7qSsYU2dqSw0","recVHWlB26jWt9Ij9, recyKRTIlX4Jux2W0, recoiAahhmbWcaNoa","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:31:37.000Z,"recuhRGoqAdM1CeF8, recye1PIDZNSe8b5U, rec4SmFL2GdVOlSlQ, rec6SOq5JXWnOvyKH",,"Alpha-lipoic acid is an antioxidant that may support glucose metabolism and nerve health, especially in diabetes.","receYj9nbAEGPBxFl, recw2hqgZfllcjFso",,20,"recPiW3K4dhWi31Xh, recZd7qSsYU2dqSw0, recL8dpnjNSzBJp2L, recDBJLAkc5CAfBm3","recVHWlB26jWt9Ij9, recyKRTIlX4Jux2W0, recoiAahhmbWcaNoa",,,"recierVNozpgZdLZH, recAdUWMgWMZS3qKI, recUkIxIOnGBQsC1n, recAAuZFrdsqJW3yd",,recfcEpB9HeiAaTmR,150,21,Supplement,1200,600,600-1200 mg,1,male_female,<>,Antioxidant for metabolic and neurological health,"Take 600-1,200mg of Alpha-Lipoic Acid on empty stomach daily for antioxidant protection, glucose metabolism, neuroprotection, and mitochondrial health",Empty stomach,SUP,recBxCQOAdMmOV1Hi,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SINGLE,"Take 600-1,200mg of Alpha-Lipoic Acid on empty stomach daily for antioxidant protection, glucose metabolism, neuroprotection, and mitochondrial health",Antioxidant for metabolic and neurological health,SUP,020,Alpha-Lipoic Acid: Supplement
recKNB8U7yjdesIaY,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",SUP021-SINGLE,"receYj9nbAEGPBxFl, recw2hqgZfllcjFso, recDBJLAkc5CAfBm3, recPiW3K4dhWi31Xh",,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:31:41.000Z,"recFQ42WZEgN3f2ad, recARnf0UAbHjKdXM, recHJRk5CkP0r2Z8M, recDBbUljCveQ3Fkm",,"Astaxanthin is a carotenoid antioxidant that may support skin, eye, and metabolic health. Human outcome evidence is limited.","receYj9nbAEGPBxFl, recw2hqgZfllcjFso",,20,"recPiW3K4dhWi31Xh, recDBJLAkc5CAfBm3",,,,"recierVNozpgZdLZH, recAdUWMgWMZS3qKI, recUkIxIOnGBQsC1n, recAAuZFrdsqJW3yd",,recIyuJ59M3dmzz2m,150,21,Supplement,24,8,8-24 mg,1,male_female,<>,Potent carotenoid antioxidant for eye/skin health,"Take 8-24mg of Astaxanthin with meals daily for powerful antioxidant protection, eye health, skin protection, and cardiovascular benefits",With meals,SUP,recBxCQOAdMmOV1Hi,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SINGLE,"Take 8-24mg of Astaxanthin with meals daily for powerful antioxidant protection, eye health, skin protection, and cardiovascular benefits",Potent carotenoid antioxidant for eye/skin health,SUP,021,Astaxanthin: Supplement
recJH0aBL1IvHnanZ,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",SUP022-SINGLE,"receYj9nbAEGPBxFl, recPiW3K4dhWi31Xh",,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:31:45.000Z,"recCeCFvuxsKWtuKQ, reciiD6NLX5kDO0oq, recAFagYc3JaYmpog, rec9cRiTfek7FNtol",,"Resveratrol, found in red wine, is linked to anti-inflammatory and metabolic benefits, but robust evidence in humans is limited.",receYj9nbAEGPBxFl,,20,recPiW3K4dhWi31Xh,,,,"recierVNozpgZdLZH, recAdUWMgWMZS3qKI, recUkIxIOnGBQsC1n, recAAuZFrdsqJW3yd",,recWJJi1sjsdwyYL8,150,21,Supplement,2000,500,500-2000 mg,1,male_female,<>,Polyphenol antioxidant for cardiovascular health,"Take 500-2,000mg of Resveratrol on empty stomach daily for cardiovascular health, longevity gene activation, anti-inflammatory effects, and neuroprotection",Empty stomach,SUP,recBxCQOAdMmOV1Hi,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SINGLE,"Take 500-2,000mg of Resveratrol on empty stomach daily for cardiovascular health, longevity gene activation, anti-inflammatory effects, and neuroprotection",Polyphenol antioxidant for cardiovascular health,SUP,022,Resveratrol: Supplement
recnToD6IHt3Ur7Nj,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",SUP023-STACK,,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:59:45.000Z,"rec3sb24qz5xilbj0, recqfKbgd9Tv5mTKy, recjmtOqcZXelHrt9, rec9T72prUKfRLEdv",,"Lutein and zeaxanthin are carotenoids that support retinal and eye health, especially in older adults or those at risk for macular degeneration.",,,20,,,"Take 10-20mg of Lutein and 2-4mg of Zeaxanthin with meals daily for complete macular protection, blue light defense, visual performance optimization, and age-related eye disease prevention","Synergistic carotenoid antioxidants that concentrate in the macula for comprehensive eye protection. Together they filter harmful blue light, protect against oxidative damage, and support visual performance and long-term eye health.","recierVNozpgZdLZH, recAdUWMgWMZS3qKI, recUkIxIOnGBQsC1n, recAAuZFrdsqJW3yd",,recZDoACtBHOhNjyS,150,21,Supplement,20,10,10-20 mg,1,male_female,<>,Carotenoid antioxidant for macular and eye health,"Take 10-20mg of Lutein with meals daily for macular protection, eye health, and blue light defense",With meals,SUP,recBxCQOAdMmOV1Hi,mg,recXHyDB13wRRncug,,,Supplement,4,2,2-4 mg,1,male_female,<>,With meals,SUP,recBxCQOAdMmOV1Hi,mg,,,,,,,,,,,,,,,STACK,"Take 10-20mg of Lutein and 2-4mg of Zeaxanthin with meals daily for complete macular protection, blue light defense, visual performance optimization, and age-related eye disease prevention","Synergistic carotenoid antioxidants that concentrate in the macula for comprehensive eye protection. Together they filter harmful blue light, protect against oxidative damage, and support visual performance and long-term eye health.",SUP,023,Lutein + Zeaxanthin Stack
