record_id,From field: source_calculated_metric,age_max,age_min,aggregation_period,baseline_consistency,binary_threshold,calc_metric_count,calculation_formula,calculation_type,categorical_filter_threshold,completion_based,composite_weighted_component_1,composite_weighted_component_2,composite_weighted_component_3,composite_weighted_component_4,constrained_weekly_allowance,created,created_by,custom_use_case,data_source_type,data_source_type_detail,description,first_term,gender,healthkit_data_type,healthkit_equivalent,identifier,intake_metrics_map,last_modified_by,last_modified_time,metric_count,minimum_frequency,name,pillar,proportional,proportional_frequency_hybrid,raw_identifier,required_interval_months,risk_level,screening_type,sleep_composite,sleep_composite_component_1,sleep_composite_component_2,source(s)_calculated_metric,source_metric(s),survey_question_map,target_value,time_filter_type,total_count,ui_display (from unit_identifier),unit_identifier,weekend_variance,weekly_elimination,zone_based
recjKCkbzkzu3Zy41,,,,daily,,,0,COUNT(mindful_eating_episode) WHERE DATE(datetime_combined) = target_date AND time between 10:31 and 16:00,count,,,,,,,,2025-09-14T15:29:25.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,single,tracked_only,Count of daily mindful eating practice episodes that occurred at lunch,,,wellpath,,daily_mindful_eating_episode_lunch_count,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T17:16:52.000Z,1,,Daily Mindful Eating: Lunch,recgGEypX3ghJay5R,,,mindful_eating_episode,,,,,,,,rec0yBwRZHjQDKI8w,,,lunch,1,Episodes,rec1ZZgOZq5zX0ECi,,,
recryCTgMZ3E2TQ1J,,,,daily,,,0,COUNT(mindful_eating_episode) WHERE DATE(datetime_combined) = target_date AND time between 16:01 and 24:00,count,,,,,,,,2025-09-14T15:29:26.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,single,tracked_only,Count of daily mindful eating practice episodes that occurred at dinner,,,wellpath,,daily_mindful_eating_episode_dinner_count,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T17:16:52.000Z,1,,Daily Mindful Eating: Dinner,recgGEypX3ghJay5R,,,mindful_eating_episode,,,,,,,,rec0yBwRZHjQDKI8w,,,dinner,1,Episodes,rec1ZZgOZq5zX0ECi,,,
recYiJzYAm3QkH9y9,,,,daily,,,0,COUNT(whole_food_meal) WHERE DATE(datetime_combined) = target_date,count,,,,,,,,2025-09-12T18:57:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,single,tracked_only,Number of meals consisting primarily of whole foods per day,,,wellpath,,daily_whole_food_meals_count,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T17:04:27.000Z,1,"recLD9AKRpHv8MRio, recEqSFc9tugpyqD5",Daily Whole Food Meals,recgGEypX3ghJay5R,,recZXI3wUwVhHJtiX,whole_food_meals,,,,,,,,recnQIsdQFp3wedHR,,,none,1,Meals,rec9OxY60mezaCp2J,,,
recP3CxAEVfjLlerO,,,,daily,,,0,COUNT(whole_food_meal) WHERE DATE(datetime_combined) = target_date AND time between 06:00 and 10:30,count,,,,,,,,2025-09-14T15:17:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,single,tracked_only,Count of daily whole food meals that were consumed for breakfast,,,wellpath,,daily_whole_food_meal_breakfast_count,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T17:16:52.000Z,1,,Daily Whole Food Meals: Breakfast,recgGEypX3ghJay5R,,,whole_food_meal,,,,,,,,recnQIsdQFp3wedHR,,,breakfast,1,Meals,rec9OxY60mezaCp2J,,,
recb56iG9mIphT8lA,,,,daily,,,0,COUNT(whole_food_meal) WHERE DATE(datetime_combined) = target_date AND time between 10:31 and 16:00,count,,,,,,,,2025-09-14T15:17:03.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,single,tracked_only,Count of daily whole food meals that were consumed for lunch,,,wellpath,,daily_whole_food_meal_lunch_count,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T17:16:52.000Z,1,,Daily Whole Food Meals: Lunch,recgGEypX3ghJay5R,,,whole_food_meal,,,,,,,,recnQIsdQFp3wedHR,,,lunch,1,Meals,rec9OxY60mezaCp2J,,,
recbsCAVwtKNgsDYv,,,,daily,,,0,COUNT(whole_food_meal) WHERE DATE(datetime_combined) = target_date AND time between 16:01 and 24:00,count,,,,,,,,2025-09-14T15:17:03.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,single,tracked_only,Count of daily whole food meals that were consumed for dinner,,,wellpath,,daily_whole_food_meal_dinner_count,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T17:16:52.000Z,1,,Daily Whole Food Meals: Dinner,recgGEypX3ghJay5R,,,whole_food_meal,,,,,,,,recnQIsdQFp3wedHR,,,dinner,1,Meals,rec9OxY60mezaCp2J,,,
rec3WXBXeF91098Gc,,,,daily,,,0,COUNT(takeout_delivery_meal) WHERE DATE(datetime_combined) = target_date,count,,,,,,,"rec7c88VWzUgZMx3c, recwVnILNqlDZ8xL5",2025-09-12T15:23:57.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,single,tracked_only,Number of takeout or delivery meals consumed per day,,,wellpath,,daily_takeout_delivery_meal_count,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T17:04:27.000Z,1,,Daily Takeout/Delivery Meals,recgGEypX3ghJay5R,,,takeout_delivery_meal,,,,,,,,recIXNrpx6Ku5QYSI,recB9bksOtUK6I6K5,,none,1,Meals,rec9OxY60mezaCp2J,,recSZbCWiHj6tRe3c,
recD4Y8yazQwqi57U,,,,daily,,,0,COUNT(takeout_delivery_meal) WHERE DATE(datetime_combined) = target_date AND time between 06:00 and 10:30,count,,,,,,,,2025-09-14T15:20:10.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,single,tracked_only,Number of takeout or delivery meals consumed per day for breakfast,,,wellpath,,daily_takeout_delivery_meal_breakfast_count,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T17:16:52.000Z,1,,Daily Takeout/Delivery Meals: Breakfast,recgGEypX3ghJay5R,,,takeout_delivery_meal,,,,,,,,recIXNrpx6Ku5QYSI,,,breakfast,1,Meals,rec9OxY60mezaCp2J,,,
recFkrVkLWVS674KK,,,,daily,,,0,COUNT(takeout_delivery_meal) WHERE DATE(datetime_combined) = target_date AND time between 10:31 and 16:00,count,,,,,,,,2025-09-14T15:20:11.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,single,tracked_only,Number of takeout or delivery meals consumed per day for lunch,,,wellpath,,daily_takeout_delivery_meal_lunch_count,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T17:16:52.000Z,1,,Daily Takeout/Delivery Meals: Lunch,recgGEypX3ghJay5R,,,takeout_delivery_meal,,,,,,,,recIXNrpx6Ku5QYSI,,,lunch,1,Meals,rec9OxY60mezaCp2J,,,
recofKP9v9uZrPBLw,,,,daily,,,0,COUNT(takeout_delivery_meal) WHERE DATE(datetime_combined) = target_date AND time between 16:01 and 24:00,count,,,,,,,,2025-09-14T15:20:11.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,single,tracked_only,Number of takeout or delivery meals consumed per day for dinner,,,wellpath,,daily_takeout_delivery_meal_dinner_count,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T17:16:52.000Z,1,,Daily Takeout/Delivery Meals: Dinner,recgGEypX3ghJay5R,,,takeout_delivery_meal,,,,,,,,recIXNrpx6Ku5QYSI,,,dinner,1,Meals,rec9OxY60mezaCp2J,,,
reczkGnRKXr1kt8GO,,,,daily,,,0,COUNT(plant_based_meal) WHERE DATE(datetime_combined) = target_date,count,,,,,,,,2025-09-12T15:24:04.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,single,tracked_only,Number of plant-based meals consumed per day,,,wellpath,,daily_plant_based_meal_count,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T17:04:27.000Z,1,"recSD2rhH8qPy3AMa, recy82LqRwPXyQNgP, rec4fGAMESXGyZkt7",Daily Plant Based Meal,recgGEypX3ghJay5R,,,plant_based_meal,,,,,,,,recyPHEwuVedxPxh6,,,none,1,Meals,rec9OxY60mezaCp2J,,,
recOCavZ1WHCXyUnE,,,,daily,,,0,COUNT(plant_based_meal) WHERE DATE(datetime_combined) = target_date AND time between 06:00 and 10:30,count,,,,,,,,2025-09-14T15:21:23.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,single,tracked_only,Number of plant-based meals consumed per day for breakfast,,,wellpath,,daily_plant_based_meal_breakfast_count,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T17:16:52.000Z,1,,Daily Plant Based Meals: Breakfast,recgGEypX3ghJay5R,,,plant_based_meal,,,,,,,,recyPHEwuVedxPxh6,,,breakfast,1,Meals,rec9OxY60mezaCp2J,,,
recSS7uhpgcZj6pPq,,,,daily,,,0,COUNT(plant_based_meal) WHERE DATE(datetime_combined) = target_date AND time between 10:31 and 16:00,count,,,,,,,,2025-09-14T15:21:23.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,single,tracked_only,Number of plant-based meals consumed per day for lunch,,,wellpath,,daily_plant_based_meal_lunch_count,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T17:16:52.000Z,1,,Daily Plant Based Meals: Lunch,recgGEypX3ghJay5R,,,plant_based_meal,,,,,,,,recyPHEwuVedxPxh6,,,lunch,1,Meals,rec9OxY60mezaCp2J,,,
reca3uTcKsyxmurqf,,,,daily,,,0,COUNT(plant_based_meal) WHERE DATE(datetime_combined) = target_date AND time between 16:01 and 24:00,count,,,,,,,,2025-09-14T15:21:23.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,single,tracked_only,Number of plant-based meals consumed per day for dinner,,,wellpath,,daily_plant_based_meal_dinner_count,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T17:16:52.000Z,1,,Daily Plant Based Meals: Dinner,recgGEypX3ghJay5R,,,plant_based_meal,,,,,,,,recyPHEwuVedxPxh6,,,dinner,1,Meals,rec9OxY60mezaCp2J,,,
rec2vrtjlYXnqlvpr,,,,daily,,,2,last_meal_time - first_meal_time,time_difference,,,,,,,,2025-09-12T19:00:27.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,multiple,calculated_only,"The total duration of the daily eating window, calculated from first meal time to last meal time",,,wellpath,,daily_eating_window_duration_time_difference,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T17:04:27.000Z,0,"rectWgPNzJ29KFNQV, recgWb2RPnFakG08M, receqilunCEHdpH2U",Eating Window Duration,recgGEypX3ghJay5R,,,eating_window_duration,,,,,,,"recLdjNNDgqCo8nvF, recxYTpaPnpi3YurX",,,,none,2,Hours,reckolm0WELYWYy5d,,,
rec39ViJ5ctW3CQJF,,,,daily,,,0,COUNT(snack_logged) WHERE DATE(datetime_combined) = target_date,count,,,,recKl9SuZUIJ1rfDB,,,,2025-09-12T15:15:04.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,single,tracked_only,Total number of snacks consumed per day,,,wellpath,,daily_snacks_count,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T17:04:27.000Z,1,,Daily Snacks,recgGEypX3ghJay5R,,,snacks,,,,,,,,rectFqhMxxcMQiOEd,recB3XpknCEyoZi3Y,2,none,1,Snacks,recO4L9TssiVxosxO,,,
