record_id,Created,Created By,ID,Last Modified,Last Modified By,calculation_target_value,calculation_type,challenges_v3,dependency_logic,dependency_tracked_metric,frequency,level_description (from linked_recommendations) (from challenges_v3),operator,scoring_frequency,scoring_minimum_frequency,scoring_target_value,scoring_target_value_2,scoring_type,target_quantity,target_value,times,tracked_metric,tracked_metric_unit,unit,weightage
recbLDFXSvkqBU5nm,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0013.2,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,"recnYj58LP4Ui0FM0, rec4LOTgPCJ0YPhBZ, recrY0DiKkor85Fly, recx85Gwz2UmEJv48, recEdtgbDDREGufoF",,,per week,"Reduce caffeine intake to ≤400mg per day on at least 5 days per week, Reduce caffeine intake to ≤400mg per day on at least 5 days per week, Reduce caffeine intake to ≤400mg per day on at least 5 days per week, Reduce caffeine intake to ≤400mg per day on at least 5 days per week, Reduce caffeine intake to ≤400mg per day on at least 5 days per week",<=,weekly,5 of 7 days,≤400mg,,binary_frequency,≤400mg x 5,400,5,reclDxNnJwcuQSYak,mg,mg,
recsjLwZnwyMUjeHh,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0014.2,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",frequency,sum,"recuvCvjdMQFVnZXv, recoOGWjGkoDrIo6f, recfRzSNaVbKtHxaT, recmfV7ChC3FSGHsI, recFa1dNOJ6VWrdVK",,,per week,"Limit intake of energy drinks, pre-workout, and high-caffeine sodas to no more than once per week, using coffee or tea as your primary source of caffeine, Limit intake of energy drinks, pre-workout, and high-caffeine sodas to no more than once per week, using coffee or tea as your primary source of caffeine, Limit intake of energy drinks, pre-workout, and high-caffeine sodas to no more than once per week, using coffee or tea as your primary source of caffeine, Limit intake of energy drinks, pre-workout, and high-caffeine sodas to no more than once per week, using coffee or tea as your primary source of caffeine, Limit intake of energy drinks, pre-workout, and high-caffeine sodas to no more than once per week, using coffee or tea as your primary source of caffeine",<=,weekly,weekly,≤1 per,,proportional_frequency,1 sources,1,1,rec6b386oYCSHnyVO,boolean,swap,
recMhuuMHSWDHnSiO,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0015.1,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,recent,"recXcOjUZ7WdHwa3V, recau2LzbjyyDbOdu, rec7JMUAd0o9Toh9T, recBtwWUukJC9wLVN, recsRsCQofK1zDmua",,,per week,"Finish all caffeinated beverages by 2pm on at least 2 days per week, Finish all caffeinated beverages by 2pm on at least 2 days per week, Finish all caffeinated beverages by 2pm on at least 2 days per week, Finish all caffeinated beverages by 2pm on at least 2 days per week, Finish all caffeinated beverages by 2pm on at least 2 days per week",<=,weekly,3 of 7 days,Last serving ≤2PM,,binary_frequency,last serving ≤2PM x 2,02:00:00,3,reccae2LNjsIz4uBu,timestamp,PM,
recxGfu2pFXOfHTVI,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0015.2,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,recent,"recWdN90Ic11QnWZ9, rec1cvwSm1yh1cmQY, recutmO93ed9Pqyza, recxspc0SYm5dqHcx, rectQDaMNRGPjFjvr",,,per week,"Finish all caffeinated beverages by 2pm on at least 5 days per week, Finish all caffeinated beverages by 2pm on at least 5 days per week, Finish all caffeinated beverages by 2pm on at least 5 days per week, Finish all caffeinated beverages by 2pm on at least 5 days per week, Finish all caffeinated beverages by 2pm on at least 5 days per week",<=,weekly,5 of 7 days,Last serving ≤2PM,,binary_frequency,last serving ≤2PM x 5,02:00:00,5,reccae2LNjsIz4uBu,timestamp,PM,
recp3ulWDFmyXd7av,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0016.2,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,"recyZrUwWo0fltLG1, rec5kZvUgkzRSg84A, reckOmdygVjlg7Ejb, recuRNb86x5UU6pWj, rec3UlVkugYQwsb54",,,per week,"Eat at least 3 meals per day on at least 5 days per week, Eat at least 3 meals per day on at least 5 days per week, Eat at least 3 meals per day on at least 5 days per week, Eat at least 3 meals per day on at least 5 days per week, Eat at least 3 meals per day on at least 5 days per week",>=,weekly,5 of 7 days,≥3 meals per day,,binary_frequency,≥ 3 meals x 5,3,5,recwG50znghbnB0TO,meals,meals,
recSoqK3EB7Hc3OIM,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0017.1-G1,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,recent,"rec3IuP34rchOdN5S, recMamxWlz5YdbopT, reczMLbeqoWk1jlwt, rec1vdlBPx5x7aXJJ, recLVqIN7MUOtYPz7",interval,recx1YaZabuU3zURf,per week,"On at least 2 days per week, keep all eating within a 10-hour window (e.g., finish dinner by 7pm, eat breakfast after 9am), On at least 2 days per week, keep all eating within a 10-hour window (e.g., finish dinner by 7pm, eat breakfast after 9am), On at least 2 days per week, keep all eating within a 10-hour window (e.g., finish dinner by 7pm, eat breakfast after 9am), On at least 2 days per week, keep all eating within a 10-hour window (e.g., finish dinner by 7pm, eat breakfast after 9am), On at least 2 days per week, keep all eating within a 10-hour window (e.g., finish dinner by 7pm, eat breakfast after 9am)",<=,weekly,2 of 7 days,≤10 hour eating window,,binary_frequency,≤10 hrs x 2,10,2,recVMr3DikpSr9pNN,timestamp,hour,
recNHAvWqRjSSAISW,2025-08-22T16:53:53.000Z,"{""id"": ""usrHQfgDi28DDluHj"", ""email"": ""akhlaq.ahmad@kiwitech.com"", ""name"": ""Akhlaq Ahmad""}",REC0017.1-G2,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,recent,"recSifEvT6LUFoMb9, rec2TjsDia1d0ZL1P, rec4xMJkqjgGXLOZN, rec6biyfNb9A4294j, recCKKuorxDWPORJB",interval,recVMr3DikpSr9pNN,per week,"On at least 2 days per week, keep all eating within a 10-hour window (e.g., finish dinner by 7pm, eat breakfast after 9am), On at least 2 days per week, keep all eating within a 10-hour window (e.g., finish dinner by 7pm, eat breakfast after 9am), On at least 2 days per week, keep all eating within a 10-hour window (e.g., finish dinner by 7pm, eat breakfast after 9am), On at least 2 days per week, keep all eating within a 10-hour window (e.g., finish dinner by 7pm, eat breakfast after 9am), On at least 2 days per week, keep all eating within a 10-hour window (e.g., finish dinner by 7pm, eat breakfast after 9am)",<=,weekly,2 of 7 days,≤10 hour eating window,,binary_frequency,≤10 hrs x 2,10,2,recx1YaZabuU3zURf,timestamp,hour,
recY970GnXnzx43PM,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0017.2-G1,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,recent,"recG8P3B6AhuhsSoh, recZVRvPF2Q0S6pL4, recCC8HjBpAjINLTw, rectzosnx1bsoNnFE, recp2sNzsPsPdEOms",interval,recx1YaZabuU3zURf,per week,"On at least 5 days per week, keep all eating within an 8-hour window (e.g., first meal at 10am, last meal by 6pm), On at least 5 days per week, keep all eating within an 8-hour window (e.g., first meal at 10am, last meal by 6pm), On at least 5 days per week, keep all eating within an 8-hour window (e.g., first meal at 10am, last meal by 6pm), On at least 5 days per week, keep all eating within an 8-hour window (e.g., first meal at 10am, last meal by 6pm), On at least 5 days per week, keep all eating within an 8-hour window (e.g., first meal at 10am, last meal by 6pm)",<=,weekly,5 of 7 days,≤8 hour eating window,,binary_frequency,≤8 hrs x 5,8,5,recVMr3DikpSr9pNN,timestamp,hour,
recvTRbQtx4pf9i6B,2025-08-24T08:52:39.000Z,"{""id"": ""usrHQfgDi28DDluHj"", ""email"": ""akhlaq.ahmad@kiwitech.com"", ""name"": ""Akhlaq Ahmad""}",REC0017.2-G2,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,recent,"recEgvAIFsi4FyQ1z, rec1DwaB8Vnu6drcn, recxjNFqs8HDxPp1s, recEDbXtUqmq17nL3, rec86aLFyBoNkDX9L",interval,recVMr3DikpSr9pNN,per week,"On at least 5 days per week, keep all eating within an 8-hour window (e.g., first meal at 10am, last meal by 6pm), On at least 5 days per week, keep all eating within an 8-hour window (e.g., first meal at 10am, last meal by 6pm), On at least 5 days per week, keep all eating within an 8-hour window (e.g., first meal at 10am, last meal by 6pm), On at least 5 days per week, keep all eating within an 8-hour window (e.g., first meal at 10am, last meal by 6pm), On at least 5 days per week, keep all eating within an 8-hour window (e.g., first meal at 10am, last meal by 6pm)",<=,weekly,5 of 7 days,≤8 hour eating window,,binary_frequency,≤8 hrs x 5,8,5,recx1YaZabuU3zURf,timestamp,hour,
recP32obtnwcoi1uS,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0018.1-G1,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,recent,"rec3kzUfSnymzObsA, recZxOYuB5JcqfBdI, recbsyO48EYDPTZUQ, rechTNAgQtc4GEpg6, rechxeRXdrmH6T0ME",wake_interval,recY75tn39AEXKwbl,per week,"Eat your first meal of the day within 2 hours of waking at least 3 times a week, Eat your first meal of the day within 2 hours of waking at least 3 times a week, Eat your first meal of the day within 2 hours of waking at least 3 times a week, Eat your first meal of the day within 2 hours of waking at least 3 times a week, Eat your first meal of the day within 2 hours of waking at least 3 times a week",<=,weekly,2 of 7 days,≤2 hours after waking,,binary_frequency,≥ 1 hour x 2,2,2,recx1YaZabuU3zURf,timestamp,hours,
recgmdYZIgEMOjA18,2025-08-24T08:48:06.000Z,"{""id"": ""usrHQfgDi28DDluHj"", ""email"": ""akhlaq.ahmad@kiwitech.com"", ""name"": ""Akhlaq Ahmad""}",REC0018.1-G2,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,recent,"recTUyerQZVlXanhB, recRRQFihRZlmjiff, recW959DWCFE1svHm, recS3skecEjRJ7lBv, rechcdYV9efeXBYP3",wake_interval,recx1YaZabuU3zURf,per week,"Eat your first meal of the day within 2 hours of waking at least 3 times a week, Eat your first meal of the day within 2 hours of waking at least 3 times a week, Eat your first meal of the day within 2 hours of waking at least 3 times a week, Eat your first meal of the day within 2 hours of waking at least 3 times a week, Eat your first meal of the day within 2 hours of waking at least 3 times a week",<=,weekly,2 of 7 days,≤2 hours after waking,,binary_frequency,≥ 1 hour x 2,2,2,recY75tn39AEXKwbl,hours,hours,
recewV5itZMZx2R2W,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0018.2-G1,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,recent,"rec14vtjy5YZHZX11, rec7QFbctSac6DNv6, recKnOMK1JUUVrnEO, recbBDibnPstaFG3P, recQyMXhZ8axnw7n7",wake_interval,recY75tn39AEXKwbl,per week,"Eat your first meal of the day within 2 hours after waking on at least 5 days per week, Eat your first meal of the day within 2 hours after waking on at least 5 days per week, Eat your first meal of the day within 2 hours after waking on at least 5 days per week, Eat your first meal of the day within 2 hours after waking on at least 5 days per week, Eat your first meal of the day within 2 hours after waking on at least 5 days per week",<=,weekly,5 of 7 days,≤2 hours after waking,,binary_frequency,≥ 2 hours x 5,2,5,recx1YaZabuU3zURf,timestamp,hours,
