record_id,created,created_by,description,id,last_modified,last_modified_by,min_engagement_seconds,pillars,title
rect68dX7EHj2UnZP,2025-10-08T16:44:59.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",What screenings you need and when,core-care-screenings,2025-10-08T17:08:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",30,recOT0nP41iwVDLKR,Age-Appropriate Health Screenings
rec1PPnq46e8ZOVJC,2025-10-08T16:45:00.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",The impact of alcohol and tobacco on wellness,core-care-substance,2025-10-08T17:08:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",30,recOT0nP41iwVDLKR,Understanding Substance Use and Health
reccFgKY7poexwewJ,2025-10-08T16:45:00.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Building a strong heart and healthy circulation,movement-cardio-benefits,2025-10-08T17:08:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",30,recp0marLNu65GGhd,Cardiovascular Exercise Essentials
recci7i8wGqUtnSSA,2025-10-08T16:45:00.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Incorporating activity into your routine,movement-daily-activity,2025-10-08T17:08:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",30,recp0marLNu65GGhd,The Power of Daily Movement
recXrJTgPYezW3zeS,2025-10-08T16:45:01.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Maintaining range of motion and preventing injury,movement-flexibility,2025-10-08T17:08:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",30,recp0marLNu65GGhd,Flexibility and Mobility Work
recaHOvho4dm0ShFU,2025-10-08T16:45:01.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Why resistance exercise is crucial,movement-strength-training,2025-10-08T17:08:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",30,recp0marLNu65GGhd,Strength Training for All Ages
reckbeflul8tSyBfN,2025-10-08T16:45:01.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Planning for nutritional success,nutrition-meal-planning,2025-10-08T17:08:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",30,recgGEypX3ghJay5R,Effective Meal Planning Strategies
recIHJiTkWFPGTXJq,2025-10-08T16:45:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Developing a healthy relationship with food,nutrition-mindful-eating,2025-10-08T17:08:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",30,recgGEypX3ghJay5R,Mindful Eating Practices
recOeBcjAHtpZeBwd,2025-10-08T16:45:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",How plants support optimal health,nutrition-plant-based,2025-10-08T17:08:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",30,recgGEypX3ghJay5R,Plant-Based Eating Benefits
reco2jVRaDpYPrB7o,2025-10-08T16:45:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Building a diet based on minimally processed foods,nutrition-whole-foods,2025-10-08T17:08:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",30,recgGEypX3ghJay5R,The Power of Whole Foods
rec9nGWmReSlmUgbV,2025-10-08T16:45:03.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Optimizing your natural sleep-wake cycle,sleep-circadian-rhythm,2025-10-08T17:08:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",30,rec6QXhDyyqwyuLdd,Understanding Your Circadian Rhythm
recgxnlpcOn54qmN7,2025-10-08T16:45:03.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Identifying and addressing sleep issues,sleep-disorders,2025-10-08T17:08:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",30,rec6QXhDyyqwyuLdd,Common Sleep Disorders and Solutions
reczp0uEQsRT9Kvbf,2025-10-08T16:45:03.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Creating the ideal sleep environment,sleep-hygiene-basics,2025-10-08T17:08:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",30,rec6QXhDyyqwyuLdd,Sleep Hygiene Fundamentals
rec3xCGX0bCGY6hIF,2025-10-08T16:45:04.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",How sleep repairs your body,sleep-recovery,2025-10-08T17:08:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",30,rec6QXhDyyqwyuLdd,Sleep and Physical Recovery
rec7Pl1lhUD8XHhTW,2025-10-08T16:45:04.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Breathing techniques to calm the nervous system,stress-breathing,2025-10-08T17:08:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",30,reclbVFCBWmPyvvhP,Breathwork for Stress Relief
recC7nuiIdZHVkYPY,2025-10-08T16:45:04.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Starting a meditation practice,stress-mindfulness,2025-10-08T17:08:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",30,reclbVFCBWmPyvvhP,Mindfulness and Meditation Basics
recZb3APlo364Fojc,2025-10-08T16:45:05.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Developing coping strategies for life challenges,stress-resilience,2025-10-08T17:08:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",30,reclbVFCBWmPyvvhP,Building Stress Resilience
recfZJ9c7tvVaDdtV,2025-10-08T16:45:05.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Reducing stress through better organization,stress-time-management,2025-10-08T17:08:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",30,reclbVFCBWmPyvvhP,Effective Time and Energy Management
