record_id,category,created,created_by,description,last_modified,last_modified_by,object,oura_identifier,subcategory,tracked_metrics,units_primary
recKgYYOeHXyJulyg,rec6ttHcg0to86SuQ,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Balance of heart rate variability indicating recovery,2025-06-11T21:41:00.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HRV Balance,hrv_balance,rechZrTChr7QaGthF,recBp4p7hx3cGOZFS,recQN6xgoi4432cV4
rec6RBahLVVnCdg4J,rec6ttHcg0to86SuQ,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Measure of how recovered the body is,2025-06-07T19:57:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Recovery Index,recovery_index,recIWYhvHgvdBhb4Q,,
recusxxeOBeV2akpL,rec6ttHcg0to86SuQ,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Balance between activity and recovery,2025-06-07T19:57:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Activity Balance,activity_balance,recIWYhvHgvdBhb4Q,,
recKFN0rS3dhONj7x,rec6ttHcg0to86SuQ,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Balance of recent sleep patterns,2025-06-07T19:57:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Sleep Balance,sleep_balance,recIWYhvHgvdBhb4Q,,
recfMCdlSmkY5mRqW,rec6ttHcg0to86SuQ,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Body temperature variation from baseline,2025-06-07T21:36:54.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Temperature Deviation,temperature_deviation,recpkTWdPhuy0Ginn,,recpPF7GBM8oVdBBs
recoP4Z4LrfPouFsa,rec6ttHcg0to86SuQ,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Long-term temperature deviation from personal average,2025-06-07T21:37:00.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Temperature Trend Deviation,temperature_trend_deviation,recpkTWdPhuy0Ginn,,recpPF7GBM8oVdBBs
rechI6L9pGyHdknt8,recF0AV8cgVasb0m3,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Score reflecting physical activity level,2025-06-07T20:12:32.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Activity Score,activity_score,recE1Di8duQxeuPGv,,
recyH1DYgKqTxxInF,recF0AV8cgVasb0m3,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Number of steps taken during the day,2025-06-11T18:59:01.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Total Steps,steps,rec9y6uZO3IqnzLxB,recNlALYqbdTE9AfY,recrG6e9x5tzQHXJc
rec6L5wdZY9x1IkiT,recF0AV8cgVasb0m3,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Calories burned through active movement,2025-06-07T21:37:08.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Active Calories Burned,cal_active,recE1Di8duQxeuPGv,,recanDYikTx5CjDwp
recmarsbNEssqx1RB,recF0AV8cgVasb0m3,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Total calories burned including resting,2025-06-07T21:37:10.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Total Calories Burned,cal_total,recE1Di8duQxeuPGv,,recanDYikTx5CjDwp
recSdjPViB5M5zlFp,recF0AV8cgVasb0m3,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Time spent being physically active,2025-06-07T21:37:14.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Daily Movement Time,daily_movement,recE1Di8duQxeuPGv,,rec9x2cf6XhNVKYNn
recS4i5N3CwrUIC5y,recF0AV8cgVasb0m3,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Time spent in high metabolic equivalent tasks,2025-06-11T18:59:37.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",High MET Minutes,met_min_high,recE1Di8duQxeuPGv,"rec1MrcLLaRhmGBR2, rec6ECEJg5nhl0x6y",recLLePuLIEkXPYeG
recb4HB8yw73fCjKJ,recF0AV8cgVasb0m3,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Time spent in moderate metabolic equivalent tasks,2025-06-11T18:59:37.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Medium MET Minutes,met_min_medium,recE1Di8duQxeuPGv,"recV6TvniDSNrmCPt, rec1MrcLLaRhmGBR2",recLLePuLIEkXPYeG
recbBV0dYmJWzfs8P,recF0AV8cgVasb0m3,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Number of inactivity alerts triggered,2025-06-07T19:57:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Inactivity Alerts,inactivity_alerts,recQQ3ZMHfdTKubTa,,
recpB2syt15mJliUu,recF0AV8cgVasb0m3,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Total time spent inactive,2025-06-11T21:42:50.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Inactive Time,rest_time,recE1Di8duQxeuPGv,"rechN97Dq5ALu3FI9, reclDVu1Iv6feixC3",rec9x2cf6XhNVKYNn
recfkrBi58RhpTCcu,recF0AV8cgVasb0m3,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Time allocated to physical recovery,2025-06-07T21:37:45.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Recovery Time,recovery_time,recpYYcgieUGcxV2t,,rec9x2cf6XhNVKYNn
recIzZHt5Xgmp7Pyr,recF0AV8cgVasb0m3,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Daily calorie goal,2025-06-07T21:37:48.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Target Calories,target_calories,recE1Di8duQxeuPGv,,recanDYikTx5CjDwp
recTIAsxgFo1B40ER,recF0AV8cgVasb0m3,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Frequency of training days over recent period,2025-06-11T21:43:48.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Training Frequency,training_frequency,recE1Di8duQxeuPGv,"reclY9BPepnZQSiDm, recx84UE6rhr6jUuq, recl2iT9ZsTmqtIV6",rec1o073Lc083J0rm
reclVWHdxfnCfDqLf,recF0AV8cgVasb0m3,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Amount of physical exertion over recent period,2025-06-11T18:59:37.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Training Volume,training_volume,recE1Di8duQxeuPGv,"rec1MrcLLaRhmGBR2, rec6ECEJg5nhl0x6y",
recdRU2jVVyTTaqB8,recF0AV8cgVasb0m3,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Time during which device was not worn,2025-06-07T21:38:01.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Non-Wear Time,non_wear_time,recGcZqAYY6HTsueN,,recJrNIL5Ft3i4FRT
recuREH9qFfbnUCqM,recj801pWqAS4w9HG,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Current skin temperature,2025-06-07T21:38:04.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Skin Temperature,temperature,recpkTWdPhuy0Ginn,,recpPF7GBM8oVdBBs
recXuOIW3NxWt6aGF,recj801pWqAS4w9HG,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Skin temperature deviation from personal baseline,2025-06-07T21:38:08.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Temperature Deviation,temperature_deviation,recpkTWdPhuy0Ginn,,recpPF7GBM8oVdBBs
recXFWT3h7qXQ6WdI,rec08TxzIKlejwEgM,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Average heart rate for the day or sleep period,2025-06-07T21:38:13.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Average HR (Daily or Sleep),hr_average,recZO4fCiocrvFBbz,,recYXpdHEr2ssGfnV
recSIY3GMU62FGAF9,rec08TxzIKlejwEgM,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Lowest recorded heart rate,2025-06-07T21:38:15.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Lowest HR (Daily or Sleep),hr_lowest,recZO4fCiocrvFBbz,,recYXpdHEr2ssGfnV
recoyQfXzneLwoUDT,rec08TxzIKlejwEgM,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Heart rate variability as standard deviation of intervals,2025-06-11T21:41:03.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HRV (SDNN),hrv_score,rechZrTChr7QaGthF,recBp4p7hx3cGOZFS,recQN6xgoi4432cV4
