config_id,id_start,recommendations_v2,Title (from recommendations_v2),level_description (from recommendations_v2),config_name,scoring_method,formula,schema_evaluation_period,schema_calculation_method,schema_tracked_metrics,units (from schema_tracked_metrics),ui_display (from units) (from schema_tracked_metrics),schema_calculated_metrics_1,unit_identifier_1,ui_display (from unit_identifier) (from schema_calculated_metrics),schema_daily_comparison,schema_daily_threshold,schema_units,schema_required_days,schema_total_days,schema_progress_direction,schema_daily_limit,last_modified
REC0021.1-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0021.1,Daily Whole Food Meals,"Make at least 1 meal per day a whole-food meal (unprocessed/minimally processed ingredients), 2+ days/week",Minimum Frequency - whole food meals 1 meal 2 days/week,minimum_frequency,100 if days_meeting_threshold >= required_days else 0,weekly_minimum_frequency,daily_threshold_frequency_count,whole_food_meal,meal,Meals,daily_whole_food_meals_count,meal,Meals,>=,1.00,meal,1,7,buildup,,9/26/2025 2:43pm
REC0021.3-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0021.3,Daily Whole Food Meals,"Make all meals whole-food based, at least 5 days per week",Minimum Frequency - all whole food meals 5 days/week,minimum_frequency,average ratio score on at least 5 days with partial credit,weekly_minimum_frequency,daily_threshold_frequency_count,whole_food_meal,meal,Meals,daily_whole_food_meals_count,meal,Meals,>=,1.00,meal,5,7,buildup,,9/26/2025 2:43pm
REC0022.1-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0022.1,Daily Ultra-Processed Foods,"Limit ultra-processed foods to 1 serving per day or less, on at least 2 days per week",Minimum Frequency - ultra-processed foods 1 serving 2 days/week,minimum_frequency,100 if days_meeting_threshold >= required_days else 0,weekly_minimum_frequency,daily_threshold_frequency_count,ultraprocessed_food_serving,serving,Servings,daily_ultraprocessed_food_servings_sum,serving,Servings,<=,1.00,serving,2,7,countdown,,9/26/2025 2:43pm
REC0022.2-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0022.2,Daily Ultra-Processed Foods,"Limit ultra-processed foods to 1 serving per day or less, on at least 5 days per week",Minimum Frequency - ultra-processed foods 1 serving 5 days/week,minimum_frequency,100 if days_meeting_threshold >= required_days else 0,weekly_minimum_frequency,daily_threshold_frequency_count,ultraprocessed_food_serving,serving,Servings,daily_ultraprocessed_food_servings_sum,serving,Servings,<=,1.00,serving,5,7,countdown,,9/26/2025 2:43pm
REC0024.1-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0024.1,Daily Plant-Based Meals,"Make at least 1 meal per day plant-based, on at least 2 days per week",Minimum Frequency - daily_plant_based_meal,minimum_frequency,if (qualifying_days >= required_days) then 100 else (qualifying_days/required_days)*100,weekly,frequency_count,plant_based_meal,meal,Meals,daily_plant_based_meal_count,meal,Meals,>=,1.00,meal,2,7,buildup,,9/26/2025 2:43pm
REC0024.2-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0024.2,Daily Plant-Based Meals,"Make at least 1 meal per day plant-based, on at least 5 days per week",Minimum Frequency - daily_plant_based_meal,minimum_frequency,if (qualifying_days >= required_days) then 100 else (qualifying_days/required_days)*100,weekly,frequency_count,plant_based_meal,meal,Meals,daily_plant_based_meal_count,meal,Meals,>=,1.00,meal,5,7,buildup,,9/26/2025 2:43pm
REC0024.3-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0024.3,Daily Plant-Based Meals,"Make at least 2 meals per day plant-based, every day of the week",Minimum Frequency - daily_plant_based_meal,minimum_frequency,if (qualifying_days >= required_days) then 100 else (qualifying_days/required_days)*100,weekly,frequency_count,plant_based_meal,meal,Meals,daily_plant_based_meal_count,meal,Meals,>=,2.00,meal,7,7,buildup,,9/26/2025 2:43pm
REC0029.1-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0029.1,HIIT Sessions,Complete at least 1 HIIT session per week,Minimum Frequency - hiit_sessions,minimum_frequency,if (qualifying_days >= required_days) then 100 else 0,weekly,frequency_count,hiit_session_start_time,minutes_since_midnight,Time of Day,daily_hiit_sessions_count,session,Sessions,>=,1.00,session,1,7,buildup,1,9/26/2025 2:43pm
REC0029.2-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0029.2,HIIT Sessions,Complete at least 2 HIIT sessions per week,Minimum Frequency - hiit_sessions,minimum_frequency,if (qualifying_days >= required_days) then 100 else 0,weekly,frequency_count,hiit_session_start_time,minutes_since_midnight,Time of Day,daily_hiit_sessions_count,session,Sessions,>=,1.00,session,2,7,buildup,1,9/26/2025 2:43pm
REC0029.3-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0029.3,HIIT Sessions,Complete at least 3 HIIT sessions per week,Minimum Frequency - hiit_sessions,minimum_frequency,if (qualifying_days >= required_days) then 100 else 0,weekly,frequency_count,hiit_session_start_time,minutes_since_midnight,Time of Day,daily_hiit_sessions_count,session,Sessions,>=,1.00,session,3,7,buildup,1,9/26/2025 2:43pm
REC0033.1-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0033.1,Weekly Mobility Sessions,Get started: Complete at least 2 mobility sessions per week,Minimum Frequency - daily_mobility_sessions,minimum_frequency,if (qualifying_days >= required_days) then 100 else 0,weekly,frequency_count,mobility_session_start_time,minutes_since_midnight,Time of Day,daily_mobility_sessions_count,session,Sessions,>=,1.00,session,2,7,buildup,1,9/26/2025 2:43pm
REC0033.2-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0033.2,Weekly Mobility Sessions,Progress: Complete at least 4 mobility sessions per week,Minimum Frequency - daily_mobility_sessions,minimum_frequency,if (qualifying_days >= required_days) then 100 else 0,weekly,frequency_count,mobility_session_start_time,minutes_since_midnight,Time of Day,daily_mobility_sessions_count,session,Sessions,>=,1.00,session,4,7,buildup,1,9/26/2025 2:43pm
REC0033.3-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0033.3,Weekly Mobility Sessions,Daily routine: Practice daily mobility (6+ sessions/week),Minimum Frequency - daily_mobility_sessions,minimum_frequency,if (qualifying_days >= required_days) then 100 else 0,weekly,frequency_count,mobility_session_start_time,minutes_since_midnight,Time of Day,daily_mobility_sessions_count,session,Sessions,>=,1.00,session,6,7,buildup,1,9/26/2025 2:43pm
REC0041.1-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0041.1,Daily Early Morning Natural Light Exposure,Get outside for at least 5 minutes of morning light at least 5 days throughout the week,Minimum Frequency - sunlight_exposure,minimum_frequency,100 if days_meeting_threshold >= required_days else (days_meeting_threshold / required_days) * 100,weekly,daily_threshold_count,sunlight_exposure_start_time,minutes_since_midnight,Time of Day,daily_early_morning_light_exposure_duration_sum,minutes,Minutes,>=,5.00,minutes,5,7,buildup,,9/26/2025 2:43pm
REC0042.1-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0042.1,Large Meals ≤3 Hours Before Bed,Avoid large meals within 2 hours of bedtime at least 4 nights/week,Minimum Frequency - last large meal 2+ hours before bed 4 days/week,minimum_frequency,100 if days_meeting_threshold >= required_days else (days_meeting_threshold / required_days) * 100,weekly,daily_threshold_count,"large_meal,sleep_time","meal,minutes_since_midnight","Meals, Time of Day",daily_last_large_meal_buffer_time_difference,hours,Hours,>=,2.00,hours,4,7,measurement,,9/26/2025 2:43pm
REC0042.2-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0042.2,Large Meals ≤3 Hours Before Bed,Avoid large meals within 3 hours of bedtime on most nights,Minimum Frequency - last large meal 3+ hours before bed 5 days/week,minimum_frequency,100 if days_meeting_threshold >= required_days else (days_meeting_threshold / required_days) * 100,weekly,daily_threshold_count,"large_meal,sleep_time","meal,minutes_since_midnight","Meals, Time of Day",daily_last_large_meal_buffer_time_difference,hours,Hours,>=,3.00,hours,5,7,measurement,,9/26/2025 2:43pm
REC0042.3-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0042.3,Large Meals ≤3 Hours Before Bed,"No large meals within 3 hours of bedtime, every night",Minimum Frequency - last large meal 3+ hours before bed 7 days/week,minimum_frequency,100 if days_meeting_threshold >= required_days else (days_meeting_threshold / required_days) * 100,weekly,daily_threshold_count,"large_meal,sleep_time","meal,minutes_since_midnight","Meals, Time of Day",daily_last_large_meal_buffer_time_difference,hours,Hours,>=,3.00,hours,7,7,measurement,,9/26/2025 2:43pm
REC0043.1-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0043.1,Food Intake ≤2 Hours Before Bed,Avoid food within 1 hour of bedtime at least 4 nights/week,Minimum Frequency - last meal 1+ hours before bed 4 days/week,minimum_frequency,100 if days_meeting_threshold >= required_days else (days_meeting_threshold / required_days) * 100,weekly,daily_threshold_count,"meal_logged,snack_logged,large_meal,sleep_time","meal,snack,meal,minutes_since_midnight","Meals, Snacks, Meals, Time of Day",daily_last_meal_buffer_time_difference,hours,Hours,>=,1.00,hours,4,7,measurement,,9/26/2025 2:43pm
REC0043.2-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0043.2,Food Intake ≤2 Hours Before Bed,Avoid food within 2 hours of bedtime on most nights,Minimum Frequency - last meal 2+ hours before bed 5 days/week,minimum_frequency,100 if days_meeting_threshold >= required_days else (days_meeting_threshold / required_days) * 100,weekly,daily_threshold_count,"meal_logged,snack_logged,large_meal,sleep_time","meal,snack,meal,minutes_since_midnight","Meals, Snacks, Meals, Time of Day",daily_last_meal_buffer_time_difference,hours,Hours,>=,2.00,hours,5,7,measurement,,9/26/2025 2:43pm
REC0043.3-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0043.3,Food Intake ≤2 Hours Before Bed,"No food intake within 2 hours of bedtime, every night",Minimum Frequency - last meal 2+ hours before bed 7 days/week,minimum_frequency,100 if days_meeting_threshold >= required_days else (days_meeting_threshold / required_days) * 100,weekly,daily_threshold_count,"meal_logged,snack_logged,large_meal,sleep_time","meal,snack,meal,minutes_since_midnight","Meals, Snacks, Meals, Time of Day",daily_last_meal_buffer_time_difference,hours,Hours,>=,2.00,hours,7,7,measurement,,9/26/2025 2:43pm
REC0044.1-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0044.1,Alcohol Intake ≤3-4 Hours Before Bed,No alcohol within 2 hours of bedtime on at least 4 nights/week,Minimum Frequency - last alcoholic drink 2+ hours before bed 4 days/week,minimum_frequency,100 if days_meeting_threshold >= required_days else (days_meeting_threshold / required_days) * 100,weekly,daily_threshold_count,"alcoholic_drink,sleep_time","drink,minutes_since_midnight","Drinks, Time of Day",daily_last_alcoholic_drink_buffer_time_difference,hours,Hours,>=,2.00,hours,4,7,measurement,,9/26/2025 2:43pm
REC0044.2-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0044.2,Alcohol Intake ≤3-4 Hours Before Bed,No alcohol within 3 hours of bedtime on most nights,Minimum Frequency - last alcoholic drink 3+ hours before bed 5 days/week,minimum_frequency,100 if days_meeting_threshold >= required_days else (days_meeting_threshold / required_days) * 100,weekly,daily_threshold_count,"alcoholic_drink,sleep_time","drink,minutes_since_midnight","Drinks, Time of Day",daily_last_alcoholic_drink_buffer_time_difference,hours,Hours,>=,3.00,hours,5,7,measurement,,9/26/2025 2:43pm
REC0044.3-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0044.3,Alcohol Intake ≤3-4 Hours Before Bed,"No alcohol within 4 hours of bedtime, every night",Minimum Frequency - last alcoholic drink 4+ hours before bed 7 days/week,minimum_frequency,100 if days_meeting_threshold >= required_days else (days_meeting_threshold / required_days) * 100,weekly,daily_threshold_count,"alcoholic_drink,sleep_time","drink,minutes_since_midnight","Drinks, Time of Day",daily_last_alcoholic_drink_buffer_time_difference,hours,Hours,>=,4.00,hours,7,7,measurement,,9/26/2025 2:43pm
REC0045.1-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0045.1,Digital Device Time ≤2 Hours Before Bed,"Avoid screens within 30 minutes of bedtime, 4+ nights/week",Minimum Frequency - screen_time_buffer 30+ minutes before bed 4 nights/week,minimum_frequency,100 if days_meeting_threshold >= required_days else (days_meeting_threshold / required_days) * 100,weekly,daily_threshold_count,"screen_time_session_start_time,sleep_time","minutes_since_midnight,minutes_since_midnight","Time of Day, Time of Day",daily_screen_time_buffer_time_difference,hours,Hours,>=,0.50,hours,4,7,measurement,,9/26/2025 2:43pm
REC0045.2-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0045.2,Digital Device Time ≤2 Hours Before Bed,No screens within 60 of bedtime on most nights,Minimum Frequency - screen_time_buffer 60+ minutes before bed 5 nights/week,minimum_frequency,100 if days_meeting_threshold >= required_days else (days_meeting_threshold / required_days) * 100,weekly,daily_threshold_count,"screen_time_session_start_time,sleep_time","minutes_since_midnight,minutes_since_midnight","Time of Day, Time of Day",daily_screen_time_buffer_time_difference,hours,Hours,>=,1.00,hours,5,7,measurement,,9/26/2025 2:43pm
REC0045.3-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0045.3,Digital Device Time ≤2 Hours Before Bed,"No digital device time within 75 minutes of bedtime, every night",Minimum Frequency - screen time buffer 75+ minutes before bed 7 days/week,minimum_frequency,100 if days_meeting_threshold >= required_days else (days_meeting_threshold / required_days) * 100,weekly,daily_threshold_count,"screen_time_session_start_time,sleep_time","minutes_since_midnight,minutes_since_midnight","Time of Day, Time of Day",daily_screen_time_buffer_time_difference,hours,Hours,>=,1.25,hours,7,7,measurement,,9/26/2025 2:43pm
REC0046.1-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0046.1,Breathwork or Mindfulness Sessions,Incorporate a breathwork or mindfulness break at least twice a day,Minimum Frequency - breathwork/mindfulness 2 minutes daily,minimum_frequency,100 if days_meeting_threshold >= required_days else (days_meeting_threshold / required_days) * 100,weekly,daily_threshold_count,"breathwork_session_start_time,mindfulness_session_start_time","minutes_since_midnight,minutes_since_midnight","Time of Day, Time of Day",daily_breathwork_mindfulness_sessions_sum,session,Sessions,>=,2.00,session,7,7,buildup,,9/26/2025 2:43pm
REC0046.2-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0046.2,Breathwork or Mindfulness Sessions,Incorporate a breathwork or mindfulness break three or more times a day,Minimum Frequency - breathwork/mindfulness 6 minutes daily,minimum_frequency,100 if days_meeting_threshold >= required_days else (days_meeting_threshold / required_days) * 100,weekly,daily_threshold_count,"breathwork_session_start_time,mindfulness_session_start_time","minutes_since_midnight,minutes_since_midnight","Time of Day, Time of Day",daily_breathwork_mindfulness_sessions_sum,session,Sessions,>=,3.00,session,7,7,buildup,,9/26/2025 2:43pm
REC0048.1-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0048.1,Gratitude Practice,Practice gratitude once per week,Minimum Frequency - gratitude_practice_session,minimum_frequency,100 if days_meeting_threshold >= required_days else (days_meeting_threshold / required_days) * 100,weekly,daily_threshold_count,gratitude_practice_session_start_time,minutes_since_midnight,Time of Day,daily_gratitude_sessions_count,session,Sessions,>=,1.00,session,1,7,buildup,2,9/26/2025 2:43pm
REC0048.2-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0048.2,Gratitude Practice,Practice gratitude three times per week,Minimum Frequency - gratitude_practice_session,minimum_frequency,100 if days_meeting_threshold >= required_days else (days_meeting_threshold / required_days) * 100,weekly,daily_threshold_count,gratitude_practice_session_start_time,minutes_since_midnight,Time of Day,daily_gratitude_sessions_count,session,Sessions,>=,1.00,session,3,7,buildup,2,9/26/2025 2:43pm
REC0049.1-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0049.1,Journaling or Reflection Sessions,Journal or reflect once per week,Minimum Frequency - journaling_session,minimum_frequency,100 if days_meeting_threshold >= required_days else (days_meeting_threshold / required_days) * 100,weekly,daily_threshold_count,journaling_session_start_time,minutes_since_midnight,Time of Day,daily_journaling_sessions_count,session,Sessions,>=,1.00,session,1,7,buildup,2,9/26/2025 2:43pm
REC0049.2-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0049.2,Journaling or Reflection Sessions,Journal or reflect three times per week,Minimum Frequency - journaling_session,minimum_frequency,100 if days_meeting_threshold >= required_days else (days_meeting_threshold / required_days) * 100,weekly,daily_threshold_count,journaling_session_start_time,minutes_since_midnight,Time of Day,daily_journaling_sessions_count,session,Sessions,>=,1.00,session,3,7,buildup,2,9/26/2025 2:43pm
REC0053.1-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0053.1,Brain Training Activity (minutes),"Engage in brain training for 10 minutes, 2x per week",Minimum Frequency - brain_training_session,minimum_frequency,100 if days_meeting_threshold >= required_days else (days_meeting_threshold / required_days) * 100,weekly,daily_threshold_count,brain_training_session_start_time,minutes_since_midnight,Time of Day,daily_brain_training_duration_sum,minutes,Minutes,>=,10.00,minutes,2,7,buildup,,9/26/2025 2:43pm
REC0053.2-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0053.2,Brain Training Activity (minutes),"Engage in brain training for 15 minutes, 3x per week",Minimum Frequency - brain_training_session,minimum_frequency,100 if days_meeting_threshold >= required_days else (days_meeting_threshold / required_days) * 100,weekly,daily_threshold_count,brain_training_session_start_time,minutes_since_midnight,Time of Day,daily_brain_training_duration_sum,minutes,Minutes,>=,15.00,minutes,3,7,buildup,,9/26/2025 2:43pm
REC0053.3-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0053.3,Brain Training Activity (minutes),"Engage in brain training for 20 minutes, 5x per week",Minimum Frequency - brain_training_session,minimum_frequency,100 if days_meeting_threshold >= required_days else (days_meeting_threshold / required_days) * 100,weekly,daily_threshold_count,brain_training_session_start_time,minutes_since_midnight,Time of Day,daily_brain_training_duration_sum,minutes,Minutes,>=,20.00,minutes,5,7,buildup,,9/26/2025 2:43pm
REC0055.3-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0055.3,Daily Smoking (cigarettes),Eliminate cigarette use,Minimum Frequency - 0 cigarettes 7 days/week,minimum_frequency,100 if days_meeting_threshold >= required_days else (days_meeting_threshold / required_days) * 100,weekly,daily_threshold_count,cigarette,cigarette,Cigarettes,daily_cigarettes_count,cigarette,Cigarettes,<=,0.00,cigarette,7,7,countdown,,9/26/2025 2:43pm
REC0057.1-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0057.1,Daily Flossing,Floss at least 3 times per week,Minimum Frequency - flossing_session,minimum_frequency,100 if days_meeting_threshold >= required_days else (days_meeting_threshold / required_days) * 100,weekly,daily_threshold_count,flossing_session,session,Sessions,daily_flossing_sessions_count,session,Sessions,>=,1.00,session,3,7,buildup,2,9/26/2025 2:43pm
REC0057.2-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0057.2,Daily Flossing,Floss on at least 5 days per week,Minimum Frequency - flossing_session,minimum_frequency,100 if days_meeting_threshold >= required_days else (days_meeting_threshold / required_days) * 100,weekly,daily_threshold_count,flossing_session,session,Sessions,daily_flossing_sessions_count,session,Sessions,>=,1.00,session,5,7,buildup,2,9/26/2025 2:43pm
REC0058.1-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0058.1,Daily Skincare Routine,Follow a skincare routine 3 days/week,Minimum Frequency - skincare_routine,minimum_frequency,100 if days_meeting_threshold >= required_days else (days_meeting_threshold / required_days) * 100,weekly,daily_threshold_count,skincare_routine,session,Sessions,,,,>=,1.00,session,3,7,buildup,,9/26/2025 2:43pm
REC0058.2-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0058.2,Daily Skincare Routine,Maintain a skincare routine 5 days/week,Minimum Frequency - skincare_routine,minimum_frequency,100 if days_meeting_threshold >= required_days else (days_meeting_threshold / required_days) * 100,weekly,daily_threshold_count,skincare_routine,session,Sessions,,,,>=,1.00,session,5,7,buildup,,9/26/2025 2:43pm
