ID,Title,therapeutic_summary,therapeutic_recommendation,stack_summary,stack_recommendation,therapeutic_type_ref_#,option_count,therapeutic_count,therapeutic_type,therapeutic_1,therapeutic_1_overview,therapeutic_1_recommendation,therapeutic_1_type,therapeutic_1_category,therapeutic_1_operator,therapeutic_1_dose_min,therapeutic_1_dose_max,therapeutic_1_unit,therapeutic_1_unit_symbol,therapeutic_1_dose_rollup,therapeutic_1_frequency_days,therapeutic_1_timing,therapeutic_1_linked_evidence,therapeutic_1_age_min,therapeutic_1_age_max,therapeutic_1_gender,therapeutic_2,therapeutic_2_type,therapeutic_2_category,therapeutic_2_operator,therapeutic_2_dose_min,therapeutic_2_dose_max,therapeutic_2_unit,therapeutic_2_unit_symbol,therapeutic_2_dose_rollup,therapeutic_2_frequency_days,therapeutic_2_timing,therapeutic_2_linked_evidence,therapeutic_2_age_min,therapeutic_2_age_max,therapeutic_2_gender,therapeutic_3,therapeutic_3_type,therapeutic_3_category,therapeutic_3_operator,therapeutic_3_dose_min,therapeutic_3_dose_max,therapeutic_3_unit,therapeutic_3_unit_symbol,therapeutic_3_dose_rollup,therapeutic_3_frequency_days,therapeutic_3_timing,therapeutic_3_linked_evidence,therapeutic_3_age_min,therapeutic_3_age_max,therapeutic_3_gender,Linked Evidence,Last Modified,Last Modified By,record_id
SUP023-STACK,Lutein + Zeaxanthin Stack,"Synergistic carotenoid antioxidants that concentrate in the macula for comprehensive eye protection. Together they filter harmful blue light, protect against oxidative damage, and support visual performance and long-term eye health.","Take 10-20mg of Lutein and 2-4mg of Zeaxanthin with meals daily for complete macular protection, blue light defense, visual performance optimization, and age-related eye disease prevention","Synergistic carotenoid antioxidants that concentrate in the macula for comprehensive eye protection. Together they filter harmful blue light, protect against oxidative damage, and support visual performance and long-term eye health.","Take 10-20mg of Lutein and 2-4mg of Zeaxanthin with meals daily for complete macular protection, blue light defense, visual performance optimization, and age-related eye disease prevention",023,,STACK,SUP,Lutein,Carotenoid antioxidant for macular and eye health,"Take 10-20mg of Lutein with meals daily for macular protection, eye health, and blue light defense",SUP,Supplement,<>,10.0,20.0,milligram,mg,10-20 mg,1.0,With meals,,21.0,150.0,male_female,Zeaxanthin,SUP,Supplement,<>,2.0,4.0,milligram,mg,2-4 mg,1.0,With meals,,,,male_female,,,,,,,,,,,,,,,,"LI314,LI315,LI316,LI317",9/27/2025 10:59am,Keegan Dolan,recnToD6IHt3Ur7Nj
SUP024-SINGLE,Ashwagandha: Supplement,Adaptogenic herb for stress and cortisol management,"Take 600-1,200mg of Ashwagandha with meals daily for stress reduction, cortisol management, sleep quality, and adaptogenic benefits",,,024,,SINGLE,SUP,Ashwagandha,Adaptogenic herb for stress and cortisol management,"Take 600-1,200mg of Ashwagandha with meals daily for stress reduction, cortisol management, sleep quality, and adaptogenic benefits",SUP,Supplement,<>,600.0,1200.0,milligram,mg,600-1200 mg,1.0,With meals,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:32am,Keegan Dolan,recuuog4s8LUmqwum
SUP025-SINGLE,Vitamin K2: Supplement,Fat-soluble vitamin for bone and cardiovascular health,"Take 100-200mcg of Vitamin K2 with meals daily for bone health, cardiovascular protection, and calcium metabolism optimization",,,025,,SINGLE,SUP,Vitamin K2,Fat-soluble vitamin for bone and cardiovascular health,"Take 100-200mcg of Vitamin K2 with meals daily for bone health, cardiovascular protection, and calcium metabolism optimization",SUP,Supplement,<>,100.0,200.0,microgram,µg,100-200 µg,1.0,With meals,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LI318,LI319,LI320",9/27/2025 10:32am,Keegan Dolan,recRTk82CFFbZIZ9S
SUP026-SINGLE,Niacin: OTC Medication,B vitamin for cholesterol management,"Take 500-1,000mg of Niacin with meals daily for cholesterol management, NAD+ precursor benefits, and cardiovascular health",,,026,,SINGLE,SUP,Niacin,B vitamin for cholesterol management,"Take 500-1,000mg of Niacin with meals daily for cholesterol management, NAD+ precursor benefits, and cardiovascular health",SUP,OTC Medication,<>,500.0,1000.0,milligram,mg,500-1000 mg,1.0,With meals,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LI321,LI322,LI323,LI324",9/27/2025 10:32am,Keegan Dolan,recBYWzN6FRmP1yFr
SUP027-SINGLE,Low-Dose Aspirin: OTC Medication,Antiplatelet therapy for cardiovascular protection,"Take 75-100mg of Low-Dose Aspirin with meals daily for cardiovascular protection, stroke prevention, and anti-inflammatory effects",,,027,,SINGLE,SUP,Low-Dose Aspirin,Antiplatelet therapy for cardiovascular protection,"Take 75-100mg of Low-Dose Aspirin with meals daily for cardiovascular protection, stroke prevention, and anti-inflammatory effects",SUP,OTC Medication,<>,75.0,100.0,milligram,mg,75-100 mg,1.0,With meals,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LI325,LI326,LI327,LI328",9/27/2025 10:32am,Keegan Dolan,recgHjOqTOirOfCmU
PEP001-SINGLE,Tirzepatide: GLP/GIP Agonist,Dual incretin receptor agonist for metabolic health,"Take 5-10mg of Tirzepatide at any time weekly for metabolic optimization, weight management, insulin sensitivity, and potential longevity benefits",,,001,,SINGLE,PEP,Tirzepatide,Dual incretin receptor agonist for metabolic health,"Take 5-10mg of Tirzepatide at any time weekly for metabolic optimization, weight management, insulin sensitivity, and potential longevity benefits",PEP,GLP/GIP Agonist,<>,5.0,10.0,milligram,mg,5-10 mg,7.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LI349,LI350,LI351,LI352",9/27/2025 10:32am,Keegan Dolan,rec7WBtHpMlUCtYtT
PEP002(i)-SINGLE,Semaglutide: GLP-1 Agonist,Incretin mimetic for metabolic optimization,"Take 1-2.4mg of Semaglutide at any time weekly for metabolic health, weight optimization, cardiovascular protection, and neuroprotection",,,002,(i),SINGLE,PEP,Semaglutide,Incretin mimetic for metabolic optimization,"Take 1-2.4mg of Semaglutide at any time weekly for metabolic health, weight optimization, cardiovascular protection, and neuroprotection",PEP,GLP-1 Agonist,<>,1.0,2.4,milligram,mg,1-2.4 mg,7.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LI353,LI354,LI355",9/27/2025 10:32am,Keegan Dolan,recN0RQzSEzIQxBZE
PEP002(ii)-SINGLE,Liraglutide: GLP-1 Agonist,Incretin mimetic for metabolic optimization,"Take 1.2-3mg of Liraglutide at any time daily for metabolic optimization, appetite regulation, and cardiovascular benefits",,,002,(ii),SINGLE,PEP,Liraglutide,Incretin mimetic for metabolic optimization,"Take 1.2-3mg of Liraglutide at any time daily for metabolic optimization, appetite regulation, and cardiovascular benefits",PEP,GLP-1 Agonist,<>,1.2,3.0,milligram,mg,1.2-3 mg,1.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:33am,Keegan Dolan,recLpKyJ2dam4PxO9
PEP003-STACK,CJC-1295 + Ipamorelin Stack,"Synergistic peptide combination that optimizes natural growth hormone release - CJC-1295 provides sustained GHRH stimulation while Ipamorelin offers pulsatile GHRP activation. Together they enhance body composition, recovery, and anti-aging benefits with minimal side effects.","Take 100-200mcg of CJC-1295 (before bed) and 200-300mcg of Ipamorelin (empty stomach) every 3 days for natural growth hormone optimization, body composition improvement, enhanced recovery, muscle preservation, and metabolic benefits","Synergistic peptide combination that optimizes natural growth hormone release - CJC-1295 provides sustained GHRH stimulation while Ipamorelin offers pulsatile GHRP activation. Together they enhance body composition, recovery, and anti-aging benefits with minimal side effects.","Take 100-200mcg of CJC-1295 (before bed) and 200-300mcg of Ipamorelin (empty stomach) every 3 days for natural growth hormone optimization, body composition improvement, enhanced recovery, muscle preservation, and metabolic benefits",003,,STACK,PEP,CJC-1295,GHRH analog for growth hormone optimization,"Take 100-200mcg of CJC-1295 before bed every 3 days for growth hormone optimization, muscle preservation, fat metabolism, and recovery enhancement",PEP,Growth Hormone Peptide,<>,100.0,200.0,microgram,µg,100-200 µg,3.0,Before bed,,21.0,150.0,male_female,Ipamorelin,PEP,Growth Hormone Peptide,<>,200.0,300.0,microgram,µg,200-300 µg,3.0,Empty stomach,,21.0,150.0,male_female,,,,,,,,,,,,,,,,"LI087,LI356,LI357,LI358,LI359",9/27/2025 10:59am,Keegan Dolan,rectSvR0DGkWchk46
PEP004-SINGLE,BPC-157: Healing Peptide,Gastric pentadecapeptide for tissue repair,"Take 250-500mcg of BPC-157 on empty stomach daily for tissue repair, gut health, injury recovery, and systemic healing support",,,004,,SINGLE,PEP,BPC-157,Gastric pentadecapeptide for tissue repair,"Take 250-500mcg of BPC-157 on empty stomach daily for tissue repair, gut health, injury recovery, and systemic healing support",PEP,Healing Peptide,<>,250.0,500.0,microgram,µg,250-500 µg,1.0,Empty stomach,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LI360,LI361,LI362,LI363",9/27/2025 10:33am,Keegan Dolan,recWaxSdkoYowWptr
PEP005-SINGLE,TB-500: Healing Peptide,Thymosin beta-4 fragment for tissue regeneration,"Take 2-5mg of TB-500 at any time weekly for tissue regeneration, injury recovery, cardiovascular health, and anti-inflammatory effects",,,005,,SINGLE,PEP,TB-500,Thymosin beta-4 fragment for tissue regeneration,"Take 2-5mg of TB-500 at any time weekly for tissue regeneration, injury recovery, cardiovascular health, and anti-inflammatory effects",PEP,Healing Peptide,<>,2.0,5.0,milligram,mg,2-5 mg,7.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LI364,LI365,LI366",9/27/2025 10:33am,Keegan Dolan,recEt38gYzl5Uj7EX
